Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,53.26811,(-0.07* 0.99* 0.12),(0.30* 0.53* 0.79),4.209009,(0.08* 1.00* -0.03),(0.03* 1.00* -0.08),(278.04* 328.43* 147.45)
Left,2,48.94985,(-0.09* 0.99* 0.13),(0.26* 0.59* 0.77),2.615165,(0.06* 1.00* -0.04),(0.06* 0.99* -0.09),(278.04* 328.43* 147.45)
Left,3,50.24303,(-0.07* 0.98* 0.16),(0.29* 0.54* 0.79),3.403696,(0.07* 1.00* -0.05),(0.06* 0.99* -0.11),(278.04* 328.43* 147.45)
Down,1,35.8447,(-0.07* 0.99* 0.13),(0.47* 0.87* -0.16),3.168915,(0.07* 1.00* -0.04),(0.08* 0.99* -0.09),(278.04* 328.43* 147.45)
Down,2,35.27755,(-0.07* 0.99* 0.12),(0.45* 0.88* -0.16),1.995668,(0.06* 1.00* -0.06),(0.08* 0.99* -0.09),(278.04* 328.43* 147.45)
Down,3,39.95703,(-0.11* 0.99* 0.12),(0.48* 0.85* -0.19),1.765471,(0.07* 1.00* -0.07),(0.08* 0.99* -0.10),(278.04* 328.43* 147.45)
Right,1,-62.12046,(-0.10* 0.99* 0.14),(-0.42* 0.54* -0.73),-3.826331,(0.07* 1.00* -0.04),(0.12* 0.99* 0.00),(278.04* 328.43* 147.45)
Right,2,-58.68949,(-0.10* 0.99* 0.09),(-0.44* 0.55* -0.71),-3.44969,(0.08* 1.00* -0.03),(0.13* 0.99* 0.01),(278.04* 328.43* 147.45)
Right,3,-62.00852,(-0.14* 0.98* 0.11),(-0.44* 0.50* -0.75),-3.840379,(0.10* 0.99* -0.03),(0.14* 0.99* 0.03),(278.04* 328.43* 147.45)
Up,1,-32.94743,(-0.10* 0.99* 0.12),(-0.57* 0.75* 0.34),0.3891652,(0.09* 1.00* -0.04),(0.09* 1.00* -0.04),(278.04* 328.43* 147.45)
Up,2,-32.53005,(-0.08* 0.99* 0.14),(-0.55* 0.76* 0.34),0.4270431,(0.09* 1.00* -0.04),(0.08* 1.00* -0.04),(278.04* 328.43* 147.45)
Up,3,-32.54552,(-0.07* 0.99* 0.13),(-0.55* 0.77* 0.33),0.2832403,(0.08* 1.00* -0.04),(0.08* 1.00* -0.05),(278.04* 328.43* 147.45)
