Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Left,1,6.59176,1.301008,-1.373161,0.2158,-0.5233933,-0.05934703,0.01978234
Left,1,6.61613,1.299503,-1.386775,0.2130625,-0.4897892,-0.05934703,0
Left,1,6.646267,1.327806,-1.397458,0.2139789,-0.454995,-0.05934703,0
Left,1,6.673283,1.327806,-1.393953,0.2112177,-0.4168407,-0.05595291,0
Left,1,6.699814,1.322194,-1.387198,0.2074791,-0.3820612,-0.06255726,0
Left,1,6.727652,1.318192,-1.377856,0.2036718,-0.3538778,-0.0656106,-0.01978234
Left,1,6.754899,1.310898,-1.366876,0.199792,-0.3250574,-0.07661668,-0.02797646
Left,1,6.782315,1.351616,-1.371164,0.2074791,-0.2940859,-0.08392937,-0.01978234
Left,1,6.810109,1.367019,-1.370736,0.2121421,-0.2654082,-0.08846933,-0.02797646
Left,1,6.83793,1.366733,-1.374016,0.2130625,-0.2349025,-0.09278741,-0.01978234
Left,1,6.865401,1.359411,-1.379985,0.2130625,-0.1988102,-0.09487279,-0.03426402
Left,1,6.893501,1.350312,-1.384374,0.2121421,-0.1619255,-0.09278741,-0.03426402
Left,1,6.921039,1.350457,-1.38621,0.20842,-0.1251145,-0.08846933,-0.04845664
Left,1,6.949395,1.362718,-1.38621,0.2065338,-0.08392937,-0.08156469,-0.05595291
Left,1,6.97682,1.353063,-1.378566,0.2017412,-0.04423466,-0.06852804,-0.06852804
Left,1,7.004799,1.373161,-1.379559,0.2055842,0,-0.05233916,-0.07912937
Left,1,7.032144,1.376861,-1.379701,0.2065338,0.07132626,-0.03956468,-0.09278741
Left,1,7.059922,1.382535,-1.382535,0.20842,0.1312212,-0.02797646,-0.1027921
Left,1,7.087251,1.392408,-1.388326,0.2093567,0.1690205,-0.02797646,-0.1136409
Left,1,7.115705,1.392689,-1.392127,0.2112177,0.1958353,-0.03426402,-0.1219466
Left,1,7.143152,1.371735,-1.391705,0.2093567,0.2065338,-0.03956468,-0.1266688
Left,1,7.171068,1.35205,-1.389735,0.2074791,0.2315465,-0.04423466,-0.132704
Left,1,7.198623,1.338083,-1.384091,0.2065338,0.272681,-0.01978234,-0.14537
Left,1,7.226655,1.336181,-1.375724,0.2065338,0.3127867,0,-0.1582588
Left,1,7.254971,1.335595,-1.366447,0.2036718,0.3560827,0.03426402,-0.1735894
Left,1,7.282627,1.328101,-1.354797,0.2027088,0.4087828,0.06255726,-0.1897456
Left,1,7.310495,1.314625,-1.343338,0.2017412,0.463094,0.08622923,-0.2036718
Left,1,7.337925,1.303713,-1.333102,0.2027088,0.5535544,0.1119058,-0.2246844
Left,1,7.365253,1.308208,-1.308657,0.2139789,0.6410245,0.1266688,-0.2406627
Left,1,7.39347,1.350022,-1.296035,0.2238118,0.7168246,0.1297215,-0.2502292
Left,1,7.421299,1.373019,-1.281153,0.2272819,0.7687222,0.1282043,-0.2525642
Left,1,7.449389,1.412916,-1.243483,0.2255535,0.8464977,0.1251145,-0.2478722
