Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-69.50677,(0.02* 1.00* 0.00),(0.16* 0.35* 0.92),-10.04144,(0.03* 0.92* 0.40),(-0.14* 0.93* 0.35),(271.07* 107.63* 351.75)
Left,2,-80.52837,(0.01* 1.00* 0.01),(0.16* 0.15* 0.98),-11.37659,(0.01* 0.92* 0.39),(-0.16* 0.94* 0.29),(271.07* 107.63* 351.75)
Left,3,-73.50095,(0.01* 1.00* -0.01),(0.15* 0.29* 0.94),-9.557611,(0.01* 0.94* 0.33),(-0.15* 0.94* 0.29),(271.07* 107.63* 351.75)
Down,1,42.74792,(0.02* 1.00* 0.01),(0.68* 0.72* -0.12),-3.730509,(0.01* 0.92* 0.38),(-0.01* 0.95* 0.32),(271.07* 107.63* 351.75)
Down,2,-38.50052,(0.01* 1.00* -0.01),(0.63* 0.77* -0.11),-3.454964,(0.04* 0.93* 0.37),(0.00* 0.94* 0.33),(271.07* 107.63* 351.75)
Down,3,38.65511,(0.01* 1.00* 0.00),(0.63* 0.77* -0.11),-1.381827,(0.04* 0.93* 0.35),(0.01* 0.94* 0.35),(271.07* 107.63* 351.75)
Right,1,61.93163,(0.02* 1.00* -0.01),(-0.14* 0.47* -0.87),8.766207,(0.02* 0.93* 0.38),(0.16* 0.94* 0.31),(271.07* 107.63* 351.75)
Right,2,61.32144,(0.02* 1.00* -0.01),(-0.15* 0.47* -0.87),7.220398,(0.03* 0.94* 0.34),(0.15* 0.94* 0.29),(271.07* 107.63* 351.75)
Right,3,66.58101,(0.02* 1.00* -0.02),(-0.15* 0.39* -0.91),7.547875,(0.05* 0.94* 0.35),(0.16* 0.95* 0.28),(271.07* 107.63* 351.75)
Up,1,30.46254,(-0.01* 1.00* -0.02),(-0.50* 0.86* 0.08),0.8627541,(0.05* 0.94* 0.35),(0.06* 0.94* 0.35),(271.07* 107.63* 351.75)
Up,2,31.61752,(0.01* 1.00* -0.01),(-0.51* 0.86* 0.08),2.132858,(0.04* 0.93* 0.36),(0.05* 0.94* 0.33),(271.07* 107.63* 351.75)
Up,3,30.18572,(0.00* 1.00* -0.01),(-0.50* 0.86* 0.09),1.527262,(0.04* 0.93* 0.38),(0.07* 0.93* 0.37),(271.07* 107.63* 351.75)
