Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,67.15463,(0.08* 0.98* 0.17),(0.76* 0.42* -0.49),12.91196,(-0.08* 1.00* 0.06),(0.15* 0.99* 0.05),(281.01* 25.09* 12.12)
Right,2,63.33971,(0.10* 0.98* 0.16),(0.75* 0.45* -0.47),11.12651,(-0.04* 1.00* 0.02),(0.15* 0.99* 0.05),(281.01* 25.09* 12.12)
Right,3,65.54333,(0.11* 0.98* 0.14),(0.77* 0.41* -0.50),14.185,(-0.04* 1.00* 0.01),(0.20* 0.98* 0.06),(281.01* 25.09* 12.12)
Up,1,-38.12593,(0.08* 0.98* 0.17),(-0.31* 0.89* -0.35),0.719821,(-0.04* 1.00* 0.07),(-0.02* 1.00* 0.07),(281.01* 25.09* 12.12)
Up,2,-0.4370072,(0.06* 0.99* 0.15),(0.06* 0.99* 0.14),0.05595291,(-0.04* 1.00* 0.08),(-0.04* 1.00* 0.07),(281.01* 25.09* 12.12)
Up,3,-35.33601,(0.06* 0.99* 0.15),(-0.30* 0.89* -0.33),-0.6932335,(-0.04* 1.00* 0.08),(-0.04* 1.00* 0.07),(281.01* 25.09* 12.12)
Left,1,-65.67265,(0.07* 0.98* 0.16),(-0.70* 0.37* 0.62),-16.98321,(-0.05* 0.99* 0.10),(-0.34* 0.94* 0.10),(281.01* 25.09* 12.12)
Left,2,-65.33836,(0.04* 0.98* 0.20),(-0.71* 0.33* 0.62),-13.37699,(-0.10* 0.99* 0.10),(-0.33* 0.94* 0.08),(281.01* 25.09* 12.12)
Left,3,-70.04796,(0.04* 0.98* 0.20),(-0.74* 0.25* 0.63),-14.11612,(-0.12* 0.99* 0.09),(-0.35* 0.93* 0.08),(281.01* 25.09* 12.12)
Down,1,58.61547,(0.08* 0.98* 0.18),(0.55* 0.34* 0.76),-7.406952,(-0.11* 0.99* 0.07),(-0.04* 1.00* -0.03),(281.01* 25.09* 12.12)
Down,2,56.64251,(0.09* 0.98* 0.19),(0.55* 0.37* 0.75),-3.928847,(-0.09* 1.00* 0.02),(-0.06* 1.00* -0.04),(281.01* 25.09* 12.12)
Down,3,54.43939,(0.08* 0.98* 0.18),(0.54* 0.41* 0.74),-2.374133,(-0.08* 1.00* -0.01),(-0.06* 1.00* -0.04),(281.01* 25.09* 12.12)
