Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-63.58891,(0.10* 1.00* 0.01),(0.06* 0.43* 0.90),-3.213027,(0.05* 0.97* 0.24),(0.01* 0.96* 0.28),(275.68* 84.75* 13.71)
Left,2,-74.69035,(0.07* 1.00* 0.00),(0.17* 0.25* 0.95),-6.37366,(0.04* 0.97* 0.26),(-0.07* 0.97* 0.24),(275.68* 84.75* 13.71)
Left,3,-64.24626,(0.08* 1.00* 0.01),(0.17* 0.41* 0.90),-3.296219,(0.02* 0.96* 0.26),(-0.04* 0.97* 0.26),(275.68* 84.75* 13.71)
Down,1,31.38276,(0.07* 1.00* 0.02),(0.57* 0.82* -0.06),0.3946573,(0.04* 0.96* 0.28),(0.04* 0.96* 0.29),(275.68* 84.75* 13.71)
Down,2,28.31743,(0.09* 1.00* 0.00),(0.55* 0.84* -0.06),-1.372306,(0.06* 0.96* 0.26),(0.05* 0.96* 0.29),(275.68* 84.75* 13.71)
Down,3,23.16925,(0.11* 0.99* 0.00),(0.49* 0.87* -0.06),-1.696506,(0.06* 0.97* 0.26),(0.05* 0.96* 0.28),(275.68* 84.75* 13.71)
Right,1,67.50972,(0.12* 0.99* 0.00),(-0.12* 0.40* -0.91),1.499983,(0.06* 0.96* 0.29),(0.06* 0.96* 0.26),(275.68* 84.75* 13.71)
Right,2,69.96882,(0.10* 1.00* -0.01),(-0.11* 0.34* -0.93),1.819191,(0.05* 0.96* 0.27),(0.06* 0.97* 0.24),(275.68* 84.75* 13.71)
Right,3,72.00175,(0.08* 1.00* -0.01),(-0.12* 0.31* -0.94),3.057423,(0.06* 0.96* 0.29),(0.06* 0.97* 0.24),(275.68* 84.75* 13.71)
Up,1,-52.76004,(0.09* 1.00* 0.00),(-0.73* 0.68* 0.13),-3.515245,(0.06* 0.96* 0.28),(0.03* 0.97* 0.23),(275.68* 84.75* 13.71)
Up,2,-49.2309,(0.08* 1.00* 0.01),(-0.70* 0.71* 0.12),-2.116738,(0.05* 0.96* 0.27),(0.04* 0.97* 0.24),(275.68* 84.75* 13.71)
Up,3,-50.29265,(0.07* 1.00* 0.01),(-0.71* 0.69* 0.14),1.320269,(0.05* 0.96* 0.27),(0.04* 0.97* 0.25),(275.68* 84.75* 13.71)
