Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,0.1027921,(0.22* 0.97* -0.10),(0.22* 0.97* -0.10),-0.5082192,(-0.02* 0.98* 0.21),(-0.02* 0.98* 0.22),(283.92* 113.64* 356.16)
Down,2,-10.46952,(0.21* 0.97* -0.10),(0.38* 0.91* -0.15),-0.8081825,(-0.01* 0.99* 0.14),(-0.01* 0.99* 0.13),(283.92* 113.64* 356.16)
Down,3,0.02797646,(0.21* 0.97* -0.09),(0.21* 0.97* -0.09),-1.246469,(-0.01* 0.99* 0.16),(-0.01* 0.99* 0.14),(283.92* 113.64* 356.16)
Right,1,2.194013,(0.25* 0.96* -0.11),(0.21* 0.97* -0.10),0.9412843,(-0.01* 0.98* 0.18),(-0.01* 0.98* 0.19),(283.92* 113.64* 356.16)
Right,2,-0.6333472,(0.21* 0.97* -0.14),(0.21* 0.97* -0.13),0.8893346,(-0.01* 0.98* 0.21),(0.00* 0.98* 0.19),(283.92* 113.64* 356.16)
Right,3,-1.096108,(0.21* 0.97* -0.14),(0.21* 0.97* -0.12),-0.4092611,(-0.01* 0.98* 0.20),(-0.01* 0.98* 0.20),(283.92* 113.64* 356.16)
Up,1,30.70033,(0.22* 0.97* -0.09),(-0.28* 0.96* 0.08),-2.027579,(-0.02* 0.98* 0.21),(-0.02* 0.97* 0.25),(283.92* 113.64* 356.16)
Up,2,26.92213,(0.17* 0.98* -0.08),(-0.27* 0.96* 0.08),-2.202826,(-0.01* 0.98* 0.18),(-0.01* 0.98* 0.22),(283.92* 113.64* 356.16)
Up,3,28.95728,(0.15* 0.99* -0.07),(-0.32* 0.94* 0.10),-3.425313,(-0.01* 0.98* 0.19),(-0.02* 0.97* 0.25),(283.92* 113.64* 356.16)
Left,1,-45.82481,(0.15* 0.99* -0.07),(0.39* 0.69* 0.61),-3.819878,(-0.01* 0.98* 0.19),(-0.07* 0.97* 0.21),(283.92* 113.64* 356.16)
Left,2,-42.88304,(0.21* 0.97* -0.09),(0.39* 0.72* 0.57),-1.776191,(-0.04* 0.98* 0.19),(-0.07* 0.98* 0.21),(283.92* 113.64* 356.16)
Left,3,-43.17631,(0.21* 0.98* -0.07),(0.39* 0.71* 0.59),-0.9487386,(-0.05* 0.98* 0.20),(-0.06* 0.98* 0.21),(283.92* 113.64* 356.16)
