Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,77.86182,(0.08* 0.98* 0.19),(0.78* 0.26* -0.57),8.717379,(-0.11* 0.99* 0.11),(0.04* 0.99* 0.10),(282.62* 24.68* 14.18)
Right,2,73.74077,(0.12* 0.98* 0.17),(0.78* 0.29* -0.56),5.191464,(-0.07* 0.99* 0.09),(0.02* 1.00* 0.08),(282.62* 24.68* 14.18)
Right,3,70.86896,(0.12* 0.98* 0.17),(0.77* 0.34* -0.54),4.665393,(-0.07* 0.99* 0.08),(0.01* 1.00* 0.08),(282.62* 24.68* 14.18)
Up,1,-59.28375,(0.11* 0.98* 0.17),(-0.49* 0.68* -0.55),3.616226,(-0.09* 0.99* 0.12),(-0.09* 0.98* 0.18),(282.62* 24.68* 14.18)
Up,2,-40.87795,(0.06* 0.98* 0.16),(-0.36* 0.85* -0.38),1.229079,(-0.10* 0.98* 0.14),(-0.08* 0.99* 0.13),(282.62* 24.68* 14.18)
Up,3,-44.2332,(0.06* 0.99* 0.16),(-0.39* 0.82* -0.42),1.423953,(-0.11* 0.98* 0.15),(-0.09* 0.99* 0.14),(282.62* 24.68* 14.18)
Left,1,-60.64087,(0.06* 0.99* 0.15),(-0.64* 0.43* 0.64),-2.086566,(-0.11* 0.98* 0.16),(-0.11* 0.99* 0.13),(282.62* 24.68* 14.18)
Left,2,-64.40167,(0.06* 0.97* 0.22),(-0.69* 0.34* 0.64),-2.715484,(-0.11* 0.98* 0.13),(-0.12* 0.99* 0.09),(282.62* 24.68* 14.18)
Left,3,-61.92882,(0.05* 0.97* 0.22),(-0.67* 0.37* 0.64),-0.5475121,(-0.12* 0.99* 0.09),(-0.12* 0.99* 0.08),(282.62* 24.68* 14.18)
Down,1,55.02459,(0.08* 0.98* 0.20),(0.56* 0.39* 0.73),-7.612726,(-0.12* 0.98* 0.14),(-0.08* 1.00* 0.01),(282.62* 24.68* 14.18)
Down,2,54.67641,(0.10* 0.97* 0.21),(0.56* 0.37* 0.74),-3.107846,(-0.10* 0.99* 0.06),(-0.09* 1.00* 0.01),(282.62* 24.68* 14.18)
Down,3,49.38008,(0.10* 0.97* 0.21),(0.53* 0.46* 0.71),-4.609892,(-0.10* 0.99* 0.09),(-0.09* 1.00* 0.01),(282.62* 24.68* 14.18)
