Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-26.60706,(0.09* 0.99* -0.08),(0.49* 0.84* -0.23),-0.5271187,(0.02* 0.99* 0.17),(0.01* 0.99* 0.16),(276.94* 132.17* 338.78)
Down,2,-27.25171,(0.11* 0.99* -0.09),(0.52* 0.82* -0.24),-5.239815,(0.01* 0.99* 0.16),(0.00* 0.97* 0.25),(276.94* 132.17* 338.78)
Down,3,-26.86964,(0.11* 0.99* -0.09),(0.52* 0.82* -0.23),-1.306112,(0.01* 0.98* 0.19),(0.00* 0.98* 0.21),(276.94* 132.17* 338.78)
Right,1,67.86015,(0.11* 0.99* -0.09),(-0.30* 0.33* -0.90),14.66384,(0.01* 0.99* 0.17),(0.24* 0.94* 0.25),(276.94* 132.17* 338.78)
Right,2,73.73125,(0.07* 0.99* -0.11),(-0.32* 0.21* -0.92),17.50839,(0.04* 0.98* 0.18),(0.32* 0.91* 0.28),(276.94* 132.17* 338.78)
Right,3,73.6021,(0.08* 0.99* -0.12),(-0.33* 0.20* -0.92),17.54162,(0.05* 0.98* 0.19),(0.33* 0.90* 0.29),(276.94* 132.17* 338.78)
Up,1,41.90932,(0.09* 0.99* -0.11),(-0.54* 0.82* 0.19),-1.940175,(0.04* 0.98* 0.19),(0.03* 0.98* 0.22),(276.94* 132.17* 338.78)
Up,2,44.00079,(0.06* 1.00* -0.08),(-0.60* 0.78* 0.20),-4.592651,(0.03* 0.98* 0.17),(0.02* 0.97* 0.25),(276.94* 132.17* 338.78)
Up,3,35.99597,(0.06* 1.00* -0.07),(-0.50* 0.85* 0.16),-1.477638,(0.03* 0.98* 0.17),(0.02* 0.98* 0.19),(276.94* 132.17* 338.78)
Left,1,-70.7422,(0.05* 1.00* -0.08),(0.35* 0.38* 0.86),-25.80874,(0.02* 0.98* 0.18),(-0.41* 0.89* 0.20),(276.94* 132.17* 338.78)
Left,2,-77.80106,(0.11* 0.99* -0.07),(0.37* 0.23* 0.90),-24.34393,(-0.10* 0.98* 0.19),(-0.49* 0.83* 0.28),(276.94* 132.17* 338.78)
Left,3,-64.48997,(0.09* 0.99* -0.06),(0.36* 0.44* 0.82),-13.29726,(-0.16* 0.97* 0.20),(-0.39* 0.90* 0.20),(276.94* 132.17* 338.78)
