range,posture,start,end,
270,NormalBed,1386352,1386449,
270,NormalBed,1386352,1386536,
270,NormalBed,1386352,1386565,
270,NormalBed,1386352,1386597,
270,NormalBed,1386352,1386626,
270,NormalBed,1386352,1386655,
270,NormalBed,1386352,1386665,
270,NormalBed,1386352,1386679,
270,NormalBed,1386352,1386694,
270,NormalBed,1386352,1386707,
270,NormalBed,1386352,1386724,
270,NormalBed,1386352,1386737,
270,NormalBed,1386352,1386753,
270,NormalBed,1386352,1386766,
270,NormalBed,1386352,1386776,
270,NormalBed,1386352,1386805,
270,NormalBed,1386352,1386823,
270,NormalBed,1386352,1386834,
270,NormalBed,1386352,1386850,
270,NormalBed,1386352,1386863,
270,NormalBed,1386352,1386876,
270,NormalBed,1386352,1386892,
270,NormalBed,1386352,1386905,
270,NormalBed,1386352,1386921,
270,NormalBed,1386352,1386935,
270,NormalBed,1386352,1386960,
270,NormalBed,1386352,1386974,
270,NormalBed,1386352,1386990,
270,NormalBed,1386352,1387002,
270,NormalBed,1386352,1387016,
270,NormalBed,1386352,1387032,
270,NormalBed,1386352,1387042,
270,NormalBed,1386352,1387061,
270,NormalBed,1386352,1387076,
270,NormalBed,1386352,1387101,
270,NormalBed,1386352,1387129,
270,NormalBed,1386352,1387143,
270,NormalBed,1386352,1387153,
270,NormalBed,1386352,1387171,
270,NormalBed,1386352,1387182,
270,NormalBed,1386352,1387195,
270,NormalBed,1386352,1387211,
270,NormalBed,1386352,1387225,
270,NormalBed,1386352,1387237,
270,NormalBed,1386352,1387253,
270,NormalBed,1386352,1387282,
270,NormalBed,1386352,1387292,
270,NormalBed,1386352,1387305,
270,NormalBed,1386352,1387322,
270,NormalBed,1386352,1387335,
270,NormalBed,1386352,1387351,
270,NormalBed,1386352,1387364,
270,NormalBed,1386352,1387377,
270,NormalBed,1386352,1387393,
270,NormalBed,1386352,1387404,
270,NormalBed,1386352,1387432,
270,NormalBed,1386352,1387448,
270,NormalBed,1386352,1387461,
270,NormalBed,1386352,1387474,
270,NormalBed,1386352,1387490,
270,NormalBed,1386352,1387503,
270,NormalBed,1386352,1387514,
270,NormalBed,1386352,1387530,
270,NormalBed,1386352,1387543,
270,NormalBed,1386352,1387558,
270,NormalBed,1386352,1387585,
270,NormalBed,1386352,1387601,
270,NormalBed,1386352,1387614,
270,NormalBed,1386352,1387630,
270,NormalBed,1386352,1387640,
270,NormalBed,1386352,1387654,
270,NormalBed,1386352,1387669,
270,NormalBed,1386352,1387682,
270,NormalBed,1386352,1387699,
270,NormalBed,1386352,1387712,
270,NormalBed,1386352,1387741,
270,NormalBed,1386352,1387751,
270,NormalBed,1386352,1387769,
270,NormalBed,1386352,1387781,
270,NormalBed,1386352,1387793,
270,NormalBed,1386352,1387809,
270,NormalBed,1386352,1387823,
270,NormalBed,1386352,1387838,
270,NormalBed,1386352,1387851,
270,NormalBed,1386352,1387862,
270,NormalBed,1386352,1387891,
270,NormalBed,1386352,1387907,
270,NormalBed,1386352,1387920,
270,NormalBed,1386352,1387933,
270,NormalBed,1386352,1387949,
270,NormalBed,1386352,1387962,
270,NormalBed,1386352,1387972,
270,NormalBed,1386352,1387988,
270,NormalBed,1386352,1388002,
270,NormalBed,1386352,1388017,
270,NormalBed,1386352,1388046,
270,NormalBed,1386352,1388059,
270,NormalBed,1386352,1388072,
270,NormalBed,1386352,1388089,
270,NormalBed,1386352,1388099,
270,NormalBed,1386352,1388112,
270,NormalBed,1386352,1388128,
270,NormalBed,1386352,1388141,
270,NormalBed,1386352,1388157,
270,NormalBed,1386352,1388170,
270,NormalBed,1386352,1388199,
270,NormalBed,1386352,1388210,
270,NormalBed,1386352,1388228,
270,NormalBed,1386352,1388238,
270,NormalBed,1386352,1388252,
270,NormalBed,1386352,1388268,
270,NormalBed,1386352,1388280,
270,NormalBed,1386352,1388292,
270,NormalBed,1386352,1388310,
270,NormalBed,1386352,1388320,
270,NormalBed,1386352,1388349,
270,NormalBed,1386352,1388365,
270,NormalBed,1386352,1388379,
270,NormalBed,1386352,1388392,
270,NormalBed,1386352,1388407,
270,NormalBed,1386352,1388421,
270,NormalBed,1386352,1388431,
270,NormalBed,1386352,1388449,
270,NormalBed,1386352,1388460,
270,NormalBed,1386352,1388476,
270,NormalBed,1386352,1388503,
270,NormalBed,1386352,1388518,
270,NormalBed,1386352,1388531,
270,NormalBed,1386352,1388547,
270,NormalBed,1386352,1388560,
270,NormalBed,1386352,1388571,
270,NormalBed,1386352,1388587,
270,NormalBed,1386352,1388600,
270,NormalBed,1386352,1388615,
270,NormalBed,1386352,1388628,
270,NormalBed,1386352,1388660,
270,NormalBed,1386352,1388684,
270,NormalBed,1386352,1388702,
270,NormalBed,1386352,1388716,
270,NormalBed,1386352,1388726,
270,NormalBed,1386352,1388739,
270,NormalBed,1386352,1388755,
270,NormalBed,1386352,1388769,
270,NormalBed,1386352,1388779,
270,NormalBed,1386352,1388808,
270,NormalBed,1386352,1388826,
270,NormalBed,1386352,1388836,
270,NormalBed,1386352,1388850,
270,NormalBed,1386352,1388866,
270,NormalBed,1386352,1388879,
270,NormalBed,1386352,1388890,
270,NormalBed,1386352,1388908,
270,NormalBed,1386352,1388918,
270,NormalBed,1386352,1388937,
270,NormalBed,1386352,1388960,
270,NormalBed,1386352,1388974,
270,NormalBed,1386352,1388990,
270,NormalBed,1386352,1389000,
270,NormalBed,1386352,1389022,
270,NormalBed,1386352,1389042,
270,NormalBed,1386352,1389059,
270,NormalBed,1386352,1389071,
270,NormalBed,1386352,1389082,
270,NormalBed,1386352,1389116,
270,NormalBed,1386352,1389129,
270,NormalBed,1386352,1389139,
270,NormalBed,1386352,1389153,
270,NormalBed,1386352,1389169,
270,NormalBed,1386352,1389182,
270,NormalBed,1386352,1389198,
270,NormalBed,1386352,1389211,
270,NormalBed,1386352,1389227,
270,NormalBed,1386352,1389240,
270,NormalBed,1386352,1389266,
270,NormalBed,1386352,1389280,
270,NormalBed,1386352,1389293,
270,NormalBed,1386352,1389308,
270,NormalBed,1386352,1389322,
270,NormalBed,1386352,1389337,
270,NormalBed,1386352,1389348,
270,NormalBed,1386352,1389361,
270,NormalBed,1386352,1389377,
270,NormalBed,1386352,1389395,
270,NormalBed,1386352,1389419,
270,NormalBed,1386352,1389435,
270,NormalBed,1386352,1389448,
270,NormalBed,1386352,1389459,
270,NormalBed,1386352,1389472,
270,NormalBed,1386352,1389488,
270,NormalBed,1386352,1389501,
270,NormalBed,1386352,1389514,
270,NormalBed,1386352,1389530,
270,NormalBed,1386352,1389543,
270,NormalBed,1386352,1389570,
270,NormalBed,1386352,1389588,
270,NormalBed,1386352,1389598,
270,NormalBed,1386352,1389612,
270,NormalBed,1386352,1389627,
270,NormalBed,1386352,1389640,
270,NormalBed,1386352,1389657,
270,NormalBed,1386352,1389670,
270,NormalBed,1386352,1389680,
270,NormalBed,1386352,1389699,
270,NormalBed,1386352,1389725,
270,NormalBed,1386352,1389737,
270,NormalBed,1386352,1389751,
270,NormalBed,1386352,1389767,
270,NormalBed,1386352,1389780,
270,NormalBed,1386352,1389796,
270,NormalBed,1386352,1389809,
270,NormalBed,1386352,1389819,
270,NormalBed,1386352,1389836,
270,NormalBed,1386352,1389854,
270,NormalBed,1386352,1389878,
270,NormalBed,1386352,1389891,
270,NormalBed,1386352,1389906,
270,NormalBed,1386352,1389920,
270,NormalBed,1386352,1389930,
270,NormalBed,1386352,1389946,
270,NormalBed,1386352,1389960,
270,NormalBed,1386352,1389975,
270,NormalBed,1386352,1389988,
270,NormalBed,1386352,1390004,
270,NormalBed,1386352,1390028,
270,NormalBed,1386352,1390047,
270,NormalBed,1386352,1390057,
270,NormalBed,1386352,1390070,
270,NormalBed,1386352,1390086,
270,NormalBed,1386352,1390099,
270,NormalBed,1386352,1390114,
270,NormalBed,1386352,1390128,
270,NormalBed,1386352,1390139,
270,NormalBed,1386352,1390157,
270,NormalBed,1386352,1390186,
270,NormalBed,1386352,1390196,
270,NormalBed,1386352,1390210,
270,NormalBed,1386352,1390226,
270,NormalBed,1386352,1390238,
270,NormalBed,1386352,1390255,
270,NormalBed,1386352,1390268,
270,NormalBed,1386352,1390278,
270,NormalBed,1386352,1390297,
270,NormalBed,1386352,1390307,
270,NormalBed,1386352,1390337,
270,NormalBed,1386352,1390349,
270,NormalBed,1386352,1390365,
270,NormalBed,1386352,1390379,
270,NormalBed,1386352,1390389,
270,NormalBed,1386352,1390404,
270,NormalBed,1386352,1390417,
270,NormalBed,1386352,1390434,
270,NormalBed,1386352,1390447,
270,NormalBed,1386352,1390462,
270,NormalBed,1386352,1390489,
270,NormalBed,1386352,1390504,
270,NormalBed,1386352,1390516,
270,NormalBed,1386352,1390528,
270,NormalBed,1386352,1390544,
270,NormalBed,1386352,1390558,
270,NormalBed,1386352,1390573,
270,NormalBed,1386352,1390586,
270,NormalBed,1386352,1390600,
270,NormalBed,1386352,1390615,
270,NormalBed,1386352,1390645,
270,NormalBed,1386352,1390655,
270,NormalBed,1386352,1390668,
270,NormalBed,1386352,1390684,
270,NormalBed,1386352,1390697,
270,NormalBed,1386352,1390707,
270,NormalBed,1386352,1390726,
270,NormalBed,1386352,1390737,
270,NormalBed,1386352,1390755,
270,NormalBed,1386352,1390766,
270,NormalBed,1386352,1390794,
270,NormalBed,1386352,1390808,
270,NormalBed,1386352,1390824,
270,NormalBed,1386352,1390837,
270,NormalBed,1386352,1390848,
270,NormalBed,1386352,1390866,
270,NormalBed,1386352,1390876,
270,NormalBed,1386352,1390893,
270,NormalBed,1386352,1390905,
270,NormalBed,1386352,1390918,
270,NormalBed,1386352,1390948,
270,NormalBed,1386352,1390963,
270,NormalBed,1386352,1390973,
270,NormalBed,1386352,1390987,
270,NormalBed,1386352,1391003,
270,NormalBed,1386352,1391015,
270,NormalBed,1386352,1391032,
270,NormalBed,1386352,1391045,
270,NormalBed,1386352,1391058,
270,NormalBed,1386352,1391074,
270,NormalBed,1386352,1391097,
270,NormalBed,1386352,1391114,
270,NormalBed,1386352,1391127,
270,NormalBed,1386352,1391142,
