time,turnedAngle,pitchAngle,yawAngle
1906653,0,0,0
1906656,0,0,0
1906658,0,0,0
1906661,0,0,0
1906663,0,0,0
1906666,0,0,0
1906668,0,0,0
1906671,0,0,0
1906674,0,0,0
1906676,0,0,0
1906679,0,0,0
1906681,0,0,0
1906684,0,0,0
1906686,0,0,0
1906690,0,0,0
1906693,0,0,0
1906695,0,0,0
1906698,0,0,0
1906700,0,0,0
1906703,0,0,0
1906705,0,0,0
1906708,0,0,0
1906711,0,0,0
1906713,0,0,0
1906716,0,0,0
1906718,0,0,0
1906721,0,0,0
1906723,0,0,0
1906726,0,0,0
1906729,0,0,0
1906732,0,0,0
1906735,0,0,0
1906737,0,0,0
1906740,0,0,0
1906742,0,0,0
1906745,0,0,0
1906748,0,0,0
1906750,0,0,0
1906753,0,0,0
1906755,0,0,0
1906758,0,0,0
1906760,0,0,0
1906763,0,0,0
1906766,0,0,0
1906768,0,0,0
1906771,0,0,0
1906774,0,0,0
1906777,0,0,0
1906779,0,0,0
1906782,0,0,0
1906785,0,0,0
1906787,0,0,0
1906790,0,0,0
1906792,0,0,0
1906795,0,0,0
1906797,0,0,0
1906800,0,0,0
1906803,0,0,0
1906805,0,0,0
1906808,0,0,0
1906810,0,0,0
1906813,0,0,0
1906816,0,0,0
1906819,0,0,0
1906822,0,0,0
1906824,0,0,0
1906827,0,0,0
1906829,0,0,0
1906832,0,0,0
1906835,0,0,0
1906837,0,0,0
1906840,0,0,0
1906842,0,0,0
1906845,0,0,0
1906847,0,0,0
1906850,0,0,0
1906853,0,0,0
1906855,0,0,0
1906859,0,0,0
1906861,0,0,0
1906864,0,0,0
1906866,0,0,0
1906869,0,0,0
1906872,0,0,0
1906874,0,0,0
1906877,0,0,0
1906879,0,0,0
1906882,0,0,0
1906884,0,0,0
1906887,0,0,0
1906890,0,0,0
1906892,0,0,0
1906895,0,0,0
1906897,0,0,0
1906900,0,0,0
1906903,0,0,0
1906906,0,0,0
1906909,0,0,0
1906911,0,0,0
1906914,0,0,0
1906916,0,0,0
1906919,0,0,0
1906921,0,0,0
1906924,0,0,0
1906927,0,0,0
1906929,0,0,0
1906932,0,0,0
1906934,0,0,0
1906937,0,0,0
1906939,0,0,0
1906942,0,0,0
1906946,0,0,0
1906948,0,0,0
1906951,0,0,0
1906953,0,0,0
1906956,0,0,0
1906958,0,0,0
1906961,0,0,0
1906964,0,0,0
1906966,0,0,0
1906969,0,0,0
1906971,0,0,0
1906974,0,0,0
1906976,0,0,0
1906979,0,0,0
1906982,0,0,0
1906984,0,0,0
1906988,0,0,0
1906990,0,0,0
1906993,0,0,0
1906995,0,0,0
1906998,0,0,0
1907001,0,0,0
1907003,0,0,0
1907006,0,0,0
1907008,0,0,0
1907011,0,0,0
1907013,0,0,0
1907016,0,0,0
1907019,0,0,0
1907021,0,0,0
1907024,0,0,0
1907026,0,0,0
1907030,0,0,0
1907033,0,0,0
1907035,0,0,0
1907038,0,0,0
1907040,0,0,0
1907043,0,0,0
1907045,0,0,0
1907048,0,0,0
1907051,0,0,0
1907053,0,0,0
1907056,0,0,0
1907058,0,0,0
1907061,0,0,0
1907063,0,0,0
1907066,0,0,0
1907069,0,0,0
1907072,0,0,0
1907075,0,0,0
1907077,0,0,0
1907080,0,0,0
1907082,0,0,0
1907085,0,0,0
1907088,0,0,0
1907090,0,0,0
1907093,0,0,0
1907095,0,0,0
1907098,0,0,0
1907100,0,0,0
1907103,0,0,0
1907106,0,0,0
1907108,0,0,0
1907111,0,0,0
1907113,0,0,0
1907117,0,0,0
1907119,0,0,0
1907122,0,0,0
1907125,0,0,0
1907127,0,0,0
1907130,0,0,0
1907132,0,0,0
1907135,0,0,0
1907137,0,0,0
1907140,0,0,0
1907143,0,0,0
1907145,0,0,0
1907148,0,0,0
1907150,0,0,0
1907153,0,0,0
1907155,0,0,0
1907159,0,0,0
1907162,0,0,0
1907164,0,0,0
1907167,0,0,0
1907169,0,0,0
1907172,0,0,0
1907174,0,0,0
1907177,0,0,0
1907180,0,0,0
1907182,0,0,0
1907185,0,0,0
1907187,0,0,0
1907190,0,0,0
1907192,0,0,0
1907195,0,0,0
1907198,0,0,0
1907201,0,0,0
1907204,0,0,0
1907206,0,0,0
1907209,0,0,0
1907211,0,0,0
1907214,0,0,0
1907217,0,0,0
1907219,0,0,0
1907222,0,0,0
1907224,0,0,0
1907227,0,0,0
1907229,0,0,0
1907232,0,0,0
1907235,0,0,0
1907237,0,0,0
1907240,0,0,0
1907243,0,0,0
1907246,0,0,0
1907249,0,0,0
1907251,0,0,0
1907254,0,0,0
1907256,0,0,0
1907259,0,0,0
1907261,0,0,0
1907264,0,0,0
1907267,0,0,0
1907269,0,0,0
1907272,0,0,0
1907274,0,0,0
1907277,0,0,0
1907279,0,0,0
1907282,0,0,0
1907286,0,0,0
1907288,0,0,0
1907291,0,0,0
1907293,0,0,0
1907296,0,0,0
1907298,0,0,0
1907301,0,0,0
1907304,0,0,0
1907306,0,0,0
1907309,0,0,0
1907311,0,0,0
1907314,0,0,0
1907316,0,0,0
1907319,0,0,0
1907322,0,0,0
1907324,0,0,0
1907328,0,0,0
1907330,0,0,0
1907333,0,0,0
1907335,0,0,0
1907338,0,0,0
1907341,0,0,0
1907343,0,0,0
1907346,0,0,0
1907348,0,0,0
1907351,0,0,0
1907353,0.1153499,0.1136409,-0.05233916
1907356,0.1153499,0.1136409,-0.05233916
1907359,0.2074791,0.20842,-0.03956468
1907361,0.2818553,0.2825486,-0.03426402
1907364,0.2818553,0.2825486,-0.03426402
1907366,0.3414966,0.3420692,-0.02797646
1907369,0.3830841,0.3841043,-0.02797646
1907372,0.3830841,0.3841043,-0.02797646
1907375,0.4427898,0.4436728,-0.01978234
1907378,0.4635163,0.4643598,-0.02797646
1907380,0.4635163,0.4643598,-0.02797646
1907383,0.4796977,0.4809199,0
1907385,0.4796977,0.4809199,0
1907388,0.4973219,0.4981082,-0.01978234
1907390,0.5226451,0.5237671,0
1907393,0.5226451,0.5237671,0
1907396,0.5289715,0.53008,-0.01978234
1907398,0.5341251,0.5355885,0
1907401,0.5341251,0.5355885,0
1907403,0.5489398,0.5503638,0
1907406,0.5542608,0.5556712,-0.01978234
1907408,0.5542608,0.5556712,-0.01978234
1907411,0.5616257,0.5630175,0
1907415,0.564406,0.5657911,-0.01978234
1907417,0.564406,0.5657911,-0.01978234
1907420,0.5688952,0.5702693,-0.01978234
1907422,0.5688952,0.5702693,-0.01978234
1907425,0.5753932,0.5767518,-0.01978234
1907427,0.5767518,0.5784457,0
1907430,0.5767518,0.5784457,0
1907433,0.5791218,0.5801346,0
1907435,0.5794597,0.5811456,-0.01978234
1907438,0.5794597,0.5811456,-0.01978234
1907440,0.5804718,0.5818186,0
1907443,0.5818186,0.5828267,0
1907446,0.5818186,0.5828267,0
1907448,0.5824909,0.5841681,-0.01978234
1907451,0.5821548,0.5841681,-0.01978234
1907453,0.5821548,0.5841681,-0.01978234
1907457,0.5818186,0.5831623,-0.01978234
1907459,0.5818186,0.5831623,-0.01978234
1907462,0.5848376,0.5865081,-0.01978234
1907465,0.589503,0.5911604,-0.01978234
1907467,0.589503,0.5911604,-0.01978234
1907470,0.590498,0.591822,0
1907472,0.5914913,0.5928131,-0.01978234
1907475,0.5914913,0.5928131,-0.01978234
1907477,0.5938025,0.5951191,-0.01978234
1907480,0.5954478,0.5967609,0
1907483,0.5954478,0.5967609,0
1907485,0.5964329,0.5977437,0
1907488,0.5993783,0.6003569,0
1907490,0.5993783,0.6003569,0
1907493,0.5964329,0.5970887,0
1907495,0.5964329,0.5970887,0
1907499,0.5941319,0.5944612,0
1907502,0.5921526,0.591822,0
1907504,0.5921526,0.591822,0
1907507,0.5928131,0.5924829,0
1907509,0.5931431,0.5924829,0
1907512,0.5931431,0.5924829,0
1907514,0.5970887,0.5967609,0
1907517,0.5990517,0.5983981,0
1907520,0.5990517,0.5983981,0
1907522,0.598071,0.5977437,0.01978234
1907525,0.5951191,0.5941319,0
1907527,0.5951191,0.5941319,0
1907530,0.5924829,0.591822,0
1907532,0.5924829,0.591822,0
1907535,0.5914913,0.590498,0
1907538,0.5875081,0.5861744,0.01978234
1907540,0.5875081,0.5861744,0.01978234
1907544,0.5858405,0.5841681,0.01978234
1907546,0.5888388,0.587175,0
1907549,0.5888388,0.587175,0
1907551,0.5901666,0.589503,0
1907554,0.5891711,0.5881739,0.01978234
1907557,0.5891711,0.5881739,0.01978234
1907559,0.5885065,0.5885065,0
1907562,0.589503,0.5888388,0
1907564,0.589503,0.5888388,0
1907567,0.589503,0.5891711,0
1907569,0.589503,0.5891711,0
1907572,0.5811456,0.5814822,0
1907575,0.5787839,0.5784457,0
1907577,0.5787839,0.5784457,0
1907580,0.5743721,0.575053,0
1907582,0.5730078,0.5736903,0
1907586,0.5730078,0.5736903,0
1907588,0.5709552,0.5719823,0
1907591,0.569239,0.5706123,0
1907594,0.569239,0.5706123,0
1907596,0.5647526,0.5661368,0
1907599,0.563365,0.5647526,-0.01978234
1907601,0.563365,0.5647526,-0.01978234
1907604,0.5588315,0.5605795,0
