Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,44.94504,(-0.02* 0.99* -0.16),(0.04* 0.81* 0.58),1.933101,(0.15* 0.98* -0.16),(0.11* 0.98* -0.16),(279.24* 189.00* 175.97)
Down,2,52.13754,(-0.04* 0.98* -0.17),(0.05* 0.74* 0.67),-1.636379,(0.11* 0.98* -0.19),(0.12* 0.98* -0.16),(279.24* 189.00* 175.97)
Down,3,52.80294,(-0.02* 0.99* -0.15),(0.05* 0.72* 0.69),2.519948,(0.14* 0.98* -0.13),(0.12* 0.98* -0.17),(279.24* 189.00* 175.97)
Right,1,-88.21129,(-0.03* 0.97* -0.22),(0.99* 0.04* -0.09),-17.81003,(0.15* 0.98* -0.14),(0.44* 0.89* -0.08),(279.24* 189.00* 175.97)
Right,2,-89.09545,(-0.02* 0.98* -0.17),(1.00* 0.02* -0.10),-16.74467,(0.18* 0.98* -0.12),(0.46* 0.89* -0.07),(279.24* 189.00* 175.97)
Right,3,-89.34107,(-0.02* 0.98* -0.17),(1.00* 0.02* -0.09),-16.28005,(0.19* 0.97* -0.13),(0.45* 0.89* -0.08),(279.24* 189.00* 175.97)
Up,1,-47.50915,(-0.02* 0.99* -0.15),(-0.08* 0.56* -0.83),-3.32849,(0.27* 0.96* -0.12),(0.27* 0.96* -0.06),(279.24* 189.00* 175.97)
Up,2,-50.3173,(-0.03* 0.98* -0.18),(-0.08* 0.49* -0.87),-3.547072,(0.24* 0.96* -0.12),(0.26* 0.96* -0.06),(279.24* 189.00* 175.97)
Up,3,-46.6963,(-0.03* 0.98* -0.21),(-0.09* 0.52* -0.85),-4.28898,(0.25* 0.96* -0.13),(0.26* 0.96* -0.06),(279.24* 189.00* 175.97)
Left,1,77.18021,(-0.05* 0.98* -0.18),(-0.98* 0.19* 0.05),22.30635,(0.24* 0.96* -0.14),(-0.13* 0.99* -0.01),(279.24* 189.00* 175.97)
Left,2,74.43579,(-0.03* 0.98* -0.18),(-0.97* 0.25* 0.04),16.94871,(0.19* 0.98* -0.10),(-0.09* 0.99* -0.04),(279.24* 189.00* 175.97)
Left,3,78.09826,(-0.04* 0.99* -0.16),(-0.98* 0.17* 0.06),17.13398,(0.18* 0.98* -0.10),(-0.12* 0.99* -0.09),(279.24* 189.00* 175.97)
