Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-23.18971,(0.03* 0.97* 0.24),(-0.02* 0.80* 0.60),-2.993952,(0.03* 0.99* 0.16),(0.02* 0.98* 0.21),(283.91* 6.22* 352.09)
Down,2,-1.102694,(0.03* 0.97* 0.24),(0.01* 0.97* 0.25),-2.928373,(0.03* 0.99* 0.12),(0.03* 0.99* 0.17),(283.91* 6.22* 352.09)
Down,3,-55.38386,(0.00* 0.98* 0.21),(-0.01* 0.38* 0.92),-13.14726,(0.04* 0.99* 0.12),(-0.04* 0.94* 0.33),(283.91* 6.22* 352.09)
Right,1,58.98803,(0.01* 0.97* 0.23),(0.86* 0.49* 0.12),4.394762,(0.02* 0.99* 0.10),(0.10* 0.99* 0.09),(283.91* 6.22* 352.09)
Right,2,52.231,(0.05* 0.95* 0.29),(0.82* 0.55* 0.15),5.382776,(0.04* 0.99* 0.16),(0.12* 0.99* 0.10),(283.91* 6.22* 352.09)
Right,3,58.81702,(0.00* 0.98* 0.18),(0.85* 0.50* 0.14),4.067268,(0.06* 0.98* 0.18),(0.10* 0.99* 0.12),(283.91* 6.22* 352.09)
Up,1,39.29712,(0.04* 0.98* 0.18),(0.05* 0.88* -0.48),-2.905084,(0.03* 0.99* 0.11),(-0.02* 1.00* 0.09),(283.91* 6.22* 352.09)
Up,2,38.73438,(0.02* 0.98* 0.20),(0.05* 0.89* -0.46),-4.07006,(0.00* 1.00* 0.06),(-0.03* 0.99* 0.12),(283.91* 6.22* 352.09)
Up,3,38.47693,(0.03* 0.98* 0.20),(0.04* 0.89* -0.45),-3.694062,(0.04* 0.99* 0.13),(-0.02* 0.99* 0.11),(283.91* 6.22* 352.09)
Left,1,-51.04594,(0.02* 0.99* 0.17),(-0.76* 0.64* 0.12),-4.945023,(0.03* 0.99* 0.13),(-0.05* 1.00* 0.08),(283.91* 6.22* 352.09)
Left,2,-55.74456,(0.02* 0.98* 0.19),(-0.82* 0.57* 0.10),-1.286183,(-0.03* 1.00* 0.09),(-0.05* 1.00* 0.08),(283.91* 6.22* 352.09)
Left,3,-52.45489,(0.03* 0.98* 0.20),(-0.77* 0.63* 0.12),-0.2719625,(0.03* 0.99* 0.16),(0.02* 0.99* 0.16),(283.91* 6.22* 352.09)
