Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,43.76136,(-0.09* 0.98* -0.19),(-0.03* 0.84* 0.54),7.707903,(0.19* 0.98* -0.12),(0.16* 0.96* -0.25),(282.03* 205.25* 159.03)
Down,2,39.53574,(-0.09* 0.98* -0.19),(-0.03* 0.88* 0.48),4.167486,(0.17* 0.97* -0.16),(0.15* 0.96* -0.23),(282.03* 205.25* 159.03)
Down,3,45.91018,(-0.09* 0.98* -0.19),(-0.02* 0.82* 0.57),4.913624,(0.17* 0.97* -0.16),(0.16* 0.96* -0.25),(282.03* 205.25* 159.03)
Right,1,-82.28579,(-0.08* 0.98* -0.19),(0.97* 0.20* -0.11),-5.528822,(0.19* 0.98* -0.11),(0.27* 0.95* -0.15),(282.03* 205.25* 159.03)
Right,2,-83.76166,(-0.10* 0.98* -0.20),(0.98* 0.19* -0.11),7.205601,(0.19* 0.98* -0.09),(0.28* 0.95* -0.17),(282.03* 205.25* 159.03)
Right,3,-86.8979,(-0.09* 0.98* -0.19),(0.99* 0.13* -0.09),-5.364214,(0.19* 0.98* -0.10),(0.28* 0.95* -0.14),(282.03* 205.25* 159.03)
Up,1,-38.47005,(-0.12* 0.97* -0.21),(-0.12* 0.62* -0.77),-6.038548,(0.16* 0.98* -0.11),(0.15* 0.99* 0.00),(282.03* 205.25* 159.03)
Up,2,-41.87895,(-0.09* 0.97* -0.21),(-0.11* 0.58* -0.81),-4.214961,(0.17* 0.98* -0.08),(0.15* 0.99* -0.01),(282.03* 205.25* 159.03)
Up,3,-39.19141,(-0.09* 0.97* -0.20),(-0.11* 0.62* -0.77),-4.304251,(0.18* 0.98* -0.08),(0.16* 0.99* -0.01),(282.03* 205.25* 159.03)
Left,1,70.37388,(-0.09* 0.97* -0.20),(-0.97* 0.25* 0.01),9.483776,(0.17* 0.98* -0.11),(0.01* 1.00* -0.08),(282.03* 205.25* 159.03)
Left,2,71.88358,(-0.11* 0.97* -0.21),(-0.98* 0.21* 0.02),9.06538,(0.12* 0.99* -0.12),(-0.02* 1.00* -0.04),(282.03* 205.25* 159.03)
Left,3,73.96929,(-0.08* 0.98* -0.20),(-0.98* 0.21* 0.01),6.666533,(0.12* 0.99* -0.10),(0.00* 1.00* -0.10),(282.03* 205.25* 159.03)
