Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-0.3951527,(-0.02* 1.00* -0.02),(-0.02* 1.00* -0.03),-0.1170339,(0.08* 1.00* 0.00),(0.08* 1.00* 0.00),(271.64* 259.47* 98.77)
Down,2,56.35469,(-0.02* 1.00* -0.06),(-0.05* 0.60* 0.80),-12.45438,(0.07* 1.00* 0.03),(0.03* 0.97* 0.24),(271.64* 259.47* 98.77)
Down,3,63.25928,(-0.03* 1.00* -0.05),(-0.04* 0.49* 0.87),-17.00657,(0.06* 1.00* 0.02),(0.02* 0.95* 0.31),(271.64* 259.47* 98.77)
Right,1,-73.34347,(-0.03* 1.00* -0.04),(0.95* 0.32* 0.03),14.16769,(0.07* 1.00* 0.05),(0.32* 0.95* 0.03),(271.64* 259.47* 98.77)
Right,2,2.073959,(0.01* 1.00* -0.01),(-0.01* 1.00* -0.04),-1.683304,(0.09* 0.99* 0.12),(0.10* 0.98* 0.15),(271.64* 259.47* 98.77)
Right,3,-76.46728,(-0.03* 1.00* -0.05),(0.96* 0.27* 0.03),14.64044,(0.10* 0.98* 0.15),(0.33* 0.94* 0.07),(271.64* 259.47* 98.77)
Up,1,37.15849,(0.02* 1.00* -0.04),(0.00* 0.77* -0.64),-4.524415,(0.09* 0.99* 0.05),(0.06* 0.99* 0.12),(271.64* 259.47* 98.77)
Up,2,-41.11165,(-0.05* 1.00* -0.01),(0.00* 0.75* -0.66),-1.48068,(0.07* 0.99* 0.10),(0.06* 0.99* 0.12),(271.64* 259.47* 98.77)
Up,3,-38.74669,(-0.01* 1.00* -0.07),(-0.01* 0.74* -0.68),-2.05519,(0.06* 0.99* 0.08),(0.05* 0.99* 0.12),(271.64* 259.47* 98.77)
Left,1,52.08937,(-0.03* 1.00* -0.08),(-0.81* 0.59* -0.01),-16.97414,(0.01* 1.00* 0.03),(-0.28* 0.96* 0.09),(271.64* 259.47* 98.77)
Left,2,48.80209,(-0.06* 1.00* -0.02),(-0.79* 0.61* -0.02),-10.47717,(-0.07* 0.99* 0.11),(-0.25* 0.97* 0.07),(271.64* 259.47* 98.77)
Left,3,47.28742,(-0.07* 1.00* -0.03),(-0.78* 0.63* -0.03),-13.47962,(-0.07* 0.99* 0.11),(-0.30* 0.95* 0.08),(271.64* 259.47* 98.77)
