Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Down,1,10.64828,40.44501,0.6236961,-5.113624,22.53688,4.954522,0.8897746
Down,1,10.70415,40.45803,0.6327289,-5.110059,22.85023,5.218982,0.7967216
Down,1,10.72644,40.49412,0.6452838,-5.104957,23.10933,5.430583,0.7271236
Down,1,10.75767,40.53052,0.6549156,-5.100695,23.40022,5.662336,0.6537194
Down,1,10.78408,40.56355,0.6623429,-5.09493,23.64742,5.855045,0.587175
Down,1,10.80663,40.59552,0.6693957,-5.088966,22.98336,5.244637,0.7105184
Down,1,10.835,40.85564,0.7625886,-5.0179,21.65918,4.040263,1.093964
Down,1,10.86359,41.05532,0.8383681,-4.969091,20.78408,3.230406,1.360275
Down,1,10.88402,41.12855,0.8688563,-4.95298,20.48932,2.975851,1.465803
Down,1,10.90577,41.19507,0.8945997,-4.940464,20.26797,2.797434,1.551669
Down,1,10.93306,41.27846,0.9274623,-4.918447,20.0055,2.52871,1.624015
Down,1,10.96181,41.33635,0.953881,-4.909037,19.87068,2.36132,1.657294
Down,1,10.98985,41.37819,0.9857605,-4.909197,20.52623,2.887172,1.461123
Down,1,11.01771,41.37169,1.017026,-4.904725,20.63815,3.458929,1.399277
Down,1,11.05881,41.33625,1.040234,-4.89801,21.26001,3.881108,1.115222
Down,1,11.0869,41.29796,1.056659,-4.890885,20.83891,3.565571,1.41513
Down,1,11.11483,41.27146,1.071189,-4.885595,20.63521,3.399667,1.601078
Down,1,11.14232,41.2484,1.092353,-4.873792,21.86353,4.328119,1.115222
Down,1,11.1701,41.22451,1.111708,-4.863894,22.75103,4.99583,0.7380747
Down,1,11.19226,41.21278,1.120649,-4.867236,22.87596,5.057956,0.6667597
Down,1,11.22601,41.15594,1.153857,-4.879497,22.75067,5.354488,0.6620474
Down,1,11.2557,41.11209,1.198936,-4.89561,22.60774,5.558482,0.6641131
Down,1,11.28601,41.00748,1.258344,-4.89921,22.5075,5.150808,0.6361217
Down,1,11.30939,40.94649,1.289526,-4.89717,22.80816,5.311867,0.5374122
Down,1,11.34253,40.83707,1.349007,-4.883189,23.36788,5.66794,0.3599087
Down,1,11.36442,40.73692,1.372448,-4.881504,23.56288,5.809136,0.2900664
Down,1,11.39197,40.50019,1.375439,-4.879296,23.78665,5.985891,0.199792
Down,1,11.42033,40.32311,1.394654,-4.885355,23.91543,6.099501,0.132704
Down,1,11.44783,40.21376,1.426836,-4.884713,23.96889,6.168217,0.09065409
Down,1,11.47602,40.092,1.457905,-4.874958,22.52914,5.118717,0.7430948
Down,1,11.49672,40.02169,1.472065,-4.870696,21.74208,4.533152,1.11645
Down,1,11.5179,39.98814,1.492265,-4.880099,21.12654,4.060425,1.425464
Down,1,11.54531,39.87485,1.524698,-4.889002,20.09761,3.280382,1.900531
Down,1,11.57282,39.67907,1.552047,-4.882627,19.3712,2.754135,2.196509
Down,1,11.60152,39.63936,1.606934,-4.888361,18.88563,2.428419,2.370255
Down,1,11.62886,39.54379,1.678298,-4.880901,18.58938,2.216467,2.506943
Down,1,11.65011,39.44866,1.7176,-4.871782,18.50421,2.146669,2.572909
Down,1,11.67069,39.3162,1.7668,-4.856114,18.67702,2.740812,2.315198
Down,1,11.69895,39.019,1.865401,-4.823977,18.88312,4.307435,1.73054
Down,1,11.72686,38.70886,1.961343,-4.797875,18.6845,3.652591,1.866659
Down,1,11.75365,38.34454,2.053094,-4.766045,18.99375,3.522145,1.924476
Down,1,11.78556,37.78725,2.136433,-4.702655,20.26361,4.316474,1.363149
Down,1,11.82333,37.25048,2.220437,-4.645279,19.68842,3.916667,1.531357
Down,1,11.84981,36.86053,2.309019,-4.623003,18.77259,3.324488,1.836323
Down,1,11.87816,36.41837,2.374381,-4.599342,18.13739,2.929375,2.041623
Down,1,11.90667,35.89861,2.402163,-4.572133,18.12841,2.833241,1.734832
Down,1,11.93409,35.0873,2.348938,-4.584625,17.67747,2.564146,1.79275
Down,1,11.96943,34.41911,2.284219,-4.624825,17.54719,2.997024,1.57607
Down,1,11.99056,34.14124,2.263216,-4.649663,17.42193,2.963062,1.455084
Down,1,12.01772,33.62847,2.219467,-4.685712,17.27556,3.346792,1.306861
Down,1,12.0455,33.12328,2.180501,-4.710687,16.97375,3.04639,1.355952
Down,1,12.07304,32.58618,2.142471,-4.709731,16.8409,2.90232,1.296337
Down,1,12.10073,32.06335,2.117293,-4.698029,16.62943,2.882897,1.233053
Down,1,12.12335,31.78964,2.120711,-4.687635,16.57157,2.869831,1.210631
Down,1,12.14906,31.48148,2.13194,-4.655599,16.53024,2.864437,1.199426
Down,1,12.17044,31.10229,2.120711,-4.641314,16.4376,2.798483,1.207556
Down,1,12.19797,30.35852,2.080461,-4.638105,16.23618,2.618531,1.213859
Down,1,12.22626,29.58894,2.039225,-4.586932,16.06065,2.479782,1.203985
Down,1,12.25377,28.97731,2.002423,-4.559305,16.20483,3.369471,0.9228091
Down,1,12.28232,28.13865,1.961942,-4.507109,17.59098,4.64317,0.5337587
Down,1,12.3024,27.71918,1.965131,-4.45505,17.8618,5.324689,0.392669
Down,1,12.32431,27.26093,1.993214,-4.40064,17.76873,6.073702,0.2332305
Down,1,12.35056,26.35235,2.018582,-4.32178,16.88137,5.463501,0.6641131
Down,1,12.37933,25.47851,2.086472,-4.26719,16.17567,4.82487,1.056844
Down,1,12.40687,24.58047,2.110071,-4.213892,15.67825,4.410333,1.317301
Down,1,12.43443,23.75974,2.139912,-4.191664,15.31069,4.167438,1.477108
Down,1,12.45721,23.36354,2.139912,-4.203794,15.39992,4.857082,1.141582
Down,1,12.4902,22.44039,2.14448,-4.26177,15.18811,5.01028,1.093606
Down,1,12.51763,21.5856,2.151951,-4.321145,14.84588,4.655095,1.290285
Down,1,12.54588,20.81343,2.145027,-4.391507,14.52407,4.379806,1.461659
Down,1,12.57313,20.00669,2.154405,-4.46857,14.24361,4.218398,1.575201
Down,1,12.60776,19.16042,2.192496,-4.509629,14.01356,4.142221,1.622809
Down,1,12.6297,18.60132,2.251511,-4.523636,13.83962,4.108992,1.670701
Down,1,12.65725,17.4709,2.388763,-4.540061,13.53133,4.109374,1.740463
Down,1,12.68462,16.32187,2.545221,-4.554706,13.72106,4.441443,1.586466
Down,1,12.71246,15.20226,2.790287,-4.56746,13.47123,4.746109,1.410143
Down,1,12.74054,14.1054,2.968804,-4.597169,12.96359,4.591542,1.510772
Down,1,12.76083,13.64726,3.021872,-4.633457,12.7366,4.570333,1.561475
Down,1,12.7824,13.0722,3.127688,-4.645321,12.39491,4.370405,1.50285
Down,1,12.80933,12.00947,3.315289,-4.657156,11.7743,4.016979,1.36659
Down,1,12.83756,11.05747,3.455191,-4.65888,11.23505,3.766708,1.243483
Down,1,12.87059,10.13343,3.552808,-4.653579,12.31493,5.103268,0.7457234
Down,1,12.89322,9.651804,3.599456,-4.631216,11.70851,4.954443,0.9102123
Down,1,12.9155,9.180571,3.632433,-4.60262,11.14285,4.70457,1.002101
Down,1,12.9368,8.670565,3.644111,-4.568361,10.63774,4.491,1.005026
Down,1,12.96368,7.797018,3.606304,-4.503761,9.693127,4.320873,1.219167
Down,1,12.99077,7.059859,3.516582,-4.437694,9.077444,4.268566,1.196649
Down,1,13.01872,6.394668,3.39546,-4.350642,8.700394,4.237806,1.075746
Down,1,13.04643,5.820192,3.250645,-4.267143,8.314464,4.149307,1.024884
Down,1,13.08789,5.226785,3.038733,-4.14704,7.9148,4.088399,1.044739
Down,1,13.11512,4.678181,2.796874,-4.01732,7.497006,4.113279,0.9815831
Down,1,13.14333,4.287519,2.551826,-3.913265,7.100035,4.070012,0.9472937
Down,1,13.17091,3.99145,2.337075,-3.810434,6.759437,4.029926,0.9701535
Down,1,13.19878,3.829043,2.174839,-3.719681,6.433187,4.0308,0.9653005
Down,1,13.21926,-3.814594,2.112481,-3.685305,6.274761,4.057289,0.9466738
Down,1,13.24039,-3.845067,2.077071,-3.661318,6.116063,4.044284,0.8804895
Down,1,13.26829,-3.977886,2.030183,-3.597279,5.797619,3.956809,0.7969672
Down,1,13.29623,-4.218258,2.042677,-3.520087,5.504311,3.976704,0.7722777
Down,1,13.32395,-4.606619,2.030954,-3.448044,5.346761,4.073041,0.6766641
Down,1,13.35171,-5.064962,2.016836,-3.405421,5.188407,4.150062,0.6010084
Down,1,13.37188,-5.288761,2.011102,-3.393845,5.013994,4.116563,0.6071628
Down,1,13.39358,-5.555414,2.005353,-3.3894,4.873511,4.133512,0.5814822
Down,1,13.42118,-6.104384,1.988397,-3.391652,4.622029,4.191991,0.5736903
Down,1,13.44858,-6.64033,1.97209,-3.394941,4.347489,4.237159,0.5736903
Down,1,13.47662,-7.19612,1.936742,-3.396037,4.010636,4.205238,0.5814822
Down,1,13.50454,-7.77082,1.887097,-3.400012,3.724889,4.21575,0.6116581
Down,1,13.52462,-8.049008,1.866659,-3.403063,3.64889,4.253628,0.589503
Down,1,13.54593,-8.351225,1.833764,-3.399321,3.516526,4.294822,0.5901666
Down,1,13.57355,-8.914382,1.766357,-3.381304,3.194082,4.297375,0.6214961
Down,1,13.60161,-9.470232,1.669881,-3.357597,2.885748,4.324996,0.7107937
Down,1,13.62942,-9.995267,1.542689,-3.318594,2.605642,4.327441,0.7684676
Down,1,13.65912,-10.33645,1.494231,-3.281157,2.416299,4.32178,0.7646385
Down,2,17.39372,43.76236,1.466471,-4.260483,14.64409,2.834347,1.447127
Down,2,17.42187,43.76971,1.493445,-4.257264,14.64634,2.840831,1.445097
Down,2,17.44919,43.761,1.541674,-4.221878,14.64269,2.847782,1.442929
Down,2,17.47733,43.74095,1.581029,-4.20151,14.63448,2.855676,1.442793
Down,2,17.49755,43.72502,1.595568,-4.196333,14.62965,2.860744,1.442115
Down,2,17.51953,43.73035,1.607421,-4.200252,14.62501,2.866282,1.438719
Down,2,17.54719,43.6822,1.624015,-4.19582,14.61821,2.875623,1.436132
Down,2,17.57491,43.6729,1.644134,-4.187036,14.61616,2.879976,1.434359
Down,2,17.6025,43.67887,1.657058,-4.182121,14.61806,2.881199,1.434632
Down,2,17.62973,43.73355,1.65871,-4.192925,14.61825,2.881539,1.434905
Down,2,17.65019,43.76371,1.656703,-4.1961,14.61874,2.881131,1.43395
Down,2,17.67197,43.78492,1.653511,-4.193439,14.62181,2.883101,1.433131
Down,2,17.69978,43.78669,1.648889,-4.179686,14.62327,2.886494,1.430124
Down,2,17.72737,43.74967,1.645324,-4.161137,14.62562,2.891576,1.429303
Down,2,17.75525,43.71552,1.644253,-4.146237,14.62565,2.896378,1.432175
Down,2,17.78298,43.66578,1.64342,-4.130811,14.62505,2.898473,1.433268
Down,2,17.80349,43.64072,1.643896,-4.123456,14.62557,2.90097,1.434087
Down,2,17.82441,43.61597,1.647701,-4.116278,14.62064,2.900836,1.434223
Down,2,17.8526,43.57122,1.655758,-4.107419,14.61637,2.901038,1.434905
Down,2,17.88051,43.54329,1.66906,-4.106418,14.61013,2.90124,1.434359
Down,2,17.90793,43.51496,1.684118,-4.126399,14.60279,2.912621,1.423953
Down,2,17.93601,43.46556,1.696506,-4.150298,14.59681,2.931847,1.413332
Down,2,17.97735,43.28764,1.705939,-4.146049,14.57559,2.942843,1.410282
Down,2,18.00547,42.92714,1.716232,-4.088399,14.52867,2.94796,1.413608
Down,2,18.03272,42.7694,1.734042,-4.062499,14.47533,2.95287,1.416374
Down,2,18.06142,42.43376,1.762142,-4.014102,14.35649,2.880044,1.419135
Down,2,18.08866,42.11133,1.796567,-3.987179,14.30093,2.905758,1.393812
Down,2,18.10904,41.87303,1.807103,-3.967534,14.27248,2.917389,1.384798
Down,2,18.13009,41.58271,1.819407,-3.951857,14.1879,2.918127,1.416651
Down,2,18.15801,40.87774,1.871999,-3.90891,14.0149,2.9265,1.468071
Down,2,18.186,40.16845,1.942695,-3.884184,13.85772,2.917456,1.474057
Down,2,18.21347,39.22463,2.000076,-3.841908,13.69993,2.90232,1.458174
Down,2,18.24132,38.2064,2.053761,-3.801585,13.51847,2.934249,1.437222
Down,2,18.26158,37.68618,2.082717,-3.784859,13.43479,2.95234,1.4125
Down,2,18.28303,37.0419,2.110627,-3.781961,13.3115,2.936383,1.398858
Down,2,18.31027,35.85838,2.164556,-3.784031,13.06353,2.895567,1.379843
Down,2,18.3388,34.82239,2.211428,-3.796018,12.88019,2.911007,1.32648
Down,2,18.36623,33.70784,2.236597,-3.805652,12.69459,2.899148,1.2698
Down,2,18.39412,32.63008,2.229497,-3.822133,12.54511,2.929442,1.206907
Down,2,18.41465,32.13028,2.208417,-3.829247,12.44213,2.973548,1.203823
Down,2,18.43595,31.53937,2.188743,-3.837778,12.28866,3.011619,1.207232
Down,2,18.46355,30.2605,2.132582,-3.837931,11.8538,3.028279,1.315815
Down,2,18.49146,29.31981,2.079237,-3.871206,11.53459,2.949288,1.342172
Down,2,18.5192,28.38065,2.03519,-3.903295,11.25178,2.888663,1.357106
Down,2,18.54727,27.45132,1.964733,-3.939399,10.99411,2.864779,1.338814
Down,2,18.56738,26.95469,1.916017,-3.956562,10.87125,2.88907,1.354653
Down,2,18.58884,26.36115,1.865821,-3.978034,10.71541,2.907239,1.377004
Down,2,18.61641,25.26632,1.762808,-4.020585,10.41832,2.925631,1.391705
Down,2,18.64411,24.19726,1.670818,-4.064667,10.19551,2.936317,1.330163
Down,2,18.6718,23.14635,1.589793,-4.096199,9.937075,2.929642,1.298147
Down,2,18.70005,22.18615,1.547122,-4.143497,9.659928,2.942643,1.334715
Down,2,18.72021,21.74042,1.515557,-4.158312,9.536381,2.955057,1.348136
Down,2,18.74157,21.23508,1.481209,-4.172698,9.431234,3.012529,1.335155
Down,2,18.76892,20.34358,1.422303,-4.213659,9.258075,3.113825,1.281
Down,2,18.79695,19.58183,1.384656,-4.27196,9.043223,3.193347,1.315815
Down,2,18.8251,18.87731,1.361856,-4.334676,8.844312,3.220999,1.259277
Down,2,18.85283,18.20324,1.329721,-4.391106,8.646747,3.249862,1.212569
