Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,44.69831,(-0.01* 0.44* -0.90),(-0.09* -0.32* -0.94),-4.911032,(0.12* 0.99* 0.00),(0.06* 1.00* 0.06),(332.81* 180.66* 185.75)
Up,2,43.84202,(-0.02* 0.43* -0.90),(-0.08* -0.32* -0.95),-4.872506,(0.09* 1.00* 0.02),(0.04* 0.99* 0.09),(332.81* 180.66* 185.75)
Up,3,41.51426,(-0.02* 0.42* -0.91),(-0.08* -0.28* -0.96),-3.625743,(0.08* 1.00* 0.01),(0.05* 1.00* 0.06),(332.81* 180.66* 185.75)
Left,1,50.85985,(-0.01* 0.42* -0.91),(-0.78* 0.36* -0.52),-1.254918,(0.09* 1.00* -0.02),(0.07* 1.00* -0.01),(332.81* 180.66* 185.75)
Left,2,43.88438,(-0.06* 0.45* -0.89),(-0.73* 0.37* -0.57),-0.4414621,(0.08* 1.00* -0.01),(0.08* 1.00* 0.00),(332.81* 180.66* 185.75)
Left,3,43.61625,(-0.06* 0.46* -0.89),(-0.73* 0.38* -0.57),-0.1791368,(0.08* 1.00* -0.01),(0.08* 1.00* -0.01),(332.81* 180.66* 185.75)
Down,1,-17.80102,(-0.07* 0.46* -0.88),(0.02* 0.70* -0.71),5.451759,(0.09* 1.00* -0.01),(0.11* 0.99* -0.10),(332.81* 180.66* 185.75)
Down,2,-17.50286,(0.00* 0.50* -0.87),(0.02* 0.74* -0.68),4.226561,(0.10* 0.99* -0.06),(0.10* 0.99* -0.13),(332.81* 180.66* 185.75)
Down,3,-16.62341,(0.00* 0.48* -0.87),(0.02* 0.71* -0.70),4.419117,(0.09* 0.99* -0.06),(0.10* 0.99* -0.14),(332.81* 180.66* 185.75)
Right,1,-57.84663,(-0.01* 0.48* -0.88),(0.83* 0.15* -0.53),-1.357106,(0.09* 0.99* -0.05),(0.11* 0.99* -0.04),(332.81* 180.66* 185.75)
Right,2,-57.55423,(0.03* 0.46* -0.89),(0.85* 0.15* -0.50),-2.013826,(0.11* 0.99* -0.03),(0.14* 0.99* -0.01),(332.81* 180.66* 185.75)
Right,3,-56.39483,(0.03* 0.46* -0.89),(0.85* 0.16* -0.51),-1.727144,(0.13* 0.99* -0.03),(0.14* 0.99* -0.01),(332.81* 180.66* 185.75)
