Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,70.75744,(0.17* 0.94* 0.28),(0.73* 0.39* -0.57),13.40647,(-0.12* 0.99* 0.08),(0.11* 0.99* 0.03),(289.18* 30.63* 14.51)
Right,2,66.19108,(0.18* 0.95* 0.27),(0.72* 0.45* -0.53),9.214458,(-0.04* 1.00* 0.08),(0.12* 0.99* 0.05),(289.18* 30.63* 14.51)
Right,3,72.82951,(0.18* 0.95* 0.27),(0.73* 0.35* -0.59),11.46931,(-0.03* 1.00* 0.09),(0.17* 0.99* 0.05),(289.18* 30.63* 14.51)
Up,1,-77.23244,(0.15* 0.95* 0.27),(-0.64* 0.50* -0.59),-6.248868,(-0.06* 1.00* 0.05),(-0.09* 0.99* -0.06),(289.18* 30.63* 14.51)
Up,2,-74.58321,(0.15* 0.95* 0.27),(-0.62* 0.54* -0.57),-3.673491,(-0.07* 1.00* -0.01),(-0.07* 0.99* -0.07),(289.18* 30.63* 14.51)
Up,3,-77.2193,(0.17* 0.94* 0.28),(-0.63* 0.52* -0.58),5.788923,(-0.08* 1.00* -0.01),(-0.08* 0.99* 0.09),(289.18* 30.63* 14.51)
Left,1,-92.80944,(0.16* 0.95* 0.28),(-0.72* -0.13* 0.68),-18.88423,(-0.08* 1.00* 0.00),(-0.39* 0.92* -0.08),(289.18* 30.63* 14.51)
Left,2,-98.70844,(0.16* 0.94* 0.30),(-0.73* -0.24* 0.64),-17.79165,(-0.15* 0.99* 0.03),(-0.41* 0.90* -0.12),(289.18* 30.63* 14.51)
Left,3,-98.78168,(0.16* 0.94* 0.30),(-0.73* -0.24* 0.64),-18.69577,(-0.15* 0.99* -0.03),(-0.43* 0.89* -0.16),(289.18* 30.63* 14.51)
Down,1,51.04903,(0.16* 0.94* 0.30),(0.64* 0.34* 0.69),-12.95549,(-0.16* 0.99* 0.07),(-0.12* 0.98* -0.15),(289.18* 30.63* 14.51)
Down,2,39.98651,(0.18* 0.94* 0.30),(0.57* 0.50* 0.65),2.883237,(-0.12* 0.99* -0.06),(-0.12* 0.99* -0.01),(289.18* 30.63* 14.51)
Down,3,41.83184,(0.18* 0.94* 0.30),(0.58* 0.47* 0.66),-1.37885,(-0.13* 0.99* -0.02),(-0.12* 0.99* -0.04),(289.18* 30.63* 14.51)
