Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,68.69061,(0.21* 0.92* 0.34),(0.76* 0.41* -0.50),-5.0303,(-0.14* 0.99* 0.09),(-0.09* 1.00* 0.02),(293.10* 30.61* 12.69)
Right,2,72.88403,(0.21* 0.92* 0.33),(0.76* 0.34* -0.55),-1.733365,(-0.12* 0.99* 0.03),(-0.09* 1.00* 0.02),(293.10* 30.61* 12.69)
Right,3,75.49406,(0.21* 0.92* 0.34),(0.76* 0.31* -0.57),1.125179,(-0.12* 0.99* 0.04),(-0.10* 0.99* 0.04),(293.10* 30.61* 12.69)
Up,1,-72.46621,(0.22* 0.92* 0.33),(-0.55* 0.64* -0.53),-8.406534,(-0.15* 0.98* 0.08),(-0.18* 0.98* -0.06),(293.10* 30.61* 12.69)
Up,2,-71.47477,(0.22* 0.91* 0.35),(-0.54* 0.67* -0.50),4.797548,(-0.17* 0.99* 0.01),(-0.20* 0.98* 0.09),(293.10* 30.61* 12.69)
Up,3,-63.98969,(0.20* 0.92* 0.34),(-0.49* 0.75* -0.45),-9.395968,(-0.17* 0.98* 0.07),(-0.17* 0.98* -0.09),(293.10* 30.61* 12.69)
Left,1,-77.00688,(0.19* 0.93* 0.32),(-0.67* 0.13* 0.73),-13.41757,(-0.15* 0.99* 0.08),(-0.22* 0.97* -0.14),(293.10* 30.61* 12.69)
Left,2,-80.2496,(0.19* 0.92* 0.34),(-0.70* 0.07* 0.71),-9.04974,(-0.17* 0.99* 0.01),(-0.20* 0.97* -0.14),(293.10* 30.61* 12.69)
Left,3,-79.37399,(0.18* 0.92* 0.35),(-0.71* 0.07* 0.71),-11.80402,(-0.19* 0.98* 0.05),(-0.19* 0.97* -0.15),(293.10* 30.61* 12.69)
Down,1,26.0885,(0.19* 0.92* 0.35),(0.46* 0.66* 0.60),-4.92406,(-0.16* 0.99* 0.04),(-0.13* 0.99* -0.04),(293.10* 30.61* 12.69)
Down,2,26.04434,(0.20* 0.92* 0.34),(0.47* 0.65* 0.59),-6.47911,(-0.16* 0.99* 0.06),(-0.13* 0.99* -0.05),(293.10* 30.61* 12.69)
Down,3,27.33733,(0.20* 0.91* 0.36),(0.48* 0.63* 0.61),-9.323607,(-0.16* 0.98* 0.07),(-0.13* 0.99* -0.09),(293.10* 30.61* 12.69)
