Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-72.71082,(-0.01* 0.97* 0.25),(-0.95* 0.30* 0.01),-14.60185,(-0.07* 1.00* 0.04),(-0.32* 0.94* 0.09),(284.50* 357.64* 358.53)
Left,2,-67.62531,(-0.02* 0.97* 0.23),(-0.93* 0.36* 0.03),8.355785,(-0.15* 0.99* -0.03),(-0.29* 0.96* 0.01),(284.50* 357.64* 358.53)
Left,3,-71.40416,(-0.02* 0.97* 0.24),(-0.95* 0.31* 0.01),-4.66136,(-0.22* 0.97* 0.04),(-0.30* 0.95* 0.03),(284.50* 357.64* 358.53)
Down,1,-70.0448,(0.00* 0.98* 0.18),(-0.06* 0.16* 0.98),8.854857,(-0.12* 0.99* -0.08),(-0.08* 0.99* 0.07),(284.50* 357.64* 358.53)
Down,2,-62.27541,(0.01* 0.98* 0.20),(-0.06* 0.28* 0.96),3.490371,(-0.08* 1.00* -0.03),(-0.05* 1.00* 0.02),(284.50* 357.64* 358.53)
Down,3,-66.62747,(0.00* 0.97* 0.22),(-0.06* 0.18* 0.98),5.440245,(-0.08* 1.00* -0.05),(-0.08* 1.00* 0.05),(284.50* 357.64* 358.53)
Right,1,73.1366,(0.00* 0.98* 0.19),(0.95* 0.27* 0.13),16.88313,(-0.08* 0.99* -0.06),(0.11* 0.98* 0.16),(284.50* 357.64* 358.53)
Right,2,59.10252,(0.03* 0.97* 0.23),(0.87* 0.46* 0.17),10.84079,(-0.03* 1.00* -0.04),(0.07* 0.99* 0.12),(284.50* 357.64* 358.53)
Right,3,62.68239,(-0.01* 0.97* 0.25),(0.88* 0.44* 0.17),16.11031,(-0.01* 1.00* -0.01),(0.13* 0.96* 0.23),(284.50* 357.64* 358.53)
Up,1,59.86645,(-0.01* 0.97* 0.25),(0.05* 0.70* -0.71),10.21685,(-0.06* 0.99* -0.08),(-0.08* 0.99* 0.09),(284.50* 357.64* 358.53)
Up,2,-44.1062,(-0.02* 0.97* 0.23),(0.04* 0.86* -0.51),2.808886,(-0.08* 1.00* 0.01),(-0.10* 0.99* 0.05),(284.50* 357.64* 358.53)
Up,3,40.82655,(-0.01* 0.98* 0.20),(0.04* 0.87* -0.49),4.334947,(-0.08* 1.00* 0.00),(-0.10* 0.99* 0.08),(284.50* 357.64* 358.53)
