Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Down,1,5.896399,3.05159,-3.976113,0.6173896,0.3732531,0.2940859,-0.2007689
Down,1,5.966215,3.008823,-3.979953,0.6367366,0.3690354,0.302612,-0.1968319
Down,1,5.999589,2.974601,-3.981232,0.6486109,0.3794918,0.3177519,-0.1968319
Down,1,6.031812,2.962203,-3.974783,0.6504185,0.4025119,0.3304307,-0.2046302
Down,1,6.071414,2.962666,-3.966399,0.646193,0.3976209,0.3250574,-0.1968319
Down,1,6.100164,2.967815,-3.958591,0.6394964,0.386643,0.3140353,-0.183454
Down,1,6.127903,3.001266,-3.958343,0.633656,0.4343124,0.3226406,-0.2055842
Down,1,6.160127,3.007456,-3.953492,0.6308707,0.4541341,0.3183671,-0.2102893
Down,1,6.199917,3.018567,-3.951163,0.6286958,0.4601268,0.3083766,-0.2046302
Down,1,6.243429,2.995325,-3.949329,0.6364292,0.4743652,0.2887141,-0.2007689
Down,1,6.288222,2.959625,-3.953294,0.6495153,0.4801054,0.2697954,-0.1897456
Down,1,6.322693,2.93565,-3.95364,0.660568,0.4714689,0.2478722,-0.1678588
Down,1,6.351269,2.917926,-3.953839,0.6714388,0.4554249,0.2332305,-0.1506579
Down,1,6.378786,2.904477,-3.9527,0.6795497,0.456712,0.2229358,-0.1480375
Down,1,6.406024,2.890221,-3.950222,0.6858553,0.4270431,0.1735894,-0.1119058
Down,1,6.43908,2.899283,-3.93751,0.6743467,0.3784592,0.1046783,-0.05934703
Down,1,6.475153,2.936717,-3.928698,0.6498165,0.427501,0.1153499,-0.0656106
Down,1,6.504239,3.001918,-3.936466,0.63025,0.4756011,0.1398823,-0.07661668
Down,1,6.531816,2.999505,-3.937013,0.6205508,0.4747775,0.1219466,-0.05934703
Down,1,6.559253,2.919535,-3.943821,0.6422443,0.5471546,0.1607126,-0.09487279
Down,1,6.587216,2.787128,-3.952155,0.6818494,0.5322903,0.14537,-0.07661668
Down,1,6.617101,2.643602,-3.952204,0.7228051,0.5062904,0.1266688,-0.05233916
Down,1,6.651194,2.511156,-3.950668,0.762332,0.4575681,0.08392937,0
Down,1,6.691878,2.399554,-3.958145,0.796476,0.4125943,0.03426402,0.03426402
