Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-17.44433,(-0.16* 0.97* -0.16),(0.11* 0.99* -0.03),1.495148,(-0.01* 0.98* 0.17),(0.01* 0.98* 0.19),(283.21* 225.27* 20.19)
Up,2,-15.99428,(-0.16* 0.97* -0.15),(0.09* 1.00* -0.04),-9.22503,(0.01* 1.00* 0.06),(-0.01* 0.97* 0.22),(283.21* 225.27* 20.19)
Up,3,-15.82558,(-0.16* 0.98* -0.16),(0.09* 0.99* -0.04),1.401373,(0.00* 0.97* 0.22),(0.01* 0.97* 0.24),(283.21* 225.27* 20.19)
Left,1,-30.56559,(-0.14* 0.98* -0.15),(0.07* 0.80* -0.60),-3.919016,(0.04* 0.99* 0.15),(-0.03* 0.99* 0.15),(283.21* 225.27* 20.19)
Left,2,-31.62636,(-0.16* 0.97* -0.16),(0.08* 0.78* -0.61),-2.579368,(0.02* 0.98* 0.18),(-0.02* 0.99* 0.17),(283.21* 225.27* 20.19)
Left,3,-29.93485,(-0.16* 0.97* -0.18),(0.08* 0.79* -0.60),-2.313338,(0.01* 0.98* 0.19),(-0.02* 0.99* 0.17),(283.21* 225.27* 20.19)
Down,1,13.66436,(-0.15* 0.97* -0.17),(-0.37* 0.90* -0.25),1.766911,(0.01* 0.98* 0.19),(0.02* 0.98* 0.22),(283.21* 225.27* 20.19)
Down,2,11.28797,(-0.19* 0.97* -0.17),(-0.36* 0.90* -0.24),0.5482264,(0.01* 0.98* 0.21),(0.02* 0.98* 0.22),(283.21* 225.27* 20.19)
Down,3,11.42732,(-0.19* 0.97* -0.18),(-0.37* 0.90* -0.25),-0.8625273,(0.01* 0.98* 0.21),(0.01* 0.98* 0.22),(283.21* 225.27* 20.19)
Right,1,1.737425,(-0.18* 0.97* -0.17),(-0.17* 0.98* -0.14),2.534972,(0.01* 0.98* 0.20),(0.05* 0.98* 0.18),(283.21* 225.27* 20.19)
Right,2,29.27747,(-0.18* 0.98* -0.11),(-0.37* 0.86* 0.35),2.383924,(0.06* 0.98* 0.19),(0.08* 0.97* 0.23),(283.21* 225.27* 20.19)
Right,3,31.95487,(-0.17* 0.98* -0.12),(-0.38* 0.85* 0.37),2.912554,(0.06* 0.98* 0.20),(0.10* 0.97* 0.23),(283.21* 225.27* 20.19)
