Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-93.80816,(0.05* 0.99* 0.11),(-1.00* -0.01* -0.06),-27.64764,(-0.09* 0.99* 0.14),(-0.52* 0.81* 0.25),(276.88* 25.64* 331.09)
Left,2,-97.34253,(0.03* 0.99* 0.12),(-0.99* -0.09* -0.07),-27.28569,(-0.15* 0.91* 0.39),(-0.58* 0.74* 0.33),(276.88* 25.64* 331.09)
Left,3,-93.34414,(0.03* 0.99* 0.13),(-1.00* -0.02* -0.07),-29.55302,(-0.14* 0.95* 0.29),(-0.57* 0.71* 0.42),(276.88* 25.64* 331.09)
Down,1,-66.12886,(0.00* 0.99* 0.14),(-0.04* 0.27* 0.96),6.475083,(-0.13* 0.98* 0.17),(-0.05* 0.97* 0.25),(276.88* 25.64* 331.09)
Down,2,-1.29875,(0.05* 0.99* 0.14),(0.04* 0.99* 0.16),-0.06255726,(-0.08* 0.97* 0.22),(-0.08* 0.97* 0.22),(276.88* 25.64* 331.09)
Down,3,-55.78009,(0.03* 0.99* 0.16),(-0.02* 0.43* 0.90),1.87273,(-0.06* 0.98* 0.18),(-0.04* 0.98* 0.20),(276.88* 25.64* 331.09)
Right,1,112.8995,(0.03* 0.99* 0.17),(0.90* -0.43* 0.02),63.85014,(-0.08* 0.99* 0.07),(0.76* 0.47* 0.45),(276.88* 25.64* 331.09)
Right,2,121.9889,(0.09* 0.99* 0.13),(0.80* -0.61* -0.02),72.51764,(0.06* 0.99* 0.11),(0.92* 0.21* 0.34),(276.88* 25.64* 331.09)
Right,3,121.2496,(0.08* 0.99* 0.11),(0.81* -0.59* -0.03),68.30096,(0.09* 0.99* 0.11),(0.86* 0.25* 0.44),(276.88* 25.64* 331.09)
Up,1,35.52865,(0.09* 0.99* 0.13),(0.06* 0.88* -0.47),3.338651,(0.11* 0.99* 0.09),(0.09* 1.00* 0.03),(276.88* 25.64* 331.09)
Up,2,30.49272,(0.04* 0.99* 0.14),(0.06* 0.92* -0.38),-2.637747,(0.09* 1.00* -0.01),(0.06* 1.00* 0.02),(276.88* 25.64* 331.09)
Up,3,0.7793398,(0.03* 0.99* 0.15),(0.04* 0.99* 0.14),-1.030406,(0.07* 1.00* -0.05),(0.08* 1.00* -0.04),(276.88* 25.64* 331.09)
