Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,18.06992,(0.10* 0.94* -0.32),(-0.16* 0.98* -0.15),0.4116447,(-0.09* 0.98* 0.20),(-0.08* 0.98* 0.21),(289.38* 162.63* 318.36)
Up,2,14.17565,(0.08* 0.95* -0.31),(-0.13* 0.97* -0.18),0.4302385,(-0.09* 0.98* 0.18),(-0.09* 0.98* 0.18),(289.38* 162.63* 318.36)
Up,3,13.08772,(0.10* 0.94* -0.32),(-0.09* 0.97* -0.20),0.1582588,(-0.09* 0.98* 0.18),(-0.09* 0.98* 0.18),(289.38* 162.63* 318.36)
Left,1,-19.05476,(0.09* 0.94* -0.32),(0.27* 0.96* -0.04),-2.035286,(-0.08* 0.98* 0.19),(-0.12* 0.98* 0.19),(289.38* 162.63* 318.36)
Left,2,-26.2869,(0.09* 0.95* -0.30),(0.32* 0.94* 0.09),-2.096392,(-0.10* 0.97* 0.20),(-0.14* 0.97* 0.19),(289.38* 162.63* 318.36)
Left,3,-27.17138,(0.09* 0.94* -0.32),(0.33* 0.94* 0.09),-2.364302,(-0.10* 0.97* 0.20),(-0.14* 0.97* 0.19),(289.38* 162.63* 318.36)
Down,1,-11.4009,(0.11* 0.94* -0.31),(0.27* 0.87* -0.41),-0.261696,(-0.10* 0.97* 0.22),(-0.11* 0.97* 0.21),(289.38* 162.63* 318.36)
Down,2,-11.96591,(0.10* 0.94* -0.31),(0.27* 0.87* -0.41),-0.6943616,(-0.10* 0.97* 0.21),(-0.11* 0.97* 0.20),(289.38* 162.63* 318.36)
Down,3,-14.61169,(0.08* 0.95* -0.30),(0.29* 0.86* -0.42),-0.6437659,(-0.10* 0.97* 0.21),(-0.11* 0.97* 0.20),(289.38* 162.63* 318.36)
Right,1,18.48072,(0.13* 0.93* -0.34),(-0.06* 0.82* -0.57),1.693042,(-0.10* 0.97* 0.21),(-0.07* 0.98* 0.21),(289.38* 162.63* 318.36)
Right,2,18.07376,(0.10* 0.94* -0.31),(-0.06* 0.83* -0.56),1.297544,(-0.09* 0.98* 0.18),(-0.08* 0.98* 0.20),(289.38* 162.63* 318.36)
Right,3,19.11178,(0.08* 0.95* -0.31),(-0.08* 0.81* -0.58),1.329279,(-0.09* 0.98* 0.18),(-0.07* 0.98* 0.19),(289.38* 162.63* 318.36)
