Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,65.88382,(0.17* 0.95* 0.25),(0.89* 0.35* -0.30),0.6145305,(0.01* 0.98* 0.20),(0.02* 0.98* 0.19),(287.87* 35.67* 350.26)
Right,2,66.15642,(0.21* 0.95* 0.23),(0.89* 0.30* -0.33),1.119426,(0.01* 0.98* 0.21),(0.03* 0.98* 0.20),(287.87* 35.67* 350.26)
Right,3,67.46909,(0.17* 0.96* 0.24),(0.89* 0.32* -0.33),0.8784871,(0.03* 0.98* 0.19),(0.04* 0.98* 0.19),(287.87* 35.67* 350.26)
Up,1,51.69279,(0.22* 0.95* 0.24),(-0.21* 0.83* -0.52),-2.407047,(0.01* 0.98* 0.21),(0.00* 0.97* 0.25),(287.87* 35.67* 350.26)
Up,2,45.6116,(0.16* 0.96* 0.21),(-0.19* 0.86* -0.48),-2.152133,(0.00* 0.98* 0.20),(0.00* 0.97* 0.24),(287.87* 35.67* 350.26)
Up,3,44.92579,(0.16* 0.97* 0.20),(-0.18* 0.86* -0.48),-3.544532,(0.01* 0.98* 0.21),(0.00* 0.96* 0.27),(287.87* 35.67* 350.26)
Left,1,-51.54609,(0.17* 0.96* 0.23),(-0.59* 0.64* 0.49),0.386643,(0.02* 0.98* 0.19),(0.02* 0.98* 0.19),(287.87* 35.67* 350.26)
Left,2,-50.43827,(0.13* 0.96* 0.25),(-0.61* 0.62* 0.49),0.2993615,(0.01* 0.98* 0.19),(0.02* 0.98* 0.19),(287.87* 35.67* 350.26)
Left,3,-50.86866,(0.13* 0.96* 0.23),(-0.62* 0.63* 0.47),0.7947544,(0.01* 0.98* 0.18),(0.02* 0.98* 0.19),(287.87* 35.67* 350.26)
Down,1,-27.0586,(0.16* 0.96* 0.25),(0.34* 0.72* 0.61),-1.741812,(0.02* 0.98* 0.18),(0.01* 0.98* 0.21),(287.87* 35.67* 350.26)
Down,2,-30.6943,(0.18* 0.95* 0.26),(0.36* 0.66* 0.66),1.132633,(0.00* 0.98* 0.20),(0.01* 0.98* 0.19),(287.87* 35.67* 350.26)
Down,3,-35.96609,(0.18* 0.95* 0.25),(0.38* 0.59* 0.71),-1.710636,(0.01* 0.98* 0.20),(0.01* 0.99* 0.17),(287.87* 35.67* 350.26)
