Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,37.2677,(-0.33* 0.90* 0.28),(-0.58* 0.46* 0.67),4.910913,(-0.30* 0.90* 0.32),(-0.21* 0.92* 0.33),(294.74* 316.32* 3.56)
Down,2,34.6346,(-0.31* 0.89* 0.33),(-0.58* 0.48* 0.66),3.805086,(-0.26* 0.91* 0.33),(-0.20* 0.93* 0.30),(294.74* 316.32* 3.56)
Down,3,38.96029,(-0.31* 0.89* 0.33),(-0.60* 0.41* 0.69),5.846402,(-0.25* 0.89* 0.38),(-0.19* 0.93* 0.31),(294.74* 316.32* 3.56)
Right,1,74.04941,(-0.32* 0.88* 0.34),(0.65* 0.28* 0.70),8.038245,(-0.23* 0.88* 0.42),(-0.10* 0.89* 0.44),(294.74* 316.32* 3.56)
Right,2,66.94327,(-0.25* 0.91* 0.34),(0.61* 0.33* 0.72),9.312112,(-0.20* 0.92* 0.34),(-0.08* 0.89* 0.45),(294.74* 316.32* 3.56)
Right,3,72.82722,(-0.26* 0.91* 0.33),(0.66* 0.26* 0.70),10.56939,(-0.21* 0.90* 0.39),(-0.06* 0.87* 0.48),(294.74* 316.32* 3.56)
Up,1,-17.9793,(-0.24* 0.90* 0.35),(-0.10* 0.99* 0.08),6.842979,(-0.22* 0.88* 0.42),(-0.26* 0.82* 0.51),(294.74* 316.32* 3.56)
Up,2,-26.48051,(-0.24* 0.94* 0.25),(0.05* 0.99* -0.10),7.199473,(-0.34* 0.81* 0.47),(-0.29* 0.77* 0.57),(294.74* 316.32* 3.56)
Up,3,-26.57225,(-0.26* 0.93* 0.27),(0.04* 1.00* -0.08),4.96345,(-0.35* 0.79* 0.50),(-0.32* 0.76* 0.57),(294.74* 316.32* 3.56)
Left,1,-55.3713,(-0.26* 0.93* 0.27),(-0.79* 0.50* -0.36),-6.735544,(-0.34* 0.81* 0.47),(-0.45* 0.77* 0.45),(294.74* 316.32* 3.56)
Left,2,-54.5404,(-0.31* 0.91* 0.26),(-0.79* 0.47* -0.39),-8.869731,(-0.34* 0.84* 0.41),(-0.46* 0.76* 0.46),(294.74* 316.32* 3.56)
Left,3,-56.94178,(-0.31* 0.92* 0.25),(-0.81* 0.43* -0.40),-7.621228,(-0.33* 0.83* 0.44),(-0.42* 0.75* 0.51),(294.74* 316.32* 3.56)
