Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Left,1,2.521001,0,0,0,0,0,0
Left,1,2.602705,0,0,0,0,0,0
Left,1,2.644456,0,0,0,0,0,0
Left,1,2.676999,0,0,0,0,0,0
Left,1,2.715096,0,0,0,0,0,0
Left,1,2.74349,0,0,0,0,0,0
Left,1,2.771885,0,0,0,0,0,0
Left,1,2.806316,0,0,0,0,0,0
Left,1,2.841986,0,0,0,0,0,0
Left,1,2.870737,0,0,0,0,0,0
Left,1,2.911077,0,0,0,0,0,0
Left,1,2.951056,0,0,0,0,0,0
Left,1,2.980189,0,0,0,0,0,0
Left,1,3.020305,0,0,0,0,0,0
Left,1,3.048233,0,0,0,0,0,0
Left,1,3.076824,0,0,0,0,0,0
Left,1,3.105802,0,0,0,0,0,0
Left,1,3.146099,0,0,0,0,0,0
Left,1,3.185123,0,0,0,0,0,0
Left,1,3.214928,-0.07912937,0.464781,0,0.08156469,-0.1412742,0.1235407
Left,1,3.243215,-0.1758294,1.062936,0.07132626,0.1480375,-0.2255535,0.1341704
Left,1,3.27161,-0.2646699,1.665892,0.1467098,0.2220564,-0.2733977,0.1769387
Left,1,3.310458,-0.4306931,2.309697,0.1876719,0.2776587,-0.302612,0.25101
Left,1,3.339139,-0.5678623,2.961278,0.2571706,0.2762456,-0.3560827,0.2790645
Left,1,3.367586,-0.7074825,3.598477,0.3268584,0.2167048,-0.3685048,0.3045456
Left,1,3.395437,-0.8634343,4.183479,0.3861367,-0.3304307,-0.4419051,0.3414966
Left,1,3.422891,-0.9831765,4.722151,0.4489339,-0.6049027,-0.5035778,0.386643
Left,1,3.450887,-1.089842,5.250574,0.5192646,-0.8602557,-0.5424856,0.4306931
Left,1,3.482287,-1.169356,5.762147,0.6029587,-1.112763,-0.556375,0.4656223
Left,1,3.519942,-1.214504,6.221764,0.6778198,-1.318786,-0.5730078,0.4776538
Left,1,3.548033,-1.272724,6.634893,0.747558,-1.459113,-0.591822,0.4739525
Left,1,3.575471,-1.353207,7.040159,0.8199606,-1.579791,-0.5841681,0.5135812
Left,1,3.60473,-1.454008,7.478976,0.926618,-1.639605,-0.5706123,0.5450047
Left,1,3.633734,-1.575574,7.970261,1.026982,-1.699618,-0.5532007,0.5542608
Left,1,3.662166,-1.730427,8.516614,1.134187,-1.801028,-0.5435666,0.5664824
Left,1,3.701262,-1.93391,9.24803,1.262691,-1.887408,-0.5282311,0.5661368
Left,1,3.728886,-2.164465,10.03294,1.375297,-1.980804,-0.5282311,0.5818186
Left,1,3.757118,-2.447846,10.90725,1.461391,-2.063932,-0.4825446,0.5928131
Left,1,3.784714,-2.70588,11.81401,1.561475,-2.175919,-0.4219727,0.6537194
Left,1,3.812531,-2.999309,12.76268,1.629668,-2.216202,-0.3886621,0.6763749
Left,1,3.844031,-3.25209,13.73171,1.72873,-2.26261,-0.3357179,0.699975
Left,1,3.882231,-3.516359,14.78876,1.809375,-2.342262,-0.2762456,0.7105184
