Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,28.95368,(-0.31* 0.93* 0.22),(-0.60* 0.63* 0.50),-2.854236,(-0.37* 0.78* 0.50),(-0.39* 0.80* 0.46),(292.09* 305.52* 6.27)
Down,2,23.03779,(-0.33* 0.92* 0.23),(-0.57* 0.69* 0.45),-4.436855,(-0.36* 0.81* 0.47),(-0.37* 0.84* 0.40),(292.09* 305.52* 6.27)
Down,3,25.92726,(-0.33* 0.91* 0.24),(-0.59* 0.64* 0.49),-4.185539,(-0.34* 0.82* 0.46),(-0.36* 0.85* 0.39),(292.09* 305.52* 6.27)
Right,1,82.88313,(-0.32* 0.92* 0.23),(0.62* 0.16* 0.76),-4.707443,(-0.33* 0.81* 0.49),(-0.31* 0.85* 0.42),(292.09* 305.52* 6.27)
Right,2,87.55749,(-0.28* 0.93* 0.24),(0.68* 0.06* 0.73),6.021578,(-0.33* 0.88* 0.35),(-0.28* 0.86* 0.44),(292.09* 305.52* 6.27)
Right,3,66.45778,(-0.29* 0.93* 0.25),(0.50* 0.38* 0.78),4.219234,(-0.33* 0.88* 0.33),(-0.29* 0.87* 0.40),(292.09* 305.52* 6.27)
Up,1,-43.86096,(-0.29* 0.92* 0.25),(0.26* 0.93* -0.26),1.5418,(-0.34* 0.86* 0.38),(-0.33* 0.85* 0.40),(292.09* 305.52* 6.27)
Up,2,-38.06157,(-0.27* 0.94* 0.20),(0.21* 0.95* -0.24),-4.593631,(-0.35* 0.81* 0.47),(-0.33* 0.85* 0.40),(292.09* 305.52* 6.27)
Up,3,-37.48082,(-0.27* 0.94* 0.19),(0.21* 0.95* -0.23),-4.662999,(-0.34* 0.81* 0.47),(-0.35* 0.85* 0.40),(292.09* 305.52* 6.27)
Left,1,-52.61197,(-0.28* 0.94* 0.21),(-0.71* 0.54* -0.46),-3.384603,(-0.34* 0.84* 0.42),(-0.39* 0.82* 0.40),(292.09* 305.52* 6.27)
Left,2,-50.79478,(-0.33* 0.93* 0.18),(-0.71* 0.52* -0.47),-2.94796,(-0.38* 0.84* 0.39),(-0.42* 0.82* 0.38),(292.09* 305.52* 6.27)
Left,3,-47.91768,(-0.34* 0.92* 0.18),(-0.70* 0.56* -0.45),-5.631063,(-0.33* 0.80* 0.50),(-0.38* 0.82* 0.42),(292.09* 305.52* 6.27)
