Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
12,Lying,1,180,46.34935,(0.25* 0.97* -0.06),(0.76* 0.54* 0.36),(282.90* 127.58* 19.46)
12,Lying,2,180,71.3213,(0.26* 0.96* -0.06),(0.84* 0.14* 0.53),(282.90* 127.58* 19.46)
12,Lying,3,180,80.69753,(0.26* 0.96* -0.06),(0.83* -0.02* 0.56),(282.90* 127.58* 19.46)
12,Lying,1,315,293.4716,(0.26* 0.96* -0.06),(-0.05* 0.37* -0.93),(282.90* 127.58* 19.46)
12,Lying,2,315,296.3725,(0.25* 0.97* -0.06),(-0.03* 0.42* -0.91),(282.90* 127.58* 19.46)
12,Lying,3,315,287.6729,(0.25* 0.96* -0.08),(-0.10* 0.26* -0.96),(282.90* 127.58* 19.46)
12,Lying,1,135,64.77929,(0.23* 0.97* -0.04),(0.32* 0.40* 0.86),(282.90* 127.58* 19.46)
12,Lying,2,135,63.49688,(0.25* 0.97* -0.04),(0.32* 0.41* 0.85),(282.90* 127.58* 19.46)
12,Lying,3,135,72.87416,(0.24* 0.97* -0.04),(0.30* 0.27* 0.91),(282.90* 127.58* 19.46)
12,Lying,1,270,17.43087,(0.25* 0.97* -0.05),(0.40* 0.87* -0.29),(282.90* 127.58* 19.46)
12,Lying,2,270,20.87218,(0.25* 0.97* -0.05),(0.43* 0.84* -0.34),(282.90* 127.58* 19.46)
12,Lying,3,270,26.93789,(0.24* 0.97* -0.05),(0.46* 0.78* -0.42),(282.90* 127.58* 19.46)
12,Lying,1,45,52.75926,(0.24* 0.97* -0.04),(-0.60* 0.78* 0.15),(282.90* 127.58* 19.46)
12,Lying,2,45,64.27312,(0.23* 0.97* -0.06),(-0.75* 0.63* 0.20),(282.90* 127.58* 19.46)
12,Lying,3,45,57.78944,(0.24* 0.97* -0.05),(-0.67* 0.73* 0.16),(282.90* 127.58* 19.46)
12,Lying,1,0,274.8547,(0.26* 0.96* -0.06),(-0.81* 0.27* -0.53),(282.90* 127.58* 19.46)
12,Lying,2,0,280.58,(0.24* 0.97* -0.06),(-0.77* 0.35* -0.53),(282.90* 127.58* 19.46)
12,Lying,3,0,277.0023,(0.23* 0.97* -0.06),(-0.80* 0.28* -0.54),(282.90* 127.58* 19.46)
12,Lying,1,90,47.32138,(0.23* 0.97* -0.06),(-0.20* 0.78* 0.60),(282.90* 127.58* 19.46)
12,Lying,2,90,56.41073,(0.27* 0.96* -0.07),(-0.25* 0.70* 0.67),(282.90* 127.58* 19.46)
12,Lying,3,90,58.13564,(0.24* 0.97* -0.08),(-0.27* 0.67* 0.69),(282.90* 127.58* 19.46)
12,Lying,1,225,51.90533,(0.25* 0.97* -0.05),(0.91* 0.39* -0.14),(282.90* 127.58* 19.46)
12,Lying,2,225,67.31115,(0.26* 0.96* -0.05),(0.98* 0.12* -0.14),(282.90* 127.58* 19.46)
12,Lying,3,225,75.98956,(0.24* 0.97* -0.05),(0.99* 0.00* -0.11),(282.90* 127.58* 19.46)
