Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
11,Lying,1,180,285.472,(-0.04* 1.00* 0.01),(-0.07* 0.26* 0.96),(275.39* 127.61* 324.06)
11,Lying,2,180,281.5747,(-0.03* 1.00* 0.00),(-0.08* 0.19* 0.98),(275.39* 127.61* 324.06)
11,Lying,3,180,278.6821,(-0.04* 1.00* 0.01),(-0.08* 0.14* 0.99),(275.39* 127.61* 324.06)
11,Lying,1,315,66.31189,(-0.03* 1.00* 0.01),(0.59* 0.43* -0.69),(275.39* 127.61* 324.06)
11,Lying,2,315,62.06174,(-0.04* 1.00* -0.01),(0.56* 0.49* -0.67),(275.39* 127.61* 324.06)
11,Lying,3,315,65.74574,(-0.03* 1.00* 0.01),(0.58* 0.44* -0.69),(275.39* 127.61* 324.06)
11,Lying,1,135,316.7227,(-0.02* 1.00* 0.01),(-0.50* 0.71* 0.49),(275.39* 127.61* 324.06)
11,Lying,2,135,317.0241,(-0.02* 1.00* 0.00),(-0.50* 0.72* 0.49),(275.39* 127.61* 324.06)
11,Lying,3,135,322.4934,(-0.04* 1.00* 0.02),(-0.46* 0.77* 0.45),(275.39* 127.61* 324.06)
11,Lying,1,270,37.54222,(-0.03* 1.00* 0.02),(0.58* 0.81* 0.00),(275.39* 127.61* 324.06)
11,Lying,2,270,39.77347,(-0.01* 1.00* 0.01),(0.63* 0.77* 0.01),(275.39* 127.61* 324.06)
11,Lying,3,270,44.38667,(-0.03* 1.00* 0.00),(0.68* 0.74* 0.00),(275.39* 127.61* 324.06)
11,Lying,1,45,45.60368,(0.00* 1.00* 0.01),(-0.55* 0.70* -0.44),(275.39* 127.61* 324.06)
11,Lying,2,45,45.43616,(-0.04* 1.00* -0.01),(-0.57* 0.67* -0.46),(275.39* 127.61* 324.06)
11,Lying,3,45,44.75493,(-0.05* 1.00* 0.01),(-0.57* 0.69* -0.45),(275.39* 127.61* 324.06)
11,Lying,1,0,72.47102,(-0.05* 1.00* 0.02),(-0.14* 0.31* -0.94),(275.39* 127.61* 324.06)
11,Lying,2,0,75.29968,(-0.05* 1.00* 0.00),(-0.14* 0.24* -0.96),(275.39* 127.61* 324.06)
11,Lying,3,0,74.90536,(-0.05* 1.00* -0.02),(-0.14* 0.24* -0.96),(275.39* 127.61* 324.06)
11,Lying,1,90,38.04312,(-0.05* 1.00* 0.00),(-0.66* 0.75* 0.03),(275.39* 127.61* 324.06)
11,Lying,2,90,33.69081,(-0.04* 1.00* 0.00),(-0.59* 0.81* 0.03),(275.39* 127.61* 324.06)
11,Lying,3,90,34.59297,(-0.03* 1.00* 0.01),(-0.59* 0.80* 0.03),(275.39* 127.61* 324.06)
11,Lying,1,225,283.4528,(-0.03* 1.00* 0.01),(0.62* 0.25* 0.75),(275.39* 127.61* 324.06)
11,Lying,2,225,277.2443,(-0.03* 1.00* 0.01),(0.63* 0.14* 0.77),(275.39* 127.61* 324.06)
11,Lying,3,225,272.195,(-0.03* 1.00* 0.01),(0.63* 0.05* 0.78),(275.39* 127.61* 324.06)
