Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
13,Lying,1,270,18.19684,(0.02* 0.99* -0.10),(-0.23* 0.93* -0.28),(276.95* 242.84* 350.22)
13,Lying,2,270,15.40671,(0.00* 0.99* -0.10),(-0.21* 0.94* -0.26),(276.95* 242.84* 350.22)
13,Lying,3,270,13.61637,(0.00* 0.99* -0.10),(-0.19* 0.95* -0.24),(276.95* 242.84* 350.22)
13,Lying,1,45,20.11276,(0.00* 1.00* -0.10),(0.06* 0.97* 0.25),(276.95* 242.84* 350.22)
13,Lying,2,45,20.83185,(0.01* 1.00* -0.10),(0.07* 0.96* 0.26),(276.95* 242.84* 350.22)
13,Lying,3,45,21.09569,(0.01* 1.00* -0.08),(0.08* 0.96* 0.27),(276.95* 242.84* 350.22)
13,Lying,1,0,311.3314,(0.05* 1.00* -0.09),(-0.41* 0.73* 0.55),(276.95* 242.84* 350.22)
13,Lying,2,0,310.08,(0.01* 1.00* -0.08),(-0.44* 0.70* 0.57),(276.95* 242.84* 350.22)
13,Lying,3,0,311.1445,(0.02* 1.00* -0.09),(-0.43* 0.72* 0.55),(276.95* 242.84* 350.22)
13,Lying,1,90,21.59405,(0.01* 1.00* -0.07),(0.32* 0.94* 0.14),(276.95* 242.84* 350.22)
13,Lying,2,90,19.08673,(0.02* 1.00* -0.07),(0.29* 0.95* 0.12),(276.95* 242.84* 350.22)
13,Lying,3,90,18.25633,(0.03* 1.00* -0.07),(0.29* 0.95* 0.12),(276.95* 242.84* 350.22)
13,Lying,1,225,333.3433,(0.04* 1.00* -0.06),(-0.03* 0.87* -0.50),(276.95* 242.84* 350.22)
13,Lying,2,225,336.8556,(0.01* 0.99* -0.10),(-0.03* 0.88* -0.48),(276.95* 242.84* 350.22)
13,Lying,3,225,338.8912,(0.00* 1.00* -0.10),(-0.03* 0.89* -0.45),(276.95* 242.84* 350.22)
13,Lying,1,180,50.42863,(0.02* 1.00* -0.08),(0.49* 0.58* -0.65),(276.95* 242.84* 350.22)
13,Lying,2,180,53.68486,(0.03* 1.00* -0.09),(0.51* 0.52* -0.68),(276.95* 242.84* 350.22)
13,Lying,3,180,52.62907,(0.03* 1.00* -0.08),(0.51* 0.54* -0.67),(276.95* 242.84* 350.22)
13,Lying,1,315,333.9631,(0.04* 0.99* -0.11),(-0.40* 0.92* -0.03),(276.95* 242.84* 350.22)
13,Lying,2,315,337.1845,(0.00* 1.00* -0.10),(-0.39* 0.92* -0.03),(276.95* 242.84* 350.22)
13,Lying,3,315,336.4731,(0.02* 0.99* -0.11),(-0.38* 0.93* -0.03),(276.95* 242.84* 350.22)
13,Lying,1,135,34.9982,(0.02* 0.99* -0.11),(0.58* 0.80* -0.16),(276.95* 242.84* 350.22)
13,Lying,2,135,34.93696,(0.03* 0.99* -0.10),(0.59* 0.79* -0.16),(276.95* 242.84* 350.22)
13,Lying,3,135,36.68951,(0.03* 0.99* -0.10),(0.61* 0.77* -0.16),(276.95* 242.84* 350.22)
