Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
180,1,25.93802,(289.37* 117.94* 26.15),4.672287,-1.986359,(359.96* 84.79* 250.40),-16.61298,-170.5854,(289.04* 137.82* 7.04)
180,1,25.9812,(289.39* 117.98* 26.14),4.657655,-1.954773,(359.96* 84.78* 250.39),-16.59848,-170.5974,(289.04* 137.82* 7.04)
180,1,26.00714,(289.41* 117.99* 26.18),4.656425,-1.918274,(359.96* 84.78* 250.43),-16.64456,-170.5966,(289.04* 137.82* 7.04)
180,1,26.02861,(289.41* 117.98* 26.19),4.664053,-1.916168,(359.99* 84.75* 250.54),-16.75656,-170.6238,(289.04* 137.82* 7.04)
180,1,26.05905,(289.39* 117.99* 26.14),4.659747,-1.949341,(359.99* 84.74* 250.57),-16.78583,-170.625,(289.04* 137.82* 7.04)
180,1,26.08214,(289.37* 117.93* 26.19),4.685518,-1.961395,(359.98* 84.75* 250.59),-16.80142,-170.6201,(289.04* 137.82* 7.04)
180,1,26.10525,(289.32* 117.81* 26.32),4.744029,-1.963287,(0.38* 84.33* 251.08),-17.37958,-171.123,(289.04* 137.82* 7.04)
180,1,26.12888,(289.31* 117.80* 26.32),4.749039,-1.974304,(0.11* 84.62* 250.90),-17.12842,-170.7569,(289.04* 137.82* 7.04)
180,1,26.16156,(289.29* 117.81* 26.31),4.756779,-1.961426,(0.01* 84.73* 250.89),-17.10184,-170.6221,(289.04* 137.82* 7.04)
180,1,26.18508,(289.27* 117.79* 26.33),4.7711,-1.963379,(0.10* 84.64* 251.15),-17.37497,-170.7131,(289.04* 137.82* 7.04)
180,1,26.21683,(289.19* 117.61* 26.56),4.878151,-1.924652,(0.29* 84.39* 251.29),-17.5563,-171.0176,(289.04* 137.82* 7.04)
180,1,26.24071,(289.16* 117.50* 26.67),4.926674,-1.927795,(0.43* 84.29* 251.51),-17.80197,-171.1408,(289.04* 137.82* 7.04)
180,1,26.27306,(289.05* 117.34* 26.83),5.021087,-1.936188,(0.80* 84.18* 251.85),-18.2262,-171.345,(289.04* 137.82* 7.04)
180,1,26.29643,(289.00* 117.28* 26.84),5.049853,-1.976257,(1.13* 84.08* 252.12),-18.56662,-171.5368,(289.04* 137.82* 7.04)
180,1,26.3285,(288.97* 117.18* 26.95),5.096012,-1.982208,(1.33* 84.00* 251.86),-18.36777,-171.6915,(289.04* 137.82* 7.04)
180,1,26.35226,(288.98* 117.14* 26.97),5.098478,-1.995117,(1.36* 84.05* 251.72),-18.23898,-171.6607,(289.04* 137.82* 7.04)
180,1,26.38453,(289.00* 117.04* 27.13),5.131479,-1.955139,(1.27* 84.18* 251.48),-17.98169,-171.5142,(289.04* 137.82* 7.04)
180,1,26.4078,(289.03* 117.05* 27.12),5.116905,-1.954987,(1.17* 84.29* 251.22),-17.70444,-171.3861,(289.04* 137.82* 7.04)
180,1,26.44023,(289.04* 117.02* 27.09),5.102516,-2.016571,(0.98* 84.49* 250.83),-17.28534,-171.1538,(289.04* 137.82* 7.04)
180,1,26.4634,(289.05* 116.86* 27.15),5.116193,-2.108856,(0.81* 84.61* 250.58),-17.00266,-170.9993,(289.04* 137.82* 7.04)
180,1,26.4952,(289.14* 116.58* 27.23),5.095915,-2.325104,(0.59* 84.74* 250.50),-16.86444,-170.806,(289.04* 137.82* 7.04)
180,1,26.51865,(289.26* 116.40* 27.31),5.06019,-2.438171,(0.46* 84.92* 250.35),-16.68787,-170.5986,(289.04* 137.82* 7.04)
180,1,26.5417,(289.31* 116.18* 27.59),5.116844,-2.405273,(0.31* 85.09* 249.97),-16.27826,-170.4135,(289.04* 137.82* 7.04)
180,1,26.57368,(289.35* 115.94* 27.93),5.197024,-2.330292,(0.09* 85.28* 249.19),-15.47083,-170.216,(289.04* 137.82* 7.04)
180,1,26.59705,(289.35* 116.02* 27.84),5.170393,-2.340698,(0.04* 85.31* 248.87),-15.15308,-170.1977,(289.04* 137.82* 7.04)
180,1,26.62061,(289.29* 116.35* 27.49),5.099231,-2.324036,(359.97* 85.38* 248.34),-14.61682,-170.1493,(289.04* 137.82* 7.04)
180,1,26.64076,(289.23* 116.71* 27.13),5.023731,-2.295563,(359.94* 85.39* 248.21),-14.48453,-170.132,(289.04* 137.82* 7.04)
180,1,26.6637,(289.13* 117.07* 26.76),4.962826,-2.283264,(359.89* 85.38* 248.08),-14.34399,-170.1436,(289.04* 137.82* 7.04)
180,1,26.69604,(289.00* 117.45* 26.35),4.913837,-2.262054,(359.80* 85.38* 247.84),-14.09018,-170.1362,(289.04* 137.82* 7.04)
180,1,26.71956,(288.96* 117.63* 26.13),4.871076,-2.2883,(359.70* 85.40* 247.74),-13.96808,-170.1018,(289.04* 137.82* 7.04)
180,1,26.74253,(288.96* 117.90* 25.82),4.780171,-2.310852,(359.55* 85.44* 247.63),-13.82471,-170.027,(289.04* 137.82* 7.04)
180,1,26.76309,(288.90* 118.18* 25.52),4.729174,-2.304321,(359.51* 85.45* 247.59),-13.78094,-170.0135,(289.04* 137.82* 7.04)
180,1,26.78642,(288.84* 118.45* 25.27),4.691404,-2.263916,(359.43* 85.43* 247.71),-13.87689,-169.9995,(289.04* 137.82* 7.04)
180,1,26.81889,(288.65* 118.09* 25.91),4.960824,-2.016541,(359.42* 85.42* 247.85),-14.00552,-169.9992,(289.04* 137.82* 7.04)
180,1,26.85218,(288.58* 118.48* 25.32),4.836335,-2.166565,(359.38* 85.45* 247.84),-13.98669,-169.9613,(289.04* 137.82* 7.04)
180,1,26.87558,(288.56* 118.54* 25.06),4.776809,-2.339783,(359.30* 85.49* 247.81),-13.94122,-169.9076,(289.04* 137.82* 7.04)
180,1,26.90748,(288.62* 119.78* 23.78),4.394993,-2.311859,(359.24* 85.50* 247.77),-13.88513,-169.8791,(289.04* 137.82* 7.04)
180,1,26.93043,(288.61* 119.62* 24.40),4.571172,-1.882874,(359.20* 85.51* 247.75),-13.85199,-169.8676,(289.04* 137.82* 7.04)
180,1,26.95364,(288.18* 118.78* 25.36),5.050581,-1.798096,(359.16* 85.55* 247.66),-13.76199,-169.8219,(289.04* 137.82* 7.04)
180,1,26.97448,(288.40* 119.08* 24.83),4.793401,-2.017273,(359.14* 85.58* 247.62),-13.71161,-169.7887,(289.04* 137.82* 7.04)
180,1,26.99824,(288.86* 117.01* 26.77),5.099298,-2.306244,(359.02* 85.64* 247.51),-13.58014,-169.7168,(289.04* 137.82* 7.04)
180,1,27.01899,(289.47* 116.90* 26.72),4.785952,-2.507904,(358.94* 85.65* 247.34),-13.39484,-169.6917,(289.04* 137.82* 7.04)
180,1,27.04288,(289.85* 116.30* 27.08),4.706701,-2.793091,(358.85* 85.68* 247.00),-13.04083,-169.6694,(289.04* 137.82* 7.04)
180,1,27.06352,(290.33* 115.78* 27.55),4.616966,-2.918274,(358.84* 85.69* 246.93),-12.97247,-169.664,(289.04* 137.82* 7.04)
180,1,27.08748,(290.65* 115.28* 28.28),4.687962,-2.770355,(358.87* 85.76* 246.80),-12.85675,-169.619,(289.04* 137.82* 7.04)
180,1,27.10804,(290.86* 114.57* 28.99),4.813327,-2.839508,(358.88* 85.77* 246.76),-12.81519,-169.6061,(289.04* 137.82* 7.04)
180,1,27.13159,(290.78* 114.12* 29.37),4.971972,-2.930969,(358.88* 85.86* 246.59),-12.6496,-169.5299,(289.04* 137.82* 7.04)
180,1,27.15265,(290.97* 113.60* 29.82),5.029284,-3.057098,(358.85* 85.90* 246.51),-12.56635,-169.4865,(289.04* 137.82* 7.04)
180,1,27.17613,(290.94* 113.34* 30.04),5.112531,-3.113617,(358.73* 85.97* 246.26),-12.29053,-169.419,(289.04* 137.82* 7.04)
180,1,27.1969,(291.05* 113.12* 30.16),5.099232,-3.229614,(358.70* 85.98* 246.17),-12.20123,-169.4059,(289.04* 137.82* 7.04)
180,1,27.22027,(290.93* 112.98* 30.35),5.217441,-3.184204,(358.64* 85.96* 246.05),-12.0665,-169.4187,(289.04* 137.82* 7.04)
180,1,27.25195,(290.49* 112.75* 30.69),5.516561,-3.065338,(358.56* 85.95* 245.91),-11.91241,-169.4297,(289.04* 137.82* 7.04)
180,1,27.27533,(290.38* 112.78* 30.48),5.499589,-3.212158,(358.48* 85.94* 245.86),-11.84528,-169.4278,(289.04* 137.82* 7.04)
180,1,27.29809,(290.27* 112.94* 30.32),5.496051,-3.195587,(358.39* 85.94* 245.87),-11.82965,-169.4039,(289.04* 137.82* 7.04)
180,1,27.32112,(290.23* 113.48* 29.80),5.354747,-3.132324,(358.31* 85.96* 245.91),-11.85425,-169.37,(289.04* 137.82* 7.04)
180,1,27.34171,(290.16* 113.86* 29.41),5.26511,-3.099457,(358.29* 85.96* 245.95),-11.88495,-169.3567,(289.04* 137.82* 7.04)
180,1,27.36487,(290.14* 114.21* 29.03),5.159524,-3.101166,(358.23* 86.01* 246.08),-11.99591,-169.2883,(289.04* 137.82* 7.04)
180,1,27.39669,(290.02* 114.57* 28.67),5.099431,-3.0737,(357.31* 86.75* 246.36),-12.02673,-168.3359,(289.04* 137.82* 7.04)
180,1,27.42003,(289.97* 114.65* 28.53),5.081937,-3.119598,(357.91* 86.16* 247.14),-12.93399,-168.9696,(289.04* 137.82* 7.04)
180,1,27.4522,(290.01* 114.88* 28.23),4.974705,-3.166748,(357.76* 86.42* 247.29),-13.04468,-168.6637,(289.04* 137.82* 7.04)
180,1,27.47558,(290.07* 114.87* 28.27),4.958345,-3.148926,(357.70* 86.53* 247.67),-13.39008,-168.5058,(289.04* 137.82* 7.04)
180,1,27.49907,(290.16* 114.92* 28.12),4.870599,-3.236298,(357.59* 86.57* 248.30),-13.96826,-168.3713,(289.04* 137.82* 7.04)
180,1,27.51962,(290.02* 114.29* 28.92),5.177696,-3.12735,(357.35* 86.59* 248.45),-14.05759,-168.2732,(289.04* 137.82* 7.04)
180,1,27.54317,(290.02* 114.16* 29.05),5.21639,-3.132904,(357.43* 86.84* 248.75),-14.36798,-168.0094,(289.04* 137.82* 7.04)
180,1,27.56404,(289.97* 114.14* 28.91),5.197924,-3.271179,(357.63* 86.77* 248.92),-14.5798,-168.1129,(289.04* 137.82* 7.04)
180,1,27.58721,(289.92* 113.59* 29.32),5.34592,-3.443512,(358.07* 86.72* 248.94),-14.71506,-168.2716,(289.04* 137.82* 7.04)
180,1,27.61945,(289.97* 112.04* 30.83),5.788001,-3.596191,(358.34* 86.73* 248.59),-14.44696,-168.3679,(289.04* 137.82* 7.04)
180,1,27.64295,(290.10* 112.37* 30.52),5.633884,-3.56189,(358.33* 86.57* 248.33),-14.19223,-168.551,(289.04* 137.82* 7.04)
180,1,27.66416,(290.27* 112.14* 30.82),5.65468,-3.531952,(358.33* 86.50* 248.26),-14.12299,-168.6284,(289.04* 137.82* 7.04)
180,1,27.68769,(290.39* 112.48* 30.65),5.546419,-3.360229,(358.25* 86.28* 247.95),-13.80618,-168.8566,(289.04* 137.82* 7.04)
180,1,27.70848,(290.43* 112.55* 30.62),5.521349,-3.32428,(358.26* 86.24* 247.90),-13.76422,-168.8972,(289.04* 137.82* 7.04)
180,1,27.73247,(290.10* 113.01* 30.11),5.503586,-3.305054,(358.32* 86.22* 247.92),-13.7933,-168.9304,(289.04* 137.82* 7.04)
180,1,27.7526,(290.03* 112.90* 30.15),5.549515,-3.373627,(358.32* 86.27* 247.96),-13.83099,-168.8767,(289.04* 137.82* 7.04)
180,1,27.77624,(289.69* 110.83* 31.78),6.198074,-3.893921,(358.34* 86.36* 248.06),-13.94089,-168.7811,(289.04* 137.82* 7.04)
180,1,27.80871,(289.98* 112.48* 30.35),5.63038,-3.606049,(358.32* 86.55* 248.01),-13.87756,-168.5974,(289.04* 137.82* 7.04)
180,1,27.83249,(290.18* 112.16* 30.87),5.704891,-3.460114,(358.24* 86.63* 248.08),-13.93326,-168.4866,(289.04* 137.82* 7.04)
180,1,27.85277,(290.35* 111.77* 31.21),5.738085,-3.555298,(358.11* 86.64* 248.12),-13.93448,-168.446,(289.04* 137.82* 7.04)
180,1,27.87651,(290.49* 111.25* 31.71),5.839227,-3.619751,(357.82* 86.65* 248.22),-13.95602,-168.3568,(289.04* 137.82* 7.04)
180,1,27.89709,(290.62* 110.73* 32.22),5.947748,-3.678223,(357.94* 86.59* 248.34),-14.10834,-168.4358,(289.04* 137.82* 7.04)
180,1,27.92103,(290.57* 110.59* 32.34),6.009286,-3.707458,(357.95* 86.60* 248.57),-14.33182,-168.397,(289.04* 137.82* 7.04)
180,1,27.9423,(290.52* 110.22* 32.70),6.142667,-3.750793,(357.93* 86.63* 248.64),-14.39276,-168.3566,(289.04* 137.82* 7.04)
180,1,27.97519,(290.32* 109.26* 33.56),6.49619,-3.892151,(357.99* 86.77* 249.06),-14.80661,-168.1901,(289.04* 137.82* 7.04)
180,1,27.99863,(290.23* 108.61* 34.08),6.697305,-4.053284,(357.39* 87.30* 249.02),-14.612,-167.514,(289.04* 137.82* 7.04)
180,1,28.01935,(290.31* 107.68* 34.83),6.907078,-4.293518,(357.37* 87.24* 248.97),-14.56332,-167.5764,(289.04* 137.82* 7.04)
180,1,28.04314,(290.66* 107.33* 35.24),6.91118,-4.306702,(357.49* 86.78* 249.28),-14.89389,-168.0327,(289.04* 137.82* 7.04)
180,1,28.06415,(290.78* 107.02* 35.45),6.936973,-4.434601,(357.44* 86.71* 249.40),-14.99548,-168.0694,(289.04* 137.82* 7.04)
180,1,28.08763,(290.98* 106.29* 36.24),7.126628,-4.471191,(357.13* 86.53* 249.71),-15.21466,-168.1326,(289.04* 137.82* 7.04)
180,1,28.10869,(291.22* 105.50* 37.02),7.304839,-4.577087,(357.02* 86.52* 249.76),-15.23505,-168.1096,(289.04* 137.82* 7.04)
180,1,28.14223,(291.53* 104.46* 38.23),7.615723,-4.550354,(356.45* 86.78* 249.80),-15.12128,-167.6953,(289.04* 137.82* 7.04)
180,1,28.16538,(291.66* 104.14* 38.34),7.612464,-4.786041,(356.25* 86.88* 250.16),-15.40894,-167.4897,(289.04* 137.82* 7.04)
180,1,28.18637,(291.91* 103.67* 38.82),7.704236,-4.83783,(356.36* 86.88* 250.36),-15.63269,-167.492,(289.04* 137.82* 7.04)
180,1,28.20982,(292.14* 103.31* 39.27),7.790013,-4.823273,(356.36* 86.91* 250.54),-15.81042,-167.4422,(289.04* 137.82* 7.04)
180,1,28.24224,(292.56* 102.43* 40.23),8.010965,-4.890747,(356.32* 86.95* 250.67),-15.91846,-167.3675,(289.04* 137.82* 7.04)
180,1,28.27467,(292.81* 101.87* 40.70),8.108955,-5.053894,(356.19* 86.96* 250.64),-15.85355,-167.3257,(289.04* 137.82* 7.04)
180,1,28.29832,(292.88* 101.66* 40.89),8.160306,-5.10025,(355.93* 87.03* 250.54),-15.68674,-167.2013,(289.04* 137.82* 7.04)
180,1,28.33119,(292.93* 101.18* 41.35),8.315443,-5.175293,(355.67* 87.08* 250.54),-15.61554,-167.0869,(289.04* 137.82* 7.04)
