Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
13,Standing,1,270,76.19539,(0.57* 0.00* -0.82),(0.08* -0.97* -0.23),(0.35* 143.90* 2.56)
13,Standing,2,270,63.70605,(0.56* -0.05* -0.83),(0.17* -0.91* -0.37),(0.35* 143.90* 2.56)
13,Standing,3,270,70.03749,(0.56* -0.03* -0.83),(0.13* -0.95* -0.29),(0.35* 143.90* 2.56)
13,Standing,1,45,303.5268,(0.57* -0.01* -0.82),(-0.15* 0.60* -0.79),(0.35* 143.90* 2.56)
13,Standing,2,45,302.7054,(0.56* 0.00* -0.83),(-0.17* 0.62* -0.76),(0.35* 143.90* 2.56)
13,Standing,3,45,301.3961,(0.56* 0.01* -0.83),(-0.20* 0.63* -0.75),(0.35* 143.90* 2.56)
13,Standing,1,0,304.6143,(0.56* 0.02* -0.83),(-0.36* 0.05* -0.93),(0.35* 143.90* 2.56)
13,Standing,2,0,297.2257,(0.55* 0.01* -0.84),(-0.49* 0.04* -0.87),(0.35* 143.90* 2.56)
13,Standing,3,0,288.1299,(0.56* 0.00* -0.83),(-0.61* 0.04* -0.79),(0.35* 143.90* 2.56)
13,Standing,1,90,51.57431,(0.56* 0.01* -0.83),(0.37* 0.79* -0.49),(0.35* 143.90* 2.56)
13,Standing,2,90,60.36975,(0.57* 0.01* -0.82),(0.30* 0.87* -0.38),(0.35* 143.90* 2.56)
13,Standing,3,90,60.05021,(0.56* 0.01* -0.83),(0.30* 0.87* -0.38),(0.35* 143.90* 2.56)
13,Standing,1,225,61.17756,(0.57* 0.01* -0.82),(0.75* -0.66* -0.07),(0.35* 143.90* 2.56)
13,Standing,2,225,68.49462,(0.58* 0.02* -0.82),(0.72* -0.69* 0.04),(0.35* 143.90* 2.56)
13,Standing,3,225,75.33443,(0.57* 0.01* -0.82),(0.67* -0.73* 0.15),(0.35* 143.90* 2.56)
13,Standing,1,180,75.11156,(0.57* 0.01* -0.82),(0.94* -0.04* 0.34),(0.35* 143.90* 2.56)
13,Standing,2,180,85.10753,(0.58* 0.00* -0.81),(0.86* -0.04* 0.51),(0.35* 143.90* 2.56)
13,Standing,3,180,85.75268,(0.58* 0.00* -0.82),(0.86* -0.04* 0.51),(0.35* 143.90* 2.56)
13,Standing,1,315,299.7743,(0.57* 0.01* -0.82),(-0.24* -0.57* -0.78),(0.35* 143.90* 2.56)
13,Standing,2,315,285.2124,(0.56* 0.00* -0.83),(-0.45* -0.64* -0.63),(0.35* 143.90* 2.56)
13,Standing,3,315,286.1446,(0.55* 0.01* -0.84),(-0.45* -0.63* -0.64),(0.35* 143.90* 2.56)
13,Standing,1,135,66.20293,(0.58* 0.00* -0.82),(0.77* 0.63* 0.05),(0.35* 143.90* 2.56)
13,Standing,2,135,68.00014,(0.58* 0.00* -0.82),(0.77* 0.63* 0.08),(0.35* 143.90* 2.56)
13,Standing,3,135,71.74981,(0.58* 0.00* -0.81),(0.75* 0.65* 0.14),(0.35* 143.90* 2.56)
