Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
8,Standing,1,315,257.9415,(-0.85* 0.06* -0.53),(-0.23* -0.69* 0.69),(357.27* 234.36* 358.34)
8,Standing,2,315,245.4575,(-0.84* 0.04* -0.54),(-0.03* -0.64* 0.76),(357.27* 234.36* 358.34)
8,Standing,3,315,256.4588,(-0.84* 0.04* -0.53),(-0.20* -0.69* 0.70),(357.27* 234.36* 358.34)
8,Standing,1,135,94.66212,(-0.86* 0.03* -0.51),(0.43* 0.74* -0.51),(357.27* 234.36* 358.34)
8,Standing,2,135,99.58961,(-0.82* 0.08* -0.57),(0.55* 0.73* -0.40),(357.27* 234.36* 358.34)
8,Standing,3,135,102.8274,(-0.80* 0.07* -0.60),(0.61* 0.71* -0.35),(357.27* 234.36* 358.34)
8,Standing,1,270,74.37545,(-0.83* 0.06* -0.56),(-0.27* -0.95* -0.18),(357.27* 234.36* 358.34)
8,Standing,2,270,70.86993,(-0.82* 0.09* -0.57),(-0.34* -0.91* -0.24),(357.27* 234.36* 358.34)
8,Standing,3,270,68.6419,(-0.83* 0.06* -0.56),(-0.35* -0.91* -0.24),(357.27* 234.36* 358.34)
8,Standing,1,45,265.4706,(-0.82* 0.05* -0.57),(-0.33* 0.67* 0.67),(357.27* 234.36* 358.34)
8,Standing,2,45,263.3242,(-0.85* 0.05* -0.53),(-0.27* 0.65* 0.71),(357.27* 234.36* 358.34)
8,Standing,3,45,256.6485,(-0.84* 0.05* -0.53),(-0.17* 0.63* 0.76),(357.27* 234.36* 358.34)
8,Standing,1,0,273.5003,(-0.83* 0.05* -0.55),(-0.60* -0.01* 0.80),(357.27* 234.36* 358.34)
8,Standing,2,0,256.88,(-0.84* 0.04* -0.55),(-0.34* -0.02* 0.94),(357.27* 234.36* 358.34)
8,Standing,3,0,250.5681,(-0.82* 0.05* -0.57),(-0.27* -0.03* 0.96),(357.27* 234.36* 358.34)
8,Standing,1,90,66.25941,(-0.84* 0.06* -0.54),(-0.32* 0.94* -0.15),(357.27* 234.36* 358.34)
8,Standing,2,90,54.61769,(-0.83* 0.06* -0.55),(-0.46* 0.85* -0.27),(357.27* 234.36* 358.34)
8,Standing,3,90,66.14374,(-0.83* 0.08* -0.55),(-0.30* 0.94* -0.15),(357.27* 234.36* 358.34)
8,Standing,1,225,90.04993,(-0.82* 0.07* -0.56),(0.36* -0.70* -0.62),(357.27* 234.36* 358.34)
8,Standing,2,225,103.6911,(-0.83* 0.06* -0.56),(0.55* -0.69* -0.47),(357.27* 234.36* 358.34)
8,Standing,3,225,104.2613,(-0.82* 0.06* -0.57),(0.57* -0.69* -0.46),(357.27* 234.36* 358.34)
8,Standing,1,180,109.4462,(-0.83* 0.07* -0.55),(0.80* 0.02* -0.60),(357.27* 234.36* 358.34)
8,Standing,2,180,105.2602,(-0.83* 0.07* -0.56),(0.76* 0.03* -0.65),(357.27* 234.36* 358.34)
8,Standing,3,180,109.8319,(-0.82* 0.05* -0.56),(0.81* 0.03* -0.58),(357.27* 234.36* 358.34)
