Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
7,Lying,1,45,35.73166,(0.15* 0.95* -0.29),(0.67* 0.64* -0.38),(287.34* 144.26* 186.35)
7,Lying,2,45,31.53044,(0.17* 0.94* -0.30),(0.64* 0.67* -0.38),(287.34* 144.26* 186.35)
7,Lying,3,45,32.66169,(0.18* 0.93* -0.31),(0.66* 0.65* -0.38),(287.34* 144.26* 186.35)
7,Lying,1,0,59.07457,(0.17* 0.94* -0.31),(0.84* 0.48* 0.26),(287.34* 144.26* 186.35)
7,Lying,2,0,61.17443,(0.16* 0.95* -0.28),(0.85* 0.45* 0.27),(287.34* 144.26* 186.35)
7,Lying,3,0,57.89994,(0.20* 0.94* -0.28),(0.85* 0.46* 0.26),(287.34* 144.26* 186.35)
7,Lying,1,90,35.08164,(0.16* 0.95* -0.27),(0.38* 0.60* -0.71),(287.34* 144.26* 186.35)
7,Lying,2,90,31.11658,(0.16* 0.94* -0.31),(0.37* 0.62* -0.69),(287.34* 144.26* 186.35)
7,Lying,3,90,30.34999,(0.17* 0.93* -0.32),(0.37* 0.63* -0.69),(287.34* 144.26* 186.35)
7,Lying,1,225,323.4378,(0.16* 0.93* -0.32),(-0.43* 0.90* -0.11),(287.34* 144.26* 186.35)
7,Lying,2,225,323.1263,(0.14* 0.94* -0.30),(-0.46* 0.88* -0.10),(287.34* 144.26* 186.35)
7,Lying,3,225,319.0844,(0.17* 0.93* -0.32),(-0.49* 0.87* -0.08),(287.34* 144.26* 186.35)
7,Lying,1,180,304.4976,(0.12* 0.95* -0.27),(-0.64* 0.51* -0.57),(287.34* 144.26* 186.35)
7,Lying,2,180,304.9063,(0.15* 0.94* -0.30),(-0.63* 0.52* -0.57),(287.34* 144.26* 186.35)
7,Lying,3,180,302.3342,(0.14* 0.93* -0.34),(-0.67* 0.47* -0.57),(287.34* 144.26* 186.35)
7,Lying,1,315,36.08469,(0.13* 0.95* -0.29),(0.30* 0.90* 0.30),(287.34* 144.26* 186.35)
7,Lying,2,315,28.3463,(0.17* 0.94* -0.28),(0.28* 0.94* 0.20),(287.34* 144.26* 186.35)
7,Lying,3,315,34.41183,(0.18* 0.94* -0.29),(0.29* 0.91* 0.29),(287.34* 144.26* 186.35)
7,Lying,1,135,316.3569,(0.17* 0.95* -0.28),(-0.09* 0.53* -0.84),(287.34* 144.26* 186.35)
7,Lying,2,135,320.4505,(0.14* 0.94* -0.31),(-0.08* 0.56* -0.82),(287.34* 144.26* 186.35)
7,Lying,3,135,317.7061,(0.14* 0.94* -0.30),(-0.09* 0.53* -0.84),(287.34* 144.26* 186.35)
7,Lying,1,270,24.99944,(0.13* 0.94* -0.31),(-0.05* 1.00* 0.08),(287.34* 144.26* 186.35)
7,Lying,2,270,23.9357,(0.16* 0.94* -0.29),(-0.04* 1.00* 0.06),(287.34* 144.26* 186.35)
7,Lying,3,270,21.68846,(0.16* 0.94* -0.30),(-0.02* 1.00* 0.03),(287.34* 144.26* 186.35)
