Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
6,Standing,1,135,204.1191,(-0.79* -0.08* -0.60),(0.56* -0.20* 0.81),(4.77* 231.00* 0.86)
6,Standing,2,135,187.165,(-0.79* -0.06* -0.62),(0.71* 0.02* 0.71),(4.77* 231.00* 0.86)
6,Standing,3,135,190.3288,(-0.77* -0.07* -0.63),(0.68* -0.04* 0.73),(4.77* 231.00* 0.86)
6,Standing,1,270,85.94252,(-0.80* -0.06* -0.59),(-0.03* -1.00* 0.03),(4.77* 231.00* 0.86)
6,Standing,2,270,82.45238,(-0.79* -0.13* -0.60),(-0.04* -1.00* 0.04),(4.77* 231.00* 0.86)
6,Standing,3,270,71.33627,(-0.76* -0.08* -0.64),(-0.22* -0.97* -0.11),(4.77* 231.00* 0.86)
6,Standing,1,45,181.8569,(-0.78* -0.09* -0.62),(0.77* 0.06* 0.64),(4.77* 231.00* 0.86)
6,Standing,2,45,171.6957,(-0.80* -0.03* -0.60),(0.84* -0.08* 0.53),(4.77* 231.00* 0.86)
6,Standing,3,45,161.2989,(-0.79* -0.07* -0.61),(0.88* -0.18* 0.43),(4.77* 231.00* 0.86)
6,Standing,1,0,173.4032,(-0.79* -0.08* -0.61),(0.85* 0.10* 0.52),(4.77* 231.00* 0.86)
6,Standing,2,0,175.8393,(-0.82* -0.08* -0.57),(0.85* 0.10* 0.51),(4.77* 231.00* 0.86)
6,Standing,3,0,174.8235,(-0.80* -0.07* -0.59),(0.85* 0.10* 0.52),(4.77* 231.00* 0.86)
6,Standing,1,90,97.36572,(-0.78* -0.09* -0.61),(0.02* 1.00* 0.03),(4.77* 231.00* 0.86)
6,Standing,2,90,103.7574,(-0.80* -0.06* -0.60),(0.13* 0.98* 0.13),(4.77* 231.00* 0.86)
6,Standing,3,90,103.1498,(-0.79* -0.06* -0.61),(0.11* 0.98* 0.14),(4.77* 231.00* 0.86)
6,Standing,1,225,176.881,(-0.81* -0.07* -0.59),(0.82* 0.02* 0.57),(4.77* 231.00* 0.86)
6,Standing,2,225,181.2821,(-0.78* -0.09* -0.61),(0.77* 0.11* 0.62),(4.77* 231.00* 0.86)
6,Standing,3,225,181.4843,(-0.78* -0.11* -0.61),(0.77* 0.11* 0.63),(4.77* 231.00* 0.86)
6,Standing,1,180,184.2712,(-0.78* -0.10* -0.62),(0.73* 0.10* 0.67),(4.77* 231.00* 0.86)
6,Standing,2,180,197.5762,(-0.79* -0.09* -0.60),(0.57* 0.10* 0.81),(4.77* 231.00* 0.86)
6,Standing,3,180,189.9845,(-0.79* -0.08* -0.60),(0.67* 0.10* 0.73),(4.77* 231.00* 0.86)
6,Standing,1,315,189.6183,(-0.80* -0.08* -0.60),(0.69* 0.04* 0.72),(4.77* 231.00* 0.86)
6,Standing,2,315,186.2946,(-0.82* -0.07* -0.57),(0.75* 0.11* 0.65),(4.77* 231.00* 0.86)
6,Standing,3,315,189.8828,(-0.82* -0.07* -0.56),(0.71* 0.09* 0.70),(4.77* 231.00* 0.86)
