Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
9,Standing,1,270,170.2896,(-0.90* 0.10* -0.43),(0.86* 0.05* 0.51),(354.22* 241.97* 359.69)
9,Standing,2,270,170.0658,(-0.90* 0.07* -0.43),(0.86* 0.09* 0.50),(354.22* 241.97* 359.69)
9,Standing,3,270,165.375,(-0.90* 0.11* -0.42),(0.86* 0.13* 0.49),(354.22* 241.97* 359.69)
9,Standing,1,45,186.6609,(-0.90* 0.09* -0.42),(0.85* -0.13* 0.51),(354.22* 241.97* 359.69)
9,Standing,2,45,183.8058,(-0.90* 0.15* -0.40),(0.88* -0.21* 0.43),(354.22* 241.97* 359.69)
9,Standing,3,45,187.4841,(-0.91* 0.11* -0.41),(0.85* -0.08* 0.52),(354.22* 241.97* 359.69)
9,Standing,1,0,175.9907,(-0.89* 0.14* -0.43),(0.92* -0.09* 0.38),(354.22* 241.97* 359.69)
9,Standing,2,0,181.95,(-0.92* 0.10* -0.37),(0.91* -0.10* 0.40),(354.22* 241.97* 359.69)
9,Standing,3,0,175.7348,(-0.91* 0.13* -0.39),(0.94* -0.09* 0.33),(354.22* 241.97* 359.69)
9,Standing,1,90,130.9947,(-0.90* 0.09* -0.43),(0.62* 0.69* 0.38),(354.22* 241.97* 359.69)
9,Standing,2,90,124.8814,(-0.90* 0.15* -0.40),(0.59* 0.72* 0.36),(354.22* 241.97* 359.69)
9,Standing,3,90,126.479,(-0.89* 0.13* -0.43),(0.60* 0.72* 0.36),(354.22* 241.97* 359.69)
9,Standing,1,225,198.3783,(-0.89* 0.12* -0.44),(0.76* 0.09* 0.65),(354.22* 241.97* 359.69)
9,Standing,2,225,209.3198,(-0.88* 0.11* -0.46),(0.64* 0.24* 0.73),(354.22* 241.97* 359.69)
9,Standing,3,225,225.2427,(-0.90* 0.07* -0.44),(0.43* 0.42* 0.80),(354.22* 241.97* 359.69)
9,Standing,1,180,210.8395,(-0.90* 0.08* -0.43),(0.55* -0.07* 0.83),(354.22* 241.97* 359.69)
9,Standing,2,180,200.4575,(-0.89* 0.07* -0.44),(0.68* -0.06* 0.73),(354.22* 241.97* 359.69)
9,Standing,3,180,214.2542,(-0.90* 0.11* -0.42),(0.50* -0.10* 0.86),(354.22* 241.97* 359.69)
9,Standing,1,315,164.7379,(-0.90* 0.11* -0.42),(0.93* 0.14* 0.33),(354.22* 241.97* 359.69)
9,Standing,2,315,137.0113,(-0.90* 0.07* -0.43),(0.87* 0.48* -0.06),(354.22* 241.97* 359.69)
9,Standing,3,315,143.6527,(-0.91* 0.09* -0.41),(0.89* 0.44* 0.08),(354.22* 241.97* 359.69)
9,Standing,1,135,191.62,(-0.90* 0.08* -0.42),(0.81* -0.21* 0.55),(354.22* 241.97* 359.69)
9,Standing,2,135,192.6552,(-0.90* 0.13* -0.43),(0.78* -0.25* 0.57),(354.22* 241.97* 359.69)
9,Standing,3,135,198.8645,(-0.90* 0.13* -0.41),(0.72* -0.30* 0.63),(354.22* 241.97* 359.69)
