Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
270,1,1.972713,(346.62* 243.72* 359.88),0.02903567,0.4627589,(2.15* 356.84* 351.37),0.7577863,112.8618,(346.73* 243.26* 359.86)
270,1,2.0054,(346.54* 243.73* 359.88),0.06714331,0.4781285,(2.14* 356.83* 351.36),0.776536,112.8602,(346.73* 243.26* 359.86)
270,1,2.049524,(346.49* 243.68* 359.87),0.0968291,0.4240699,(2.15* 356.84* 351.35),0.7741691,112.8619,(346.73* 243.26* 359.86)
270,1,2.074722,(346.51* 243.67* 359.87),0.09152903,0.412903,(2.15* 356.85* 351.32),0.8020561,112.8762,(346.73* 243.26* 359.86)
270,1,2.104448,(346.50* 243.68* 359.87),0.09251051,0.4253835,(2.15* 356.86* 351.30),0.8157049,112.8902,(346.73* 243.26* 359.86)
270,1,2.133433,(346.53* 243.73* 359.85),0.09748672,0.4678772,(2.15* 356.87* 351.28),0.8387157,112.8942,(346.73* 243.26* 359.86)
270,1,2.162006,(346.53* 243.76* 359.84),0.1049988,0.4922614,(2.14* 356.87* 351.28),0.8424966,112.8972,(346.73* 243.26* 359.86)
270,1,2.19075,(346.53* 243.75* 359.85),0.09811765,0.4911859,(2.14* 356.86* 351.27),0.8537711,112.8907,(346.73* 243.26* 359.86)
270,1,2.218531,(346.54* 243.73* 359.86),0.0859815,0.4691685,(2.11* 356.89* 351.37),0.7774983,112.9102,(346.73* 243.26* 359.86)
270,1,2.246409,(346.60* 243.67* 359.90),0.02189012,0.421851,(2.09* 356.90* 351.40),0.7520963,112.9261,(346.73* 243.26* 359.86)
270,1,2.285221,(346.67* 243.63* 359.90),-0.003849663,0.3821591,(2.09* 356.91* 351.38),0.7715632,112.9295,(346.73* 243.26* 359.86)
270,1,2.315223,(346.85* 243.62* 359.90),-0.08621216,0.3709764,(2.10* 356.91* 351.38),0.7755584,112.9313,(346.73* 243.26* 359.86)
270,1,2.343416,(347.12* 243.71* 359.82),-0.1443787,0.4381124,(2.08* 356.71* 351.08),1.048237,112.7427,(346.73* 243.26* 359.86)
270,1,2.37094,(347.61* 243.82* 359.72),-0.274292,0.5243099,(2.02* 356.62* 350.95),1.192072,112.6647,(346.73* 243.26* 359.86)
270,1,2.399305,(348.24* 243.93* 359.63),-0.4807434,0.6129173,(2.01* 356.55* 350.87),1.26309,112.5936,(346.73* 243.26* 359.86)
270,1,2.42774,(349.15* 244.08* 359.60),-0.8640747,0.7534638,(2.01* 356.55* 350.86),1.279355,112.596,(346.73* 243.26* 359.86)
270,1,2.456147,(350.35* 244.22* 359.58),-1.377838,0.8625621,(1.97* 356.74* 350.96),1.200437,112.7816,(346.73* 243.26* 359.86)
270,1,2.482972,(351.54* 244.28* 359.59),-1.923431,0.891726,(1.99* 356.80* 350.98),1.181435,112.8414,(346.73* 243.26* 359.86)
270,1,2.510277,(353.08* 244.43* 359.62),-2.639954,0.9965668,(2.02* 356.84* 350.97),1.175329,112.8854,(346.73* 243.26* 359.86)
270,1,2.538364,(354.64* 244.58* 359.58),-3.302368,1.065278,(2.02* 356.86* 351.12),1.040317,112.8963,(346.73* 243.26* 359.86)
270,1,2.566754,(356.35* 244.70* 359.53),-4.023651,1.084535,(2.07* 356.87* 351.11),1.029605,112.908,(346.73* 243.26* 359.86)
270,1,2.593829,(358.50* 244.78* 359.47),-4.916901,1.011371,(2.12* 356.89* 351.08),1.030334,112.9309,(346.73* 243.26* 359.86)
270,1,2.622584,(0.70* 244.86* 359.42),-5.844177,0.8968869,(2.15* 356.78* 350.96),1.127825,112.8194,(346.73* 243.26* 359.86)
270,1,2.649826,(3.03* 244.96* 359.34),-6.787262,0.7673401,(2.20* 356.84* 350.96),1.106842,112.8819,(346.73* 243.26* 359.86)
270,1,2.677679,(5.53* 245.05* 359.19),-7.735474,0.5751791,(2.32* 356.69* 350.72),1.272004,112.7454,(346.73* 243.26* 359.86)
270,1,2.705731,(8.16* 245.24* 359.06),-8.748566,0.4233299,(2.39* 356.78* 350.87),1.103324,112.8343,(346.73* 243.26* 359.86)
270,1,2.733319,(10.84* 245.38* 359.03),-9.847717,0.173234,(2.33* 356.78* 351.04),0.9797922,112.8191,(346.73* 243.26* 359.86)
270,1,2.761752,(13.42* 245.52* 359.04),-10.92944,-0.1250305,(2.36* 356.78* 351.02),0.9770197,112.8195,(346.73* 243.26* 359.86)
270,1,2.789962,(16.01* 245.65* 359.11),-12.05313,-0.4836731,(2.50* 356.67* 350.86),1.064632,112.7228,(346.73* 243.26* 359.86)
270,1,2.817615,(18.42* 245.83* 359.16),-13.06451,-0.8042908,(2.59* 356.58* 350.82),1.057193,112.6387,(346.73* 243.26* 359.86)
270,2,3.998553,(347.54* 244.85* 1.51),-1.800964,1.95242,(1.78* 356.14* 352.73),-0.3000793,112.1149,(346.73* 243.26* 359.86)
270,2,4.028111,(348.16* 244.87* 1.50),-2.073578,1.956329,(1.77* 356.21* 352.75),-0.3108826,112.1812,(346.73* 243.26* 359.86)
270,2,4.053875,(348.89* 244.91* 1.47),-2.386353,1.965709,(1.88* 356.31* 353.05),-0.6377258,112.2791,(346.73* 243.26* 359.86)
270,2,4.082376,(349.73* 244.98* 1.41),-2.713104,1.992488,(1.92* 356.35* 353.16),-0.7486572,112.3136,(346.73* 243.26* 359.86)
270,2,4.109128,(350.97* 245.01* 1.39),-3.258087,1.961928,(1.91* 356.38* 353.16),-0.7475281,112.3399,(346.73* 243.26* 359.86)
