Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
1,Standing,1,225,81.03033,(-0.16* -0.04* 0.99),(-0.78* -0.63* 0.01),(0.88* 353.35* 357.44)
1,Standing,2,225,72.2722,(-0.24* -0.04* 0.97),(-0.78* -0.62* 0.10),(0.88* 353.35* 357.44)
1,Standing,3,225,74.94112,(-0.21* -0.04* 0.98),(-0.78* -0.62* 0.07),(0.88* 353.35* 357.44)
1,Standing,1,180,80.16965,(-0.20* -0.05* 0.98),(-1.00* 0.03* -0.03),(0.88* 353.35* 357.44)
1,Standing,2,180,78.92953,(-0.23* -0.02* 0.97),(-1.00* 0.02* -0.04),(0.88* 353.35* 357.44)
1,Standing,3,180,82.23084,(-0.24* -0.02* 0.97),(-0.99* 0.03* -0.10),(0.88* 353.35* 357.44)
1,Standing,1,315,300.6462,(-0.21* -0.04* 0.98),(0.45* -0.67* 0.59),(0.88* 353.35* 357.44)
1,Standing,2,315,303.9902,(-0.20* -0.04* 0.98),(0.43* -0.64* 0.63),(0.88* 353.35* 357.44)
1,Standing,3,315,307.865,(-0.19* -0.02* 0.98),(0.38* -0.62* 0.69),(0.88* 353.35* 357.44)
1,Standing,1,135,70.16831,(-0.19* -0.02* 0.98),(-0.72* 0.65* 0.22),(0.88* 353.35* 357.44)
1,Standing,2,135,70.82272,(-0.23* 0.00* 0.97),(-0.74* 0.65* 0.16),(0.88* 353.35* 357.44)
1,Standing,3,135,69.91547,(-0.21* -0.01* 0.98),(-0.73* 0.66* 0.20),(0.88* 353.35* 357.44)
1,Standing,1,270,52.9446,(-0.22* -0.02* 0.98),(-0.18* -0.81* 0.56),(0.88* 353.35* 357.44)
1,Standing,2,270,56.09011,(-0.19* -0.04* 0.98),(-0.19* -0.84* 0.50),(0.88* 353.35* 357.44)
1,Standing,3,270,55.02924,(-0.21* -0.01* 0.98),(-0.18* -0.82* 0.54),(0.88* 353.35* 357.44)
1,Standing,1,45,310.8527,(-0.22* -0.04* 0.97),(0.38* 0.50* 0.78),(0.88* 353.35* 357.44)
1,Standing,2,45,311.6572,(-0.19* 0.00* 0.98),(0.41* 0.51* 0.76),(0.88* 353.35* 357.44)
1,Standing,3,45,316.7953,(-0.18* -0.01* 0.98),(0.35* 0.46* 0.81),(0.88* 353.35* 357.44)
1,Standing,1,0,309.3985,(-0.16* -0.02* 0.99),(0.66* -0.06* 0.75),(0.88* 353.35* 357.44)
1,Standing,2,0,288.0447,(-0.17* -0.02* 0.98),(0.88* -0.05* 0.47),(0.88* 353.35* 357.44)
1,Standing,3,0,288.8385,(-0.18* -0.02* 0.98),(0.87* -0.06* 0.49),(0.88* 353.35* 357.44)
1,Standing,1,90,63.6048,(-0.15* -0.04* 0.99),(-0.12* 0.88* 0.46),(0.88* 353.35* 357.44)
1,Standing,2,90,52.87871,(-0.20* -0.01* 0.98),(-0.13* 0.79* 0.60),(0.88* 353.35* 357.44)
1,Standing,3,90,62.02293,(-0.22* -0.02* 0.98),(-0.12* 0.87* 0.47),(0.88* 353.35* 357.44)
