range,posture,start,end,
180,Standing,15772,15843,
180,Standing,15772,15870,
180,Standing,15772,15902,
180,Standing,15772,15920,
180,Standing,15772,15932,
180,Standing,15772,15949,
180,Standing,15772,15962,
180,Standing,15772,15974,
180,Standing,15772,15988,
180,Standing,15772,16001,
180,Standing,15772,16018,
180,Standing,15772,16030,
180,Standing,15772,16048,
180,Standing,15772,16060,
180,Standing,15772,16072,
180,Standing,15772,16088,
180,Standing,15772,16100,
180,Standing,15772,16117,
180,Standing,15772,16130,
180,Standing,15772,16146,
180,Standing,15772,16158,
180,Standing,15772,16172,
180,Standing,15772,16186,
180,Standing,15772,16198,
180,Standing,15772,16216,
180,Standing,15772,16228,
180,Standing,15772,16240,
180,Standing,15772,16254,
180,Standing,15772,16267,
180,Standing,15772,16284,
180,Standing,15772,16296,
180,Standing,15772,16309,
180,Standing,15772,16326,
180,Standing,15772,16342,
180,Standing,15772,16354,
180,Standing,15772,16366,
180,Standing,15772,16378,
180,Standing,15772,16396,
180,Standing,15772,16408,
180,Standing,15772,16420,
180,Standing,15772,16438,
180,Standing,15772,16450,
180,Standing,15772,16464,
180,Standing,15772,16477,
180,Standing,15772,16494,
180,Standing,15772,16506,
180,Standing,15772,16519,
180,Standing,15772,16533,
180,Standing,15772,16545,
180,Standing,15772,16561,
180,Standing,15772,16575,
180,Standing,15772,16587,
180,Standing,15772,16605,
180,Standing,15772,16617,
180,Standing,15772,16629,
180,Standing,15772,16645,
180,Standing,15772,16657,
180,Standing,15772,16674,
180,Standing,15772,16687,
180,Standing,15772,16699,
180,Standing,15772,16716,
180,Standing,15772,16741,
180,Standing,15772,16755,
180,Standing,15772,16768,
180,Standing,15772,16785,
180,Standing,15772,16797,
180,Standing,15772,16809,
180,Standing,15772,16824,
180,Standing,15772,16836,
180,Standing,15772,16854,
180,Standing,15772,16866,
180,Standing,15772,16881,
180,Standing,15772,16896,
180,Standing,15772,16908,
180,Standing,15772,16923,
180,Standing,15772,16935,
180,Standing,15772,16948,
180,Standing,15772,16965,
180,Standing,15772,16977,
180,Standing,15772,16995,
180,Standing,15772,17007,
180,Standing,15772,17019,
180,Standing,15772,17034,
180,Standing,15772,17046,
180,Standing,15772,17063,
180,Standing,15772,17076,
180,Standing,15772,17088,
180,Standing,15772,17102,
180,Standing,15772,17115,
180,Standing,15772,17132,
180,Standing,15772,17144,
180,Standing,15772,17157,
180,Standing,15772,17174,
180,Standing,15772,17186,
180,Standing,15772,17199,
180,Standing,15772,17214,
180,Standing,15772,17226,
180,Standing,15772,17244,
180,Standing,15772,17256,
180,Standing,15772,17268,
180,Standing,15772,17283,
180,Standing,15772,17295,
180,Standing,15772,17312,
180,Standing,15772,17325,
180,Standing,15772,17337,
180,Standing,15772,17354,
180,Standing,15772,17367,
180,Standing,15772,17381,
180,Standing,15772,17394,
180,Standing,15772,17406,
180,Standing,15772,17423,
180,Standing,15772,17435,
180,Standing,15772,17453,
180,Standing,15772,17465,
180,Standing,15772,17477,
180,Standing,15772,17492,
180,Standing,15772,17505,
180,Standing,15772,17517,
180,Standing,15772,17534,
180,Standing,15772,17547,
180,Standing,15772,17561,
180,Standing,15772,17573,
180,Standing,15772,17586,
180,Standing,15772,17603,
180,Standing,15772,17615,
180,Standing,15772,17633,
180,Standing,15772,17645,
180,Standing,15772,17657,
180,Standing,15772,17673,
180,Standing,15772,17685,
180,Standing,15772,17701,
180,Standing,15772,17714,
180,Standing,15772,17726,
180,Standing,15772,17743,
180,Standing,15772,17756,
180,Standing,15772,17771,
180,Standing,15772,17783,
180,Standing,15772,17796,
180,Standing,15772,17813,
180,Standing,15772,17825,
180,Standing,15772,17840,
180,Standing,15772,17852,
180,Standing,15772,17864,
180,Standing,15772,17882,
180,Standing,15772,17894,
180,Standing,15772,17911,
180,Standing,15772,17924,
180,Standing,15772,17936,
180,Standing,15772,17951,
180,Standing,15772,17964,
180,Standing,15772,17976,
180,Standing,15772,17992,
180,Standing,15772,18004,
180,Standing,15772,18022,
180,Standing,15772,18034,
180,Standing,15772,18050,
180,Standing,15772,18062,
180,Standing,15772,18074,
180,Standing,15772,18092,
180,Standing,15772,18104,
180,Standing,15772,18116,
180,Standing,15772,18130,
180,Standing,15772,18143,
180,Standing,15772,18160,
180,Standing,15772,18172,
180,Standing,15772,18190,
180,Standing,15772,18202,
180,Standing,15772,18214,
180,Standing,15772,18230,
180,Standing,15772,18242,
180,Standing,15772,18254,
180,Standing,15772,18271,
180,Standing,15772,18284,
180,Standing,15772,18296,
180,Standing,15772,18311,
180,Standing,15772,18323,
180,Standing,15772,18340,
180,Standing,15772,18353,
180,Standing,15772,18370,
180,Standing,15772,18382,
180,Standing,15772,18395,
180,Standing,15772,18409,
180,Standing,15772,18421,
180,Standing,15772,18434,
180,Standing,15772,18451,
180,Standing,15772,18463,
180,Standing,15772,18481,
180,Standing,15772,18493,
180,Standing,15772,18508,
180,Standing,15772,18521,
180,Standing,15772,18533,
180,Standing,15772,18549,
180,Standing,15772,18563,
180,Standing,15772,18575,
180,Standing,15772,18589,
180,Standing,15772,18601,
180,Standing,15772,18619,
180,Standing,15772,18631,
180,Standing,15772,18643,
180,Standing,15772,18661,
180,Standing,15772,18673,
180,Standing,15772,18688,
180,Standing,15772,18700,
180,Standing,15772,18712,
180,Standing,15772,18729,
180,Standing,15772,18742,
180,Standing,15772,18759,
180,Standing,15772,18771,
180,Standing,15772,18784,
180,Standing,15772,18799,
180,Standing,15772,18811,
180,Standing,15772,18829,
180,Standing,15772,18841,
180,Standing,15772,18853,
180,Standing,15772,18868,
180,Standing,15772,18880,
180,Standing,15772,18892,
180,Standing,15772,18910,
180,Standing,15772,18922,
180,Standing,15772,18939,
180,Standing,15772,18952,
180,Standing,15772,18964,
180,Standing,15772,18978,
180,Standing,15772,18991,
180,Standing,15772,19008,
180,Standing,15772,19020,
180,Standing,15772,19033,
180,Standing,15772,19050,
180,Standing,15772,19062,
180,Standing,15772,19075,
180,Standing,15772,19090,
180,Standing,15772,19102,
180,Standing,15772,19120,
180,Standing,15772,19132,
180,Standing,15772,19146,
180,Standing,15772,19159,
180,Standing,15772,19171,
180,Standing,15772,19188,
180,Standing,15772,19201,
180,Standing,15772,19213,
180,Standing,15772,19230,
180,Standing,15772,19243,
180,Standing,15772,19274,
180,Standing,15772,19287,
180,Standing,15772,19299,
180,Standing,15772,19311,
180,Standing,15772,19329,
180,Standing,15772,19339,
180,Standing,15772,19351,
180,Standing,15772,19368,
180,Standing,15772,19381,
180,Standing,15772,19393,
180,Standing,15772,19410,
180,Standing,15772,19423,
180,Standing,15772,19437,
180,Standing,15772,19449,
180,Standing,15772,19462,
180,Standing,15772,19479,
180,Standing,15772,19491,
180,Standing,15772,19509,
180,Standing,15772,19521,
180,Standing,15772,19533,
180,Standing,15772,19548,
180,Standing,15772,19560,
180,Standing,15772,19577,
180,Standing,15772,19590,
180,Standing,15772,19602,
180,Standing,15772,19617,
180,Standing,15772,19630,
180,Standing,15772,19644,
180,Standing,15772,19659,
180,Standing,15772,19672,
180,Standing,15772,19689,
180,Standing,15772,19701,
180,Standing,15772,19714,
180,Standing,15772,19728,
180,Standing,15772,19740,
180,Standing,15772,19758,
