Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-42.94886,(0.05* 1.00* -0.05),(0.70* 0.69* -0.18),1.9434,(0.34* 0.90* 0.27),(0.34* 0.91* 0.24),(273.73* 136.15* 326.66)
Down,2,-37.87492,(0.09* 0.99* -0.06),(0.67* 0.72* -0.18),4.560894,(0.35* 0.89* 0.28),(0.34* 0.92* 0.21),(273.73* 136.15* 326.66)
Down,3,-40.56444,(0.09* 0.99* -0.06),(0.70* 0.69* -0.18),5.175816,(0.35* 0.89* 0.28),(0.34* 0.92* 0.19),(273.73* 136.15* 326.66)
Right,1,60.25676,(0.10* 0.99* -0.06),(-0.16* 0.46* -0.87),8.549366,(0.35* 0.90* 0.26),(0.48* 0.83* 0.29),(273.73* 136.15* 326.66)
Right,2,58.64235,(0.04* 1.00* -0.08),(-0.16* 0.46* -0.87),8.96539,(0.34* 0.90* 0.28),(0.48* 0.82* 0.30),(273.73* 136.15* 326.66)
Right,3,56.25451,(0.03* 0.99* -0.10),(-0.16* 0.47* -0.87),9.857201,(0.33* 0.90* 0.29),(0.49* 0.82* 0.29),(273.73* 136.15* 326.66)
Up,1,25.18394,(0.02* 0.99* -0.10),(-0.38* 0.92* 0.05),-0.4302385,(0.34* 0.90* 0.27),(0.34* 0.90* 0.28),(273.73* 136.15* 326.66)
Up,2,17.41275,(-0.02* 1.00* -0.04),(-0.31* 0.95* 0.03),-0.3039024,(0.36* 0.90* 0.26),(0.35* 0.90* 0.26),(273.73* 136.15* 326.66)
Up,3,23.20088,(0.01* 1.00* -0.04),(-0.38* 0.93* 0.04),-0.7008132,(0.36* 0.90* 0.24),(0.35* 0.91* 0.24),(273.73* 136.15* 326.66)
Left,1,-35.73783,(0.02* 1.00* -0.05),(0.18* 0.84* 0.51),-7.995564,(0.36* 0.90* 0.25),(0.25* 0.95* 0.20),(273.73* 136.15* 326.66)
Left,2,-33.31527,(0.04* 1.00* 0.00),(0.18* 0.83* 0.53),-8.195465,(0.35* 0.91* 0.23),(0.22* 0.95* 0.20),(273.73* 136.15* 326.66)
Left,3,-39.33097,(0.03* 1.00* -0.02),(0.17* 0.78* 0.60),-9.623837,(0.36* 0.91* 0.22),(0.20* 0.96* 0.19),(273.73* 136.15* 326.66)
