Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-39.07808,(-0.02* 1.00* -0.03),(0.61* 0.79* -0.12),1.310151,(0.27* 0.95* 0.14),(0.28* 0.95* 0.12),(271.88* 215.30* 243.16)
Down,2,-38.35204,(0.02* 1.00* -0.03),(0.63* 0.77* -0.12),2.335148,(0.28* 0.95* 0.12),(0.31* 0.95* 0.08),(271.88* 215.30* 243.16)
Down,3,-38.45543,(0.03* 1.00* -0.04),(0.64* 0.76* -0.12),5.392451,(0.31* 0.94* 0.13),(0.29* 0.96* 0.04),(271.88* 215.30* 243.16)
Right,1,49.17188,(0.03* 1.00* -0.04),(-0.13* 0.63* -0.77),1.012784,(0.29* 0.95* 0.11),(0.31* 0.94* 0.11),(271.88* 215.30* 243.16)
Right,2,-40.48456,(-0.02* 1.00* -0.08),(-0.12* 0.70* -0.70),1.200078,(0.29* 0.95* 0.12),(0.31* 0.94* 0.11),(271.88* 215.30* 243.16)
Right,3,-40.06077,(-0.02* 1.00* -0.07),(-0.11* 0.71* -0.69),1.632188,(0.29* 0.95* 0.12),(0.31* 0.94* 0.11),(271.88* 215.30* 243.16)
Up,1,28.86051,(-0.03* 1.00* -0.07),(-0.49* 0.87* 0.05),-4.132612,(0.29* 0.95* 0.12),(0.27* 0.95* 0.18),(271.88* 215.30* 243.16)
Up,2,26.55425,(-0.09* 1.00* -0.01),(-0.52* 0.85* 0.05),-2.797294,(0.29* 0.95* 0.12),(0.28* 0.95* 0.16),(271.88* 215.30* 243.16)
Up,3,23.43397,(-0.08* 1.00* -0.02),(-0.47* 0.88* 0.04),-0.8268523,(0.30* 0.95* 0.13),(0.29* 0.95* 0.14),(271.88* 215.30* 243.16)
Left,1,38.73623,(-0.07* 1.00* -0.02),(0.07* 0.80* 0.60),-1.309404,(0.29* 0.95* 0.11),(0.27* 0.96* 0.11),(271.88* 215.30* 243.16)
Left,2,35.10021,(-0.02* 1.00* 0.02),(0.07* 0.81* 0.59),-2.359828,(0.31* 0.95* 0.07),(0.27* 0.96* 0.08),(271.88* 215.30* 243.16)
Left,3,35.44387,(-0.02* 1.00* 0.02),(0.07* 0.81* 0.59),-1.850549,(0.31* 0.95* 0.07),(0.28* 0.96* 0.07),(271.88* 215.30* 243.16)
