Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-58.75591,(0.05* 0.98* -0.18),(0.37* 0.63* 0.68),12.99429,(0.14* 0.99* 0.01),(0.17* 0.96* -0.21),(280.55* 162.80* 219.50)
Down,2,-57.05379,(0.04* 0.99* -0.15),(0.37* 0.64* 0.68),13.26614,(0.16* 0.99* 0.04),(0.16* 0.97* -0.19),(280.55* 162.80* 219.50)
Down,3,-56.65062,(0.07* 0.98* -0.16),(0.36* 0.64* 0.67),15.50875,(0.16* 0.98* 0.06),(0.17* 0.96* -0.21),(280.55* 162.80* 219.50)
Right,1,-69.47164,(0.07* 0.99* -0.11),(0.88* 0.24* -0.41),-23.65055,(0.16* 0.99* 0.04),(0.49* 0.84* 0.24),(280.55* 162.80* 219.50)
Right,2,-97.69028,(0.10* 0.98* -0.18),(0.90* -0.29* -0.32),-22.16524,(0.20* 0.98* 0.07),(0.54* 0.82* 0.20),(280.55* 162.80* 219.50)
Right,3,-95.27144,(0.10* 0.98* -0.18),(0.90* -0.25* -0.35),-23.68796,(0.20* 0.98* 0.00),(0.54* 0.82* 0.18),(280.55* 162.80* 219.50)
Up,1,32.88271,(0.06* 0.98* -0.20),(-0.17* 0.73* -0.66),-2.237559,(0.18* 0.98* -0.06),(0.18* 0.98* -0.02),(280.55* 162.80* 219.50)
Up,2,38.59816,(0.04* 0.98* -0.18),(-0.21* 0.68* -0.70),-2.435742,(0.19* 0.98* -0.07),(0.19* 0.98* -0.02),(280.55* 162.80* 219.50)
Up,3,-0.3886621,(0.04* 0.98* -0.20),(0.04* 0.98* -0.19),0.4338616,(0.20* 0.98* -0.07),(0.19* 0.98* -0.07),(280.55* 162.80* 219.50)
Left,1,75.43953,(0.04* 0.98* -0.19),(-0.88* 0.35* 0.32),24.61566,(0.20* 0.98* -0.06),(-0.23* 0.97* -0.07),(280.55* 162.80* 219.50)
Left,2,82.54213,(0.00* 0.99* -0.16),(-0.92* 0.19* 0.33),28.91868,(0.14* 0.98* -0.14),(-0.35* 0.93* -0.06),(280.55* 162.80* 219.50)
Left,3,105.3347,(0.01* 0.99* -0.17),(-0.88* -0.19* 0.44),37.1679,(0.13* 0.98* -0.13),(-0.48* 0.88* 0.04),(280.55* 162.80* 219.50)
