Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
15,Lying,1,90,53.38396,(-0.10* 0.99* 0.13),(0.06* 0.70* -0.71),(274.24* 343.07* 6.68)
15,Lying,2,90,50.81844,(-0.08* 0.99* 0.09),(0.06* 0.71* -0.70),(274.24* 343.07* 6.68)
15,Lying,3,90,50.38083,(-0.08* 0.99* 0.07),(0.07* 0.70* -0.71),(274.24* 343.07* 6.68)
15,Lying,1,225,98.75839,(-0.08* 0.99* 0.10),(-0.80* -0.27* 0.54),(274.24* 343.07* 6.68)
15,Lying,2,225,90.86423,(-0.12* 0.98* 0.12),(-0.81* -0.18* 0.56),(274.24* 343.07* 6.68)
15,Lying,3,225,87.27227,(-0.13* 0.98* 0.13),(-0.81* -0.13* 0.57),(274.24* 343.07* 6.68)
15,Lying,1,180,65.77374,(-0.10* 0.99* 0.14),(-0.94* 0.33* -0.08),(274.24* 343.07* 6.68)
15,Lying,2,180,63.20816,(-0.15* 0.98* 0.10),(-0.94* 0.33* -0.09),(274.24* 343.07* 6.68)
15,Lying,3,180,67.56484,(-0.11* 0.99* 0.11),(-0.95* 0.29* -0.10),(274.24* 343.07* 6.68)
15,Lying,1,315,259.9276,(-0.11* 0.99* 0.13),(0.49* -0.23* 0.84),(274.24* 343.07* 6.68)
15,Lying,2,315,267.0871,(-0.08* 0.99* 0.14),(0.51* -0.13* 0.85),(274.24* 343.07* 6.68)
15,Lying,3,315,270.4329,(-0.07* 0.99* 0.14),(0.48* -0.08* 0.87),(274.24* 343.07* 6.68)
15,Lying,1,135,70.95285,(-0.06* 0.99* 0.15),(-0.62* 0.39* -0.67),(274.24* 343.07* 6.68)
15,Lying,2,135,62.88273,(-0.11* 0.99* 0.07),(-0.61* 0.44* -0.66),(274.24* 343.07* 6.68)
15,Lying,3,135,67.42085,(-0.11* 0.99* 0.07),(-0.62* 0.37* -0.69),(274.24* 343.07* 6.68)
15,Lying,1,270,80.22506,(-0.10* 0.99* 0.10),(-0.25* 0.05* 0.97),(274.24* 343.07* 6.68)
15,Lying,2,270,79.66387,(-0.10* 0.98* 0.15),(-0.24* 0.01* 0.97),(274.24* 343.07* 6.68)
15,Lying,3,270,82.35653,(-0.09* 0.99* 0.14),(-0.22* -0.02* 0.98),(274.24* 343.07* 6.68)
15,Lying,1,45,302.6242,(-0.08* 0.99* 0.15),(0.63* 0.66* -0.40),(274.24* 343.07* 6.68)
15,Lying,2,45,292.3662,(-0.05* 0.99* 0.08),(0.74* 0.46* -0.49),(274.24* 343.07* 6.68)
15,Lying,3,45,288.8093,(-0.05* 1.00* 0.08),(0.76* 0.40* -0.51),(274.24* 343.07* 6.68)
15,Lying,1,0,294.4969,(-0.07* 0.99* 0.12),(0.87* 0.46* 0.17),(274.24* 343.07* 6.68)
15,Lying,2,0,297.5534,(-0.03* 0.99* 0.13),(0.85* 0.46* 0.25),(274.24* 343.07* 6.68)
15,Lying,3,0,294.3274,(-0.05* 0.99* 0.12),(0.87* 0.43* 0.25),(274.24* 343.07* 6.68)
