Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
16,Standing,1,315,280.2905,(-0.99* 0.13* -0.07),(-0.31* -0.60* 0.74),(352.45* 255.17* 359.85)
16,Standing,2,315,281.655,(-0.99* 0.12* -0.06),(-0.33* -0.62* 0.71),(352.45* 255.17* 359.85)
16,Standing,3,315,278.5349,(-0.99* 0.15* -0.06),(-0.29* -0.63* 0.72),(352.45* 255.17* 359.85)
16,Standing,1,135,69.08111,(-0.99* 0.09* -0.06),(-0.25* 0.76* -0.59),(352.45* 255.17* 359.85)
16,Standing,2,135,77.21761,(-0.99* 0.13* -0.10),(-0.06* 0.80* -0.59),(352.45* 255.17* 359.85)
16,Standing,3,135,77.87895,(-0.99* 0.11* -0.08),(-0.07* 0.79* -0.61),(352.45* 255.17* 359.85)
16,Standing,1,270,62.4494,(-0.99* 0.12* -0.09),(-0.57* -0.82* 0.05),(352.45* 255.17* 359.85)
16,Standing,2,270,67.64599,(-0.99* 0.10* -0.08),(-0.48* -0.88* 0.07),(352.45* 255.17* 359.85)
16,Standing,3,270,68.98419,(-0.99* 0.11* -0.05),(-0.46* -0.88* 0.08),(352.45* 255.17* 359.85)
16,Standing,1,45,291.6171,(-0.99* 0.14* -0.07),(-0.34* 0.61* 0.72),(352.45* 255.17* 359.85)
16,Standing,2,45,287.7636,(-0.99* 0.14* -0.07),(-0.27* 0.62* 0.74),(352.45* 255.17* 359.85)
16,Standing,3,45,283.6903,(-0.99* 0.14* -0.07),(-0.21* 0.60* 0.77),(352.45* 255.17* 359.85)
16,Standing,1,0,271.0326,(-0.99* 0.11* -0.07),(-0.09* -0.05* 0.99),(352.45* 255.17* 359.85)
16,Standing,2,0,262.5208,(-0.99* 0.11* -0.07),(0.06* -0.03* 1.00),(352.45* 255.17* 359.85)
16,Standing,3,0,263.7758,(-0.99* 0.13* -0.07),(0.03* -0.05* 1.00),(352.45* 255.17* 359.85)
16,Standing,1,90,80.2795,(-0.99* 0.12* -0.06),(-0.07* 0.98* 0.18),(352.45* 255.17* 359.85)
16,Standing,2,90,83.14241,(-0.99* 0.09* -0.06),(-0.04* 0.98* 0.19),(352.45* 255.17* 359.85)
16,Standing,3,90,75.27388,(-0.99* 0.11* -0.07),(-0.16* 0.98* 0.15),(352.45* 255.17* 359.85)
16,Standing,1,225,86.87827,(-0.99* 0.13* -0.08),(-0.11* -0.78* -0.62),(352.45* 255.17* 359.85)
16,Standing,2,225,88.23912,(-0.99* 0.11* -0.08),(-0.06* -0.76* -0.65),(352.45* 255.17* 359.85)
16,Standing,3,225,89.36869,(-0.99* 0.11* -0.07),(-0.05* -0.77* -0.63),(352.45* 255.17* 359.85)
16,Standing,1,180,92.60916,(-0.99* 0.11* -0.06),(0.10* -0.02* -0.99),(352.45* 255.17* 359.85)
16,Standing,2,180,91.40361,(-0.99* 0.12* -0.10),(0.12* 0.00* -0.99),(352.45* 255.17* 359.85)
16,Standing,3,180,91.39478,(-0.99* 0.11* -0.07),(0.10* -0.01* -1.00),(352.45* 255.17* 359.85)
