Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
90,1,4.811296,(280.22* 279.87* 67.89),4.736058,0.2414772,(352.30* 75.76* 282.52),24.49306,-13.9957,(277.43* 246.43* 101.59)
90,1,4.851517,(280.20* 279.89* 67.86),4.73814,0.2357913,(352.27* 75.77* 282.54),24.51078,-13.96988,(277.43* 246.43* 101.59)
90,1,4.875108,(280.16* 279.42* 68.33),4.651252,0.2208814,(352.26* 75.78* 282.56),24.53259,-13.95706,(277.43* 246.43* 101.59)
90,1,4.896317,(280.15* 279.13* 68.60),4.601335,0.1957857,(352.27* 75.78* 282.57),24.53673,-13.95615,(277.43* 246.43* 101.59)
90,1,4.919757,(280.14* 279.34* 68.38),4.639069,0.1959737,(352.27* 75.79* 282.57),24.53707,-13.95105,(277.43* 246.43* 101.59)
90,1,4.948511,(280.16* 279.43* 68.32),4.652956,0.2214092,(352.27* 75.78* 282.57),24.53725,-13.95734,(277.43* 246.43* 101.59)
90,1,4.977766,(280.15* 279.36* 68.38),4.64158,0.2087517,(352.26* 75.78* 282.54),24.5108,-13.95529,(277.43* 246.43* 101.59)
90,1,5.006248,(280.11* 279.15* 68.59),4.598183,0.2019169,(352.26* 75.77* 282.56),24.52785,-13.96198,(277.43* 246.43* 101.59)
90,1,5.034445,(280.11* 279.06* 68.68),4.581752,0.2036078,(352.27* 75.77* 282.54),24.509,-13.96725,(277.43* 246.43* 101.59)
90,1,5.06285,(280.10* 279.03* 68.71),4.573733,0.2031279,(352.30* 75.76* 282.57),24.541,-13.98764,(277.43* 246.43* 101.59)
90,1,5.090768,(280.08* 278.75* 68.99),4.524948,0.1919074,(352.29* 75.77* 282.55),24.51927,-13.97415,(277.43* 246.43* 101.59)
90,1,5.11884,(280.09* 278.62* 69.14),4.498944,0.2141238,(352.35* 75.72* 282.58),24.54915,-14.04871,(277.43* 246.43* 101.59)
90,1,5.146863,(280.07* 278.58* 69.16),4.492169,0.1994185,(352.38* 75.70* 282.58),24.55069,-14.08646,(277.43* 246.43* 101.59)
90,1,5.174767,(280.03* 278.07* 69.66),4.40142,0.1761425,(352.38* 75.69* 282.57),24.54201,-14.09128,(277.43* 246.43* 101.59)
90,1,5.202451,(279.99* 277.89* 69.83),4.366989,0.1558561,(352.38* 75.70* 282.57),24.54386,-14.08759,(277.43* 246.43* 101.59)
90,1,5.23044,(280.00* 277.86* 69.87),4.361443,0.161711,(352.37* 75.70* 282.58),24.5481,-14.07635,(277.43* 246.43* 101.59)
90,1,5.258467,(279.99* 277.57* 70.15),4.311717,0.1498129,(352.38* 75.70* 282.59),24.55676,-14.08435,(277.43* 246.43* 101.59)
90,1,5.286257,(279.95* 277.03* 70.69),4.212314,0.1447684,(352.38* 75.69* 282.59),24.56563,-14.09314,(277.43* 246.43* 101.59)
90,1,5.314109,(279.90* 276.33* 71.39),4.086774,0.1358616,(352.37* 75.69* 282.61),24.57637,-14.0899,(277.43* 246.43* 101.59)
90,1,5.341488,(279.81* 275.44* 72.23),3.936105,0.05548218,(352.38* 75.68* 282.63),24.59663,-14.10254,(277.43* 246.43* 101.59)
90,1,5.369338,(279.78* 275.00* 72.70),3.853897,0.08549953,(352.39* 75.67* 282.64),24.60702,-14.10825,(277.43* 246.43* 101.59)
90,1,5.397397,(279.72* 274.17* 73.52),3.709104,0.06264605,(352.40* 75.67* 282.64),24.61286,-14.11923,(277.43* 246.43* 101.59)
90,1,5.425012,(279.66* 273.20* 74.48),3.544497,0.03563481,(352.42* 75.66* 282.64),24.60675,-14.13925,(277.43* 246.43* 101.59)
90,1,5.452619,(279.62* 272.15* 75.54),3.366055,0.02594008,(352.44* 75.64* 282.64),24.61513,-14.16458,(277.43* 246.43* 101.59)
90,1,5.481019,(279.59* 271.44* 76.26),3.245583,0.01950446,(352.48* 75.62* 282.64),24.60873,-14.20645,(277.43* 246.43* 101.59)
90,1,5.508594,(279.54* 270.43* 77.24),3.081142,-0.02227783,(352.50* 75.61* 282.63),24.60452,-14.2186,(277.43* 246.43* 101.59)
90,1,5.536586,(279.54* 269.30* 78.37),2.89386,-0.03936768,(352.51* 75.60* 282.62),24.58885,-14.23538,(277.43* 246.43* 101.59)
90,1,5.564426,(279.54* 268.42* 79.20),2.756167,-0.09683228,(352.55* 75.58* 282.60),24.56988,-14.27548,(277.43* 246.43* 101.59)
90,1,5.591545,(279.57* 267.41* 80.22),2.585268,-0.09790039,(352.56* 75.60* 282.56),24.52872,-14.26721,(277.43* 246.43* 101.59)
90,1,5.619574,(279.58* 266.33* 81.28),2.408648,-0.134491,(352.60* 75.56* 282.60),24.56868,-14.31931,(277.43* 246.43* 101.59)
90,1,5.647595,(279.58* 264.70* 82.88),2.143017,-0.1834717,(352.57* 75.66* 282.34),24.31532,-14.24057,(277.43* 246.43* 101.59)
90,1,5.675622,(279.64* 263.17* 84.38),1.889412,-0.2390442,(352.62* 75.63* 282.32),24.29603,-14.29626,(277.43* 246.43* 101.59)
90,1,5.702846,(279.68* 261.66* 85.89),1.63238,-0.256134,(352.69* 75.58* 282.34),24.31608,-14.37668,(277.43* 246.43* 101.59)
90,1,5.730364,(279.73* 259.99* 87.52),1.353807,-0.3293457,(352.76* 75.54* 282.38),24.35346,-14.44626,(277.43* 246.43* 101.59)
90,1,5.758572,(279.76* 258.44* 89.05),1.093775,-0.3685913,(352.92* 75.40* 282.57),24.53795,-14.63095,(277.43* 246.43* 101.59)
90,1,5.78631,(279.74* 257.06* 90.39),0.8762625,-0.4239502,(353.08* 75.29* 282.75),24.72518,-14.79602,(277.43* 246.43* 101.59)
