Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
16,Lying,1,315,319.1878,(-0.20* 0.96* 0.19),(0.25* 0.71* 0.66),(281.90* 325.51* 26.54)
16,Lying,2,315,318.0383,(-0.17* 0.97* 0.19),(0.27* 0.68* 0.68),(281.90* 325.51* 26.54)
16,Lying,3,315,320.4504,(-0.17* 0.97* 0.15),(0.25* 0.74* 0.63),(281.90* 325.51* 26.54)
16,Lying,1,135,30.16036,(-0.15* 0.97* 0.18),(-0.45* 0.86* -0.23),(281.90* 325.51* 26.54)
16,Lying,2,135,30.69295,(-0.16* 0.96* 0.21),(-0.47* 0.86* -0.21),(281.90* 325.51* 26.54)
16,Lying,3,135,32.83164,(-0.13* 0.97* 0.20),(-0.49* 0.85* -0.22),(281.90* 325.51* 26.54)
16,Lying,1,270,31.92832,(-0.17* 0.96* 0.23),(-0.22* 0.68* 0.70),(281.90* 325.51* 26.54)
16,Lying,2,270,37.2272,(-0.16* 0.97* 0.20),(-0.22* 0.63* 0.74),(281.90* 325.51* 26.54)
16,Lying,3,270,34.12388,(-0.18* 0.97* 0.15),(-0.22* 0.71* 0.67),(281.90* 325.51* 26.54)
16,Lying,1,45,331.367,(-0.17* 0.97* 0.16),(0.25* 0.96* -0.10),(281.90* 325.51* 26.54)
16,Lying,2,45,332.9349,(-0.17* 0.96* 0.20),(0.20* 0.98* -0.08),(281.90* 325.51* 26.54)
16,Lying,3,45,332.2422,(-0.18* 0.96* 0.19),(0.21* 0.97* -0.09),(281.90* 325.51* 26.54)
16,Lying,1,0,324.3611,(-0.16* 0.97* 0.16),(0.44* 0.86* 0.25),(281.90* 325.51* 26.54)
16,Lying,2,0,315.585,(-0.20* 0.96* 0.19),(0.54* 0.80* 0.25),(281.90* 325.51* 26.54)
16,Lying,3,0,316.0622,(-0.19* 0.96* 0.20),(0.54* 0.80* 0.26),(281.90* 325.51* 26.54)
16,Lying,1,90,18.48645,(-0.17* 0.96* 0.20),(-0.12* 0.99* -0.12),(281.90* 325.51* 26.54)
16,Lying,2,90,18.1443,(-0.15* 0.96* 0.22),(-0.12* 0.99* -0.09),(281.90* 325.51* 26.54)
16,Lying,3,90,18.76668,(-0.17* 0.97* 0.18),(-0.12* 0.98* -0.14),(281.90* 325.51* 26.54)
16,Lying,1,225,35.80585,(-0.18* 0.97* 0.17),(-0.60* 0.64* 0.48),(281.90* 325.51* 26.54)
16,Lying,2,225,35.14369,(-0.18* 0.96* 0.20),(-0.61* 0.64* 0.48),(281.90* 325.51* 26.54)
16,Lying,3,225,39.01654,(-0.16* 0.98* 0.14),(-0.60* 0.62* 0.50),(281.90* 325.51* 26.54)
16,Lying,1,180,34.69767,(-0.16* 0.97* 0.17),(-0.69* 0.71* 0.09),(281.90* 325.51* 26.54)
16,Lying,2,180,37.80453,(-0.14* 0.97* 0.18),(-0.72* 0.69* 0.10),(281.90* 325.51* 26.54)
16,Lying,3,180,37.48459,(-0.19* 0.96* 0.18),(-0.75* 0.66* 0.07),(281.90* 325.51* 26.54)
