Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
14,Standing,1,45,294.6711,(0.56* -0.09* 0.83),(0.81* 0.58* 0.02),(3.92* 31.40* 0.25)
14,Standing,2,45,289.0217,(0.59* -0.05* 0.80),(0.76* 0.63* -0.12),(3.92* 31.40* 0.25)
14,Standing,3,45,278.4664,(0.58* -0.06* 0.81),(0.70* 0.66* -0.27),(3.92* 31.40* 0.25)
14,Standing,1,0,278.7481,(0.59* -0.05* 0.80),(0.89* 0.00* -0.46),(3.92* 31.40* 0.25)
14,Standing,2,0,278.3719,(0.58* -0.05* 0.81),(0.89* 0.00* -0.46),(3.92* 31.40* 0.25)
14,Standing,3,0,276.7775,(0.60* -0.05* 0.80),(0.87* 0.01* -0.50),(3.92* 31.40* 0.25)
14,Standing,1,90,66.0131,(0.61* -0.07* 0.79),(0.30* 0.88* 0.36),(3.92* 31.40* 0.25)
14,Standing,2,90,59.80952,(0.58* -0.06* 0.82),(0.35* 0.83* 0.43),(3.92* 31.40* 0.25)
14,Standing,3,90,59.96802,(0.57* -0.06* 0.82),(0.35* 0.83* 0.43),(3.92* 31.40* 0.25)
14,Standing,1,225,66.15614,(0.58* -0.05* 0.81),(-0.29* -0.70* 0.66),(3.92* 31.40* 0.25)
14,Standing,2,225,64.78524,(0.60* -0.06* 0.80),(-0.27* -0.68* 0.68),(3.92* 31.40* 0.25)
14,Standing,3,225,67.68906,(0.59* -0.06* 0.80),(-0.30* -0.70* 0.65),(3.92* 31.40* 0.25)
14,Standing,1,180,72.86253,(0.58* -0.07* 0.81),(-0.61* -0.02* 0.80),(3.92* 31.40* 0.25)
14,Standing,2,180,70.49934,(0.56* -0.04* 0.83),(-0.60* -0.02* 0.80),(3.92* 31.40* 0.25)
14,Standing,3,180,72.02121,(0.57* -0.06* 0.82),(-0.60* 0.00* 0.80),(3.92* 31.40* 0.25)
14,Standing,1,315,297.9022,(0.57* -0.06* 0.82),(0.79* -0.61* -0.02),(3.92* 31.40* 0.25)
14,Standing,2,315,293.7297,(0.62* -0.05* 0.78),(0.76* -0.64* -0.13),(3.92* 31.40* 0.25)
14,Standing,3,315,293.6011,(0.62* -0.07* 0.78),(0.75* -0.64* -0.15),(3.92* 31.40* 0.25)
14,Standing,1,135,76.12592,(0.58* -0.07* 0.81),(-0.37* 0.69* 0.62),(3.92* 31.40* 0.25)
14,Standing,2,135,71.65023,(0.58* -0.07* 0.81),(-0.32* 0.67* 0.67),(3.92* 31.40* 0.25)
14,Standing,3,135,73.12122,(0.59* -0.06* 0.80),(-0.34* 0.67* 0.66),(3.92* 31.40* 0.25)
14,Standing,1,270,56.32216,(0.61* -0.05* 0.79),(0.33* -0.86* 0.39),(3.92* 31.40* 0.25)
14,Standing,2,270,47.50954,(0.59* -0.06* 0.81),(0.40* -0.78* 0.49),(3.92* 31.40* 0.25)
14,Standing,3,270,53.23079,(0.58* -0.06* 0.81),(0.36* -0.83* 0.42),(3.92* 31.40* 0.25)
