Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
3,Standing,1,0,200.4815,(0.99* 0.10* -0.09),(-0.96* -0.07* -0.26),(354.36* 92.52* 0.85)
3,Standing,2,0,203.251,(0.99* 0.11* -0.09),(-0.95* -0.08* -0.31),(354.36* 92.52* 0.85)
3,Standing,3,0,205.5821,(0.99* 0.11* -0.09),(-0.93* -0.07* -0.35),(354.36* 92.52* 0.85)
3,Standing,1,90,103.3324,(0.99* 0.10* -0.10),(-0.33* 0.94* -0.02),(354.36* 92.52* 0.85)
3,Standing,2,90,119.9858,(0.99* 0.09* -0.09),(-0.58* 0.81* -0.02),(354.36* 92.52* 0.85)
3,Standing,3,90,132.1505,(0.99* 0.10* -0.10),(-0.75* 0.67* 0.00),(354.36* 92.52* 0.85)
3,Standing,1,225,183.2248,(0.99* 0.11* -0.08),(-0.98* -0.17* 0.08),(354.36* 92.52* 0.85)
3,Standing,2,225,186.7675,(0.99* 0.08* -0.07),(-1.00* -0.03* -0.04),(354.36* 92.52* 0.85)
3,Standing,3,225,182.7856,(0.99* 0.09* -0.07),(-1.00* -0.09* 0.02),(354.36* 92.52* 0.85)
3,Standing,1,180,193.6479,(0.99* 0.10* -0.08),(-0.99* -0.07* -0.15),(354.36* 92.52* 0.85)
3,Standing,2,180,191.7143,(0.99* 0.10* -0.07),(-0.99* -0.09* -0.13),(354.36* 92.52* 0.85)
3,Standing,3,180,176.4359,(0.99* 0.10* -0.07),(-0.99* -0.08* 0.13),(354.36* 92.52* 0.85)
3,Standing,1,315,215.8681,(0.99* 0.09* -0.07),(-0.81* -0.44* -0.40),(354.36* 92.52* 0.85)
3,Standing,2,315,210.539,(0.99* 0.07* -0.10),(-0.87* -0.37* -0.32),(354.36* 92.52* 0.85)
3,Standing,3,315,195.5449,(0.99* 0.10* -0.09),(-0.96* -0.21* -0.16),(354.36* 92.52* 0.85)
3,Standing,1,135,164.4375,(0.99* 0.09* -0.08),(-0.96* 0.13* 0.24),(354.36* 92.52* 0.85)
3,Standing,2,135,163.7427,(0.99* 0.12* -0.08),(-0.97* 0.13* 0.21),(354.36* 92.52* 0.85)
3,Standing,3,135,174.5208,(0.99* 0.09* -0.07),(-0.99* -0.01* 0.11),(354.36* 92.52* 0.85)
3,Standing,1,270,144.4637,(0.99* 0.10* -0.08),(-0.76* -0.65* -0.03),(354.36* 92.52* 0.85)
3,Standing,2,270,148.6892,(0.99* 0.09* -0.08),(-0.81* -0.59* -0.02),(354.36* 92.52* 0.85)
3,Standing,3,270,142.4636,(0.99* 0.09* -0.09),(-0.74* -0.67* -0.03),(354.36* 92.52* 0.85)
3,Standing,1,45,201.5541,(0.99* 0.07* -0.09),(-0.97* 0.11* -0.24),(354.36* 92.52* 0.85)
3,Standing,2,45,191.3628,(0.99* 0.11* -0.08),(-1.00* -0.01* -0.08),(354.36* 92.52* 0.85)
3,Standing,3,45,204.0325,(0.99* 0.12* -0.08),(-0.96* 0.15* -0.24),(354.36* 92.52* 0.85)
