Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
5,Standing,1,225,67.2204,(0.03* 0.05* 1.00),(-0.66* -0.61* 0.44),(357.58* 1.73* 358.01)
5,Standing,2,225,60.14423,(0.01* 0.05* 1.00),(-0.63* -0.56* 0.53),(357.58* 1.73* 358.01)
5,Standing,3,225,68.2336,(0.03* 0.07* 1.00),(-0.67* -0.61* 0.43),(357.58* 1.73* 358.01)
5,Standing,1,180,144.299,(0.01* 0.03* 1.00),(-0.59* 0.00* -0.81),(357.58* 1.73* 358.01)
5,Standing,2,180,158.9522,(-0.03* 0.06* 1.00),(-0.33* -0.01* -0.94),(357.58* 1.73* 358.01)
5,Standing,3,180,166.6394,(-0.03* 0.06* 1.00),(-0.21* -0.04* -0.98),(357.58* 1.73* 358.01)
5,Standing,1,315,276.2934,(-0.04* 0.05* 1.00),(0.69* -0.70* 0.18),(357.58* 1.73* 358.01)
5,Standing,2,315,276.5115,(0.03* 0.05* 1.00),(0.69* -0.71* 0.13),(357.58* 1.73* 358.01)
5,Standing,3,315,275.5802,(0.03* 0.07* 1.00),(0.70* -0.71* 0.13),(357.58* 1.73* 358.01)
5,Standing,1,135,110.1214,(0.07* 0.00* 1.00),(-0.65* 0.70* -0.30),(357.58* 1.73* 358.01)
5,Standing,2,135,116.3301,(0.00* 0.08* 1.00),(-0.60* 0.63* -0.49),(357.58* 1.73* 358.01)
5,Standing,3,135,124.6638,(0.00* 0.06* 1.00),(-0.55* 0.57* -0.61),(357.58* 1.73* 358.01)
5,Standing,1,270,73.69515,(0.03* 0.04* 1.00),(-0.03* -0.95* 0.32),(357.58* 1.73* 358.01)
5,Standing,2,270,80.28814,(0.04* 0.03* 1.00),(-0.02* -0.98* 0.20),(357.58* 1.73* 358.01)
5,Standing,3,270,87.61631,(0.06* 0.07* 1.00),(-0.01* -0.99* 0.11),(357.58* 1.73* 358.01)
5,Standing,1,45,236.4345,(0.05* 0.06* 1.00),(0.62* 0.50* -0.61),(357.58* 1.73* 358.01)
5,Standing,2,45,221.7674,(0.09* 0.07* 0.99),(0.45* 0.35* -0.82),(357.58* 1.73* 358.01)
5,Standing,3,45,207.3174,(0.03* 0.08* 1.00),(0.29* 0.25* -0.92),(357.58* 1.73* 358.01)
5,Standing,1,0,204.2181,(0.07* 0.05* 1.00),(0.35* -0.03* -0.94),(357.58* 1.73* 358.01)
5,Standing,2,0,198.1443,(0.01* 0.04* 1.00),(0.30* -0.03* -0.95),(357.58* 1.73* 358.01)
5,Standing,3,0,194.5252,(0.01* 0.06* 1.00),(0.24* -0.05* -0.97),(357.58* 1.73* 358.01)
5,Standing,1,90,113.9498,(0.08* 0.05* 1.00),(0.03* 0.89* -0.46),(357.58* 1.73* 358.01)
5,Standing,2,90,123.0623,(0.03* 0.02* 1.00),(0.02* 0.82* -0.57),(357.58* 1.73* 358.01)
5,Standing,3,90,117.7392,(0.06* -0.02* 1.00),(0.03* 0.89* -0.45),(357.58* 1.73* 358.01)
