Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-55.01288,(0.01* 0.99* 0.12),(-0.81* 0.58* 0.04),6.263252,(-0.04* 0.98* 0.17),(-0.01* 0.96* 0.27),(277.17* 6.21* 81.59)
Up,2,-55.09479,(-0.01* 0.99* 0.12),(-0.83* 0.56* 0.04),6.904954,(-0.03* 0.98* 0.17),(0.02* 0.96* 0.28),(277.17* 6.21* 81.59)
Up,3,-54.64557,(-0.02* 0.99* 0.12),(-0.82* 0.56* 0.04),5.156017,(-0.01* 0.98* 0.18),(0.00* 0.96* 0.26),(277.17* 6.21* 81.59)
Left,1,109.3884,(-0.01* 0.99* 0.12),(-0.04* -0.45* 0.89),-32.70272,(-0.02* 0.99* 0.16),(-0.52* 0.79* 0.32),(277.17* 6.21* 81.59)
Left,2,-127.3355,(0.01* 0.99* 0.13),(-0.05* -0.70* 0.71),-34.85617,(-0.11* 0.98* 0.17),(-0.55* 0.69* 0.46),(277.17* 6.21* 81.59)
Left,3,-136.3205,(0.01* 0.99* 0.12),(-0.03* -0.80* 0.60),-38.15219,(-0.14* 0.97* 0.21),(-0.61* 0.62* 0.50),(277.17* 6.21* 81.59)
Down,1,88.07529,(0.02* 0.99* 0.13),(1.00* 0.01* 0.03),8.380027,(-0.17* 0.96* 0.22),(-0.02* 0.98* 0.21),(277.17* 6.21* 81.59)
Down,2,0.9211111,(0.03* 0.99* 0.12),(0.04* 0.99* 0.12),-2.802817,(-0.01* 0.98* 0.20),(-0.06* 0.98* 0.18),(277.17* 6.21* 81.59)
Down,3,78.61578,(0.02* 0.99* 0.13),(0.98* 0.17* 0.05),4.39837,(-0.03* 0.98* 0.20),(-0.02* 0.99* 0.12),(277.17* 6.21* 81.59)
Right,1,-2.250815,(0.04* 0.99* 0.12),(0.00* 0.99* 0.11),15.16923,(-0.02* 0.99* 0.16),(0.23* 0.97* 0.09),(277.17* 6.21* 81.59)
Right,2,79.22501,(0.01* 1.00* 0.10),(0.03* 0.28* -0.96),19.41085,(0.23* 0.97* 0.08),(0.53* 0.83* 0.16),(277.17* 6.21* 81.59)
Right,3,104.3644,(0.01* 1.00* 0.09),(0.03* -0.16* -0.99),-23.82903,(0.26* 0.96* 0.10),(0.58* 0.77* 0.27),(277.17* 6.21* 81.59)
