Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,33.04906,(-0.03* 0.99* 0.10),(-0.09* 0.77* 0.63),-1.840581,(-0.05* 1.00* 0.00),(-0.06* 1.00* -0.03),(276.68* 342.39* 191.24)
Up,2,28.86272,(-0.04* 0.99* 0.15),(-0.09* 0.79* 0.60),-1.238753,(-0.07* 1.00* -0.02),(-0.05* 1.00* -0.02),(276.68* 342.39* 191.24)
Up,3,24.12515,(-0.04* 0.98* 0.17),(-0.08* 0.83* 0.56),-1.278401,(-0.06* 1.00* -0.01),(-0.07* 1.00* -0.03),(276.68* 342.39* 191.24)
Left,1,54.27989,(-0.04* 0.99* 0.15),(0.79* 0.60* 0.17),0.3642322,(-0.06* 1.00* -0.02),(-0.06* 1.00* -0.02),(276.68* 342.39* 191.24)
Left,2,59.02184,(-0.01* 0.99* 0.10),(0.85* 0.51* 0.16),1.939368,(-0.06* 1.00* -0.01),(-0.10* 1.00* -0.01),(276.68* 342.39* 191.24)
Left,3,57.77613,(0.00* 0.99* 0.12),(0.84* 0.52* 0.16),-0.8213912,(-0.08* 1.00* 0.00),(-0.10* 1.00* -0.01),(276.68* 342.39* 191.24)
Down,1,-35.62993,(-0.03* 0.99* 0.11),(0.03* 0.87* -0.49),-1.572839,(-0.06* 1.00* -0.03),(-0.05* 1.00* -0.06),(276.68* 342.39* 191.24)
Down,2,-42.70719,(-0.04* 0.99* 0.11),(0.05* 0.81* -0.58),-1.857305,(-0.05* 1.00* -0.06),(-0.04* 1.00* -0.09),(276.68* 342.39* 191.24)
Down,3,-46.05214,(-0.03* 0.99* 0.12),(0.06* 0.78* -0.62),-1.798527,(-0.06* 1.00* -0.05),(-0.04* 1.00* -0.08),(276.68* 342.39* 191.24)
Right,1,-63.53133,(-0.04* 0.99* 0.13),(-0.91* 0.42* -0.04),-0.8552368,(-0.05* 1.00* -0.07),(-0.03* 1.00* -0.07),(276.68* 342.39* 191.24)
Right,2,-60.46896,(-0.05* 0.99* 0.14),(-0.89* 0.46* -0.03),-1.04605,(-0.05* 1.00* -0.06),(-0.03* 1.00* -0.06),(276.68* 342.39* 191.24)
Right,3,-64.36417,(-0.06* 0.99* 0.13),(-0.92* 0.38* -0.04),-1.763696,(-0.04* 1.00* -0.06),(-0.01* 1.00* -0.08),(276.68* 342.39* 191.24)
