Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,95.28233,(-0.05* 1.00* 0.04),(-0.03* -0.13* 0.99),37.51128,(0.05* 1.00* -0.07),(-0.55* 0.83* 0.10),(273.80* 306.79* 141.92)
Left,2,97.99944,(-0.05* 1.00* 0.05),(-0.02* -0.19* 0.98),40.96827,(0.01* 1.00* -0.07),(-0.62* 0.77* 0.15),(273.80* 306.79* 141.92)
Left,3,97.43707,(-0.05* 1.00* 0.06),(-0.02* -0.19* 0.98),36.0891,(-0.05* 1.00* -0.08),(-0.59* 0.80* 0.15),(273.80* 306.79* 141.92)
Down,1,66.98963,(-0.06* 1.00* 0.05),(0.89* 0.45* 0.03),-13.28033,(-0.01* 1.00* -0.09),(0.04* 0.99* 0.13),(273.80* 306.79* 141.92)
Down,2,63.02348,(-0.02* 1.00* 0.04),(0.88* 0.47* 0.04),-9.103642,(0.01* 1.00* -0.07),(0.02* 1.00* 0.09),(273.80* 306.79* 141.92)
Down,3,65.84016,(-0.06* 1.00* 0.04),(0.89* 0.46* 0.04),-9.522498,(0.01* 1.00* -0.07),(0.02* 1.00* 0.09),(273.80* 306.79* 141.92)
Right,1,-103.6648,(-0.05* 1.00* 0.04),(0.02* -0.20* -0.98),-35.87749,(0.01* 1.00* -0.05),(0.58* 0.81* 0.10),(273.80* 306.79* 141.92)
Right,2,-104.0909,(-0.07* 1.00* 0.03),(0.02* -0.21* -0.98),-31.26101,(0.09* 0.99* -0.08),(0.57* 0.82* 0.10),(273.80* 306.79* 141.92)
Right,3,-104.7479,(-0.08* 1.00* 0.03),(0.02* -0.22* -0.97),-32.60873,(0.08* 0.99* -0.08),(0.58* 0.81* 0.10),(273.80* 306.79* 141.92)
Up,1,-56.52991,(-0.06* 1.00* 0.04),(-0.87* 0.50* 0.01),-3.492278,(0.08* 0.99* -0.08),(0.08* 1.00* -0.02),(273.80* 306.79* 141.92)
Up,2,-56.30579,(-0.08* 1.00* 0.05),(-0.87* 0.49* -0.01),-8.991321,(0.11* 0.99* -0.12),(0.07* 1.00* 0.03),(273.80* 306.79* 141.92)
Up,3,-57.53695,(-0.08* 1.00* 0.05),(-0.88* 0.47* -0.01),-8.283422,(0.12* 0.98* -0.14),(0.07* 1.00* 0.00),(273.80* 306.79* 141.92)
