Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-52.06699,(-0.08* 0.99* -0.08),(0.74* 0.67* -0.07),4.022192,(-0.01* 0.95* 0.31),(0.06* 0.95* 0.32),(276.21* 224.52* 136.35)
Right,2,-66.44498,(-0.06* 1.00* -0.07),(0.89* 0.46* -0.04),3.905351,(0.00* 0.95* 0.32),(0.07* 0.95* 0.29),(276.21* 224.52* 136.35)
Right,3,-66.94048,(-0.08* 0.99* -0.09),(0.88* 0.46* -0.05),3.460174,(0.01* 0.95* 0.30),(0.07* 0.96* 0.28),(276.21* 224.52* 136.35)
Up,1,-31.82265,(-0.07* 0.99* -0.09),(-0.07* 0.80* -0.60),1.8409,(0.01* 0.96* 0.29),(0.02* 0.95* 0.32),(276.21* 224.52* 136.35)
Up,2,-34.31732,(-0.07* 1.00* -0.07),(-0.06* 0.78* -0.62),-1.309703,(0.00* 0.95* 0.30),(0.00* 0.96* 0.28),(276.21* 224.52* 136.35)
Up,3,-37.5291,(-0.06* 0.99* -0.12),(-0.06* 0.71* -0.70),0.5804718,(-0.01* 0.94* 0.35),(-0.01* 0.94* 0.34),(276.21* 224.52* 136.35)
Left,1,59.81091,(-0.09* 0.99* -0.14),(-0.91* 0.42* -0.04),-5.023402,(-0.01* 0.94* 0.34),(-0.05* 0.96* 0.27),(276.21* 224.52* 136.35)
Left,2,65.54558,(-0.09* 0.99* -0.12),(-0.94* 0.33* -0.04),-5.293427,(0.00* 0.95* 0.32),(-0.07* 0.97* 0.25),(276.21* 224.52* 136.35)
Left,3,65.999,(-0.11* 0.99* -0.13),(-0.95* 0.30* -0.04),-5.511605,(-0.01* 0.95* 0.30),(-0.08* 0.97* 0.24),(276.21* 224.52* 136.35)
Down,1,39.83375,(-0.12* 0.98* -0.14),(-0.05* 0.85* 0.52),-3.602881,(-0.01* 0.95* 0.32),(-0.02* 0.96* 0.26),(276.21* 224.52* 136.35)
Down,2,42.88535,(-0.07* 0.99* -0.11),(-0.02* 0.80* 0.59),-4.504282,(-0.02* 0.94* 0.34),(-0.02* 0.97* 0.26),(276.21* 224.52* 136.35)
Down,3,43.82126,(-0.07* 0.99* -0.08),(-0.04* 0.78* 0.63),-3.572044,(-0.01* 0.95* 0.31),(-0.01* 0.97* 0.25),(276.21* 224.52* 136.35)
