Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-45.70806,(-0.13* 0.99* 0.08),(-0.80* 0.60* -0.01),6.076606,(0.09* 0.91* 0.41),(0.10* 0.95* 0.31),(278.80* 300.31* 144.95)
Up,2,-41.35776,(-0.17* 0.98* 0.07),(-0.78* 0.63* -0.01),-5.854878,(0.10* 0.98* 0.17),(0.12* 0.95* 0.27),(278.80* 300.31* 144.95)
Up,3,-40.11411,(-0.18* 0.98* 0.07),(-0.77* 0.64* 0.00),-5.078715,(0.11* 0.98* 0.16),(0.12* 0.96* 0.24),(278.80* 300.31* 144.95)
Left,1,79.58192,(-0.15* 0.99* 0.07),(-0.11* 0.09* 0.99),-1.928946,(0.10* 0.99* 0.14),(0.07* 0.99* 0.13),(278.80* 300.31* 144.95)
Left,2,98.26536,(-0.14* 0.99* 0.09),(-0.07* -0.25* 0.97),-8.222467,(0.10* 0.99* 0.09),(-0.03* 1.00* 0.06),(278.80* 300.31* 144.95)
Left,3,101.2393,(-0.14* 0.98* 0.11),(-0.05* -0.31* 0.95),-11.69169,(0.08* 0.99* 0.09),(-0.12* 0.99* 0.07),(278.80* 300.31* 144.95)
Down,1,93.54655,(-0.13* 0.99* 0.11),(0.99* 0.06* 0.09),24.72578,(0.06* 0.99* 0.15),(0.24* 0.94* -0.24),(278.80* 300.31* 144.95)
Down,2,96.73154,(-0.10* 0.99* 0.08),(1.00* -0.03* 0.08),17.08795,(0.10* 0.99* 0.00),(0.26* 0.94* -0.24),(278.80* 300.31* 144.95)
Down,3,94.1368,(-0.13* 0.99* 0.08),(1.00* 0.05* 0.08),15.98384,(0.11* 0.99* -0.03),(0.27* 0.93* -0.25),(278.80* 300.31* 144.95)
Right,1,-89.04822,(-0.10* 0.99* 0.08),(0.07* 0.11* -0.99),-9.875955,(0.12* 0.99* -0.05),(0.23* 0.97* 0.08),(278.80* 300.31* 144.95)
Right,2,-79.78656,(-0.13* 0.99* 0.04),(0.05* 0.22* -0.97),-2.074431,(0.18* 0.98* -0.02),(0.20* 0.98* 0.01),(278.80* 300.31* 144.95)
Right,3,-73.72816,(-0.13* 0.99* 0.03),(0.04* 0.32* -0.95),-1.323969,(0.17* 0.98* -0.04),(0.19* 0.98* -0.02),(278.80* 300.31* 144.95)
