Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-31.52925,(0.02* 0.99* 0.14),(-0.07* 0.78* 0.63),0.5824909,(-0.05* 0.99* -0.09),(-0.06* 0.99* -0.09),(277.91* 7.30* 163.47)
Up,2,-30.94884,(0.01* 0.98* 0.17),(-0.07* 0.76* 0.65),-3.23289,(-0.09* 0.99* -0.08),(-0.07* 0.99* -0.13),(277.91* 7.30* 163.47)
Up,3,-32.22225,(0.01* 0.98* 0.18),(-0.08* 0.74* 0.67),-2.756621,(-0.08* 0.99* -0.08),(-0.08* 0.99* -0.13),(277.91* 7.30* 163.47)
Left,1,69.15466,(0.02* 0.99* 0.15),(0.93* 0.31* 0.20),13.14615,(-0.05* 0.99* -0.11),(-0.28* 0.95* -0.11),(277.91* 7.30* 163.47)
Left,2,71.07555,(0.04* 0.99* 0.15),(0.94* 0.26* 0.20),11.67233,(-0.13* 0.99* -0.11),(-0.33* 0.94* -0.10),(277.91* 7.30* 163.47)
Left,3,73.31598,(0.05* 0.99* 0.15),(0.96* 0.22* 0.18),9.350151,(-0.15* 0.99* -0.07),(-0.31* 0.95* -0.11),(277.91* 7.30* 163.47)
Down,1,40.04726,(0.03* 0.99* 0.14),(0.11* 0.85* -0.52),-3.878736,(-0.12* 0.99* -0.08),(-0.08* 0.99* -0.14),(277.91* 7.30* 163.47)
Down,2,41.82684,(0.02* 0.99* 0.12),(0.13* 0.82* -0.56),-3.902342,(-0.10* 0.99* -0.08),(-0.08* 0.99* -0.14),(277.91* 7.30* 163.47)
Down,3,40.299,(0.02* 0.99* 0.13),(0.11* 0.84* -0.53),-3.956216,(-0.09* 0.99* -0.07),(-0.08* 0.99* -0.14),(277.91* 7.30* 163.47)
Right,1,-73.95261,(0.02* 0.99* 0.12),(-0.94* 0.31* -0.11),27.86379,(-0.10* 0.99* -0.07),(0.20* 0.93* 0.30),(277.91* 7.30* 163.47)
Right,2,-83.97276,(-0.01* 0.99* 0.14),(-0.98* 0.11* -0.14),12.66185,(-0.01* 1.00* 0.04),(0.21* 0.98* 0.05),(277.91* 7.30* 163.47)
Right,3,-82.68122,(0.00* 0.99* 0.14),(-0.98* 0.14* -0.14),10.38423,(0.05* 1.00* 0.04),(0.23* 0.97* 0.05),(277.91* 7.30* 163.47)
