Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,86.10739,(-0.15* 0.99* 0.01),(-0.07* 0.05* 1.00),24.10582,(0.05* 1.00* -0.07),(-0.34* 0.94* 0.07),(278.61* 272.16* 174.75)
Left,2,81.71141,(-0.16* 0.99* 0.02),(-0.08* 0.12* 0.99),20.61496,(0.02* 1.00* -0.08),(-0.31* 0.95* 0.06),(278.61* 272.16* 174.75)
Left,3,-0.3077414,(-0.16* 0.99* 0.01),(-0.17* 0.99* 0.01),-0.1938267,(-0.01* 0.99* -0.10),(-0.01* 0.99* -0.10),(278.61* 272.16* 174.75)
Down,1,73.69415,(-0.16* 0.99* 0.02),(0.90* 0.43* 0.05),-14.7904,(0.01* 1.00* -0.05),(0.06* 0.98* 0.20),(278.61* 272.16* 174.75)
Down,2,77.19357,(-0.15* 0.99* 0.01),(0.93* 0.36* 0.06),-13.84745,(0.04* 1.00* -0.02),(0.05* 0.97* 0.22),(278.61* 272.16* 174.75)
Down,3,80.30869,(-0.16* 0.99* 0.00),(0.94* 0.32* 0.06),-17.7654,(0.03* 1.00* -0.09),(0.04* 0.97* 0.22),(278.61* 272.16* 174.75)
Right,1,-103.326,(-0.16* 0.99* 0.01),(0.07* -0.21* -0.97),-33.22092,(0.04* 1.00* -0.07),(0.51* 0.83* 0.22),(278.61* 272.16* 174.75)
Right,2,-111.8032,(-0.16* 0.99* -0.01),(0.11* -0.37* -0.92),-39.72623,(0.07* 0.99* -0.09),(0.60* 0.76* 0.26),(278.61* 272.16* 174.75)
Right,3,-113.5364,(-0.16* 0.99* 0.00),(0.09* -0.39* -0.92),-43.88348,(0.05* 1.00* -0.08),(0.65* 0.71* 0.27),(278.61* 272.16* 174.75)
Up,1,-56.7636,(-0.16* 0.99* 0.00),(-0.91* 0.41* -0.05),7.218794,(0.07* 0.99* -0.07),(-0.04* 1.00* -0.01),(278.61* 272.16* 174.75)
Up,2,-54.79511,(-0.16* 0.99* 0.00),(-0.90* 0.44* -0.05),7.709176,(0.07* 0.99* -0.11),(-0.02* 1.00* -0.01),(278.61* 272.16* 174.75)
Up,3,-54.73999,(-0.16* 0.99* 0.01),(-0.90* 0.44* -0.05),-6.261781,(0.06* 1.00* -0.08),(0.00* 1.00* 0.02),(278.61* 272.16* 174.75)
