time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.4441411,0, 0, 0, 0
0.4474753,0.2502292, 0.09487279, -0.2315465, -0.04423466
0.4524834,0.2811602, 0.1582588, -0.23239, -0.02797646
0.4561725,0.4921804, 0.4747775, -0.1297215, 0
0.4596426,0.7238871, 0.7225344, -0.04423466, 0.01978234
0.4628214,1.062016, 1.059802, 0.06852804, 0.04423466
0.4673795,1.334715, 1.325151, 0.1594904, 0.05934703
0.4713746,1.631589, 1.610584, 0.2609472, 0.07401875
0.4749615,1.869697, 1.838347, 0.3409232, 0.09065409
0.4785063,2.060041, 2.019939, 0.4049353, 0.1008706
0.4823155,2.229673, 2.181578, 0.4609765, 0.1186941
0.4858719,2.365461, 2.310883, 0.5055169, 0.132704
0.4894686,2.500611, 2.438955, 0.5521386, 0.1398823
0.4935234,2.609846, 2.542374, 0.5898349, 0.1467098
0.4975956,2.71, 2.63693, 0.6252628, 0.1506579
0.5010141,2.79162, 2.713826, 0.6546168, 0.1532334
0.5047657,2.466327, 2.407209, 0.5370479, 0.1412742
0.5084197,2.204159, 2.159486, 0.4419051, 0.1341704
0.5119947,1.992723, 1.959047, 0.364769, 0.1282043
0.5162124,1.629428, 1.612769, 0.23239, 0.1170339
0.5211178,1.333835, 1.328101, 0.1235407, 0.1083524
0.5244761,1.401513, 1.393531, 0.1493534, 0.1083524
0.5277903,1.453738, 1.443743, 0.1701742, 0.1083524
0.5318974,1.255386, 1.251639, 0.09691329, 0.1027921
0.5367523,1.090919, 1.090381, 0.03426402, 0.09691329
0.5402817,1.230193, 1.226848, 0.09065409, 0.09891172
0.5436356,1.340713, 1.334129, 0.132704, 0.1008706
0.5474714,1.181343, 1.179022, 0.07401875, 0.09487279
0.5510178,1.049412, 1.049225, 0.01978234, 0.09278741
0.5546628,1.186467, 1.18399, 0.07661668, 0.1027921
0.5585305,1.294524, 1.289375, 0.1153499, 0.1119058
0.5626687,1.378708, 1.370879, 0.1467098, 0.1186941
0.5663302,1.594464, 1.57818, 0.2272819, 0.1235407
0.5694223,1.769457, 1.745179, 0.2920831, 0.1266688
0.573401,1.588562, 1.572341, 0.2264194, 0.1186941
0.5767947,1.442251, 1.431765, 0.1735894, 0.1119058
0.5805477,1.559343, 1.544337, 0.2158, 0.1136409
