time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.397314,0, 0, 0, 0
0.4019163,0.09487279, 0.09487279, 0, 0.01978234
0.4054301,0.1713202, 0.1713202, 0, 0
0.4084682,0.2349025, 0.2349025, 0, -0.01978234
0.4117102,0.2866737, 0.2866737, 0, -0.03956468
0.4149373,0.3274564, 0.3274564, 0, -0.05595291
0.4181418,0.3626169, 0.3626169, 0, -0.06852804
0.4212872,0.3906707, 0.3906707, 0, -0.07661668
0.424447,0.4130683, 0.4130683, 0, -0.08156469
0.427966,0.4329587, 0.4329587, 0, -0.08846933
0.4309049,0.4480613, 0.4480613, 0, -0.09487279
0.4343088,0.4626713, 0.4626713, 0, -0.09891172
0.4374539,0.4739525, 0.4739525, 0, -0.1027921
0.4410152,0.4825446, 0.4825446, 0, -0.1046783
0.4440748,0.4905876, 0.4905876, 0, -0.1065312
0.446947,0.4961402, 0.4961402, 0, -0.1083524
0.4502026,0.5039662, 0.5035778, 0.01978234, -0.1101434
0.453507,0.5093729, 0.5093729, 0, -0.1119058
0.457675,0.5147229, 0.5143426, 0.01978234, -0.1119058
0.4612059,0.5200178, 0.5200178, 0, -0.1136409
0.464274,0.5241405, 0.5241405, 0, -0.1119058
0.4684313,0.5363187, 0.5363187, 0, -0.1101434
0.4714918,0.5467969, 0.5460806, 0.02797646, -0.1083524
0.4746453,0.5588315, 0.5584812, 0.01978234, -0.1046783
0.4779506,0.569239, 0.5688952, 0.01978234, -0.1027921
0.4812449,0.5781073, 0.57743, 0.02797646, -0.1008706
0.4842668,0.5834977, 0.5831623, 0.01978234, -0.09278741
0.48792,0.5885065, 0.5878411, 0.02797646, -0.08622923
0.4908544,0.5924829, 0.591822, 0.02797646, -0.08392937
0.4950701,0.5983981, 0.598071, 0.01978234, -0.07661668
0.4983069,0.6042554, 0.6036074, 0.02797646, -0.07132626
0.5015096,0.6100564, 0.6097356, 0.01978234, -0.06255726
0.5045687,0.615485, 0.615167, 0.01978234, -0.05934703
0.5079395,0.6199199, 0.6196041, 0.01978234, -0.05595291
0.5111178,0.6196041, 0.6196041, 0, -0.05233916
0.5140757,0.6202354, 0.6202354, 0, -0.05233916
0.5172089,0.6202354, 0.6202354, 0, -0.04423466
0.5203897,0.6205508, 0.6205508, 0, -0.04845664
0.5233643,0.6208661, 0.6208661, 0, -0.04423466
0.5263317,0.6192883, 0.6189722, -0.01978234, -0.03956468
0.529146,0.6177064, 0.6173896, -0.01978234, -0.03956468
0.5324474,0.6177064, 0.6167554, -0.03426402, -0.03956468
0.5355845,0.6224399, 0.6214961, -0.03426402, -0.02797646
0.538714,0.6268256, 0.6255757, -0.03956468, -0.02797646
0.5415055,0.63025, 0.629007, -0.03956468, -0.01978234
0.5446567,0.6382713, 0.6364292, -0.04845664, -0.01978234
0.5483626,0.6437659, 0.6419396, -0.04845664, 0
0.5513296,0.649214, 0.6467983, -0.05595291, -0.01978234
0.5543419,0.65342, 0.6507192, -0.05934703, 0
0.5570735,0.6567059, 0.6537194, -0.06255726, 0
0.560704,0.649214, 0.6452838, -0.07132626, 0
0.5638399,0.6437659, 0.6382713, -0.08392937, 0
0.5668203,0.6348901, 0.6277614, -0.09487279, 0
0.5699703,0.6274496, 0.6189722, -0.1027921, 0
0.5733019,0.6218109, 0.6116581, -0.1119058, 0
0.5766803,0.615485, 0.6032831, -0.1219466, 0
0.579919,0.6110179, 0.5964329, -0.132704, 0
0.5830967,0.6058724, 0.5885065, -0.1440177, 0
0.5866513,0.6023093, 0.5818186, -0.1557664, 0
0.5897996,0.598725, 0.5760729, -0.1631294, 0.01978234
