Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-90.26287,(0.00* -0.01* 1.00),(-1.00* 0.05* -0.01),31.58219,(-0.21* 0.98* -0.04),(-0.64* 0.74* 0.20),(0.48* 359.96* 357.99)
Left,2,-75.20793,(-0.01* 0.00* 1.00),(-0.97* 0.03* 0.25),-20.65079,(-0.27* 0.96* 0.11),(-0.58* 0.79* 0.16),(0.48* 359.96* 357.99)
Left,3,-76.49513,(-0.03* 0.03* 1.00),(-0.98* 0.04* 0.20),-18.27518,(-0.29* 0.95* 0.11),(-0.57* 0.82* 0.07),(0.48* 359.96* 357.99)
Down,1,-47.88534,(-0.02* -0.01* 1.00),(-0.02* -0.75* 0.66),2.218409,(-0.29* 0.96* -0.02),(-0.26* 0.96* 0.00),(0.48* 359.96* 357.99)
Down,2,-43.46076,(0.00* 0.01* 1.00),(-0.03* -0.68* 0.73),-2.193923,(-0.26* 0.97* 0.00),(-0.25* 0.97* -0.03),(0.48* 359.96* 357.99)
Down,3,-43.81014,(0.00* 0.02* 1.00),(-0.03* -0.68* 0.73),-2.065733,(-0.26* 0.97* 0.00),(-0.26* 0.97* -0.04),(0.48* 359.96* 357.99)
Right,1,57.27733,(0.00* -0.01* 1.00),(0.84* -0.01* 0.54),-17.9335,(-0.23* 0.97* 0.01),(0.08* 1.00* -0.01),(0.48* 359.96* 357.99)
Right,2,53.52395,(0.03* 0.00* 1.00),(0.82* -0.02* 0.57),17.38852,(-0.22* 0.98* 0.00),(0.08* 1.00* 0.01),(0.48* 359.96* 357.99)
Right,3,53.15909,(0.02* -0.01* 1.00),(0.81* -0.03* 0.58),-17.30345,(-0.20* 0.98* -0.01),(0.10* 0.99* -0.03),(0.48* 359.96* 357.99)
Up,1,36.39203,(0.02* -0.02* 1.00),(0.02* 0.58* 0.82),0.3345502,(-0.23* 0.97* -0.04),(-0.23* 0.97* -0.03),(0.48* 359.96* 357.99)
Up,2,43.89392,(0.01* 0.05* 1.00),(0.02* 0.73* 0.69),1.988889,(-0.22* 0.97* -0.04),(-0.21* 0.98* 0.00),(0.48* 359.96* 357.99)
Up,3,34.73052,(0.01* 0.05* 1.00),(0.02* 0.61* 0.79),0.2762456,(-0.22* 0.98* 0.01),(-0.22* 0.98* 0.01),(0.48* 359.96* 357.99)
