Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,1.855724,(-0.01* -0.02* 1.00),(0.00* 0.01* 1.00),6.51984,(-0.26* 0.96* -0.09),(-0.18* 0.98* -0.01),(1.01* 359.87* 0.98)
Left,2,1.224932,(-0.03* -0.02* 1.00),(-0.02* 0.00* 1.00),-6.500381,(-0.23* 0.97* 0.01),(-0.24* 0.97* -0.10),(1.01* 359.87* 0.98)
Left,3,-0.6410245,(-0.03* -0.02* 1.00),(-0.04* -0.01* 1.00),4.721985,(-0.18* 0.98* -0.07),(-0.18* 0.98* 0.02),(1.01* 359.87* 0.98)
Down,1,0.7386047,(-0.02* -0.01* 1.00),(0.00* -0.01* 1.00),-3.974882,(-0.28* 0.96* 0.01),(-0.22* 0.98* -0.01),(1.01* 359.87* 0.98)
Down,2,-0.464781,(-0.01* 0.01* 1.00),(-0.01* 0.01* 1.00),9.419453,(-0.23* 0.97* -0.03),(-0.21* 0.97* 0.13),(1.01* 359.87* 0.98)
Down,3,-0.3906707,(0.00* -0.02* 1.00),(-0.01* -0.03* 1.00),-3.309733,(-0.23* 0.97* 0.03),(-0.24* 0.97* -0.03),(1.01* 359.87* 0.98)
Right,1,46.88762,(0.00* 0.03* 1.00),(0.73* 0.00* 0.69),-1.985245,(-0.23* 0.97* -0.09),(-0.20* 0.98* -0.08),(1.01* 359.87* 0.98)
Right,2,54.55921,(0.03* 0.03* 1.00),(0.83* 0.03* 0.56),-1.640918,(-0.21* 0.97* -0.09),(-0.19* 0.98* -0.08),(1.01* 359.87* 0.98)
Right,3,56.31659,(0.01* -0.01* 1.00),(0.84* 0.03* 0.55),2.16826,(-0.22* 0.97* -0.11),(-0.19* 0.98* -0.09),(1.01* 359.87* 0.98)
Up,1,-39.74592,(0.01* 0.01* 1.00),(-0.02* 0.65* 0.76),3.90179,(-0.25* 0.96* -0.11),(-0.23* 0.97* -0.05),(1.01* 359.87* 0.98)
Up,2,-36.99527,(0.00* 0.04* 1.00),(-0.01* 0.63* 0.77),2.36248,(-0.24* 0.97* -0.09),(-0.23* 0.97* -0.05),(1.01* 359.87* 0.98)
Up,3,-41.88439,(0.00* 0.02* 1.00),(-0.01* 0.68* 0.73),3.826536,(-0.22* 0.97* -0.09),(-0.24* 0.97* -0.03),(1.01* 359.87* 0.98)
