Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,0.4370072,(-0.08* 0.99* -0.09),(-0.09* 0.99* -0.09),-1.073014,(0.26* 0.96* 0.07),(0.25* 0.96* 0.08),(276.75* 225.05* 134.57)
Left,2,78.41132,(-0.11* 0.99* -0.09),(-1.00* 0.09* -0.02),-25.21439,(0.26* 0.96* 0.08),(-0.18* 0.98* 0.09),(276.75* 225.05* 134.57)
Left,3,62.99323,(-0.12* 0.99* -0.10),(-0.94* 0.34* -0.06),-16.73207,(0.17* 0.98* 0.07),(-0.12* 0.99* 0.07),(276.75* 225.05* 134.57)
Down,1,50.67963,(-0.12* 0.99* -0.11),(-0.06* 0.71* 0.70),3.431366,(0.21* 0.97* 0.09),(0.27* 0.96* 0.09),(276.75* 225.05* 134.57)
Down,2,3.129753,(-0.08* 0.99* -0.08),(-0.09* 1.00* -0.02),-1.716688,(0.24* 0.97* 0.06),(0.25* 0.96* 0.09),(276.75* 225.05* 134.57)
Down,3,0.7556288,(-0.07* 0.99* -0.11),(-0.08* 0.99* -0.10),-0.1356209,(0.23* 0.97* 0.08),(0.23* 0.97* 0.08),(276.75* 225.05* 134.57)
Right,1,-65.85799,(-0.08* 0.99* -0.07),(0.88* 0.48* -0.03),17.07542,(0.23* 0.97* 0.09),(0.50* 0.86* 0.07),(276.75* 225.05* 134.57)
Right,2,-1.329132,(-0.04* 1.00* -0.08),(-0.02* 1.00* -0.08),-0.4219727,(0.26* 0.96* 0.06),(0.27* 0.96* 0.06),(276.75* 225.05* 134.57)
Right,3,-61.87603,(-0.06* 0.99* -0.09),(0.85* 0.52* -0.05),14.82524,(0.24* 0.97* 0.06),(0.48* 0.87* 0.08),(276.75* 225.05* 134.57)
Up,1,-23.78563,(-0.06* 0.99* -0.12),(-0.05* 0.86* -0.51),-0.191797,(0.24* 0.97* 0.06),(0.24* 0.97* 0.06),(276.75* 225.05* 134.57)
Up,2,-16.55179,(-0.10* 0.99* -0.14),(-0.05* 0.91* -0.41),-0.5051297,(0.24* 0.97* 0.07),(0.23* 0.97* 0.07),(276.75* 225.05* 134.57)
Up,3,-1.649482,(-0.08* 0.99* -0.10),(-0.08* 0.99* -0.13),0.2502292,(0.23* 0.97* 0.06),(0.24* 0.97* 0.06),(276.75* 225.05* 134.57)
