Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,104.2355,(-0.06* 1.00* -0.07),(-0.67* -0.24* 0.70),31.11621,(0.04* 0.98* -0.21),(-0.47* 0.83* -0.31),(275.46* 221.31* 184.24)
Left,2,56.04578,(-0.08* 0.99* -0.06),(-0.62* 0.54* 0.56),7.286908,(-0.06* 0.99* -0.14),(-0.18* 0.97* -0.19),(275.46* 221.31* 184.24)
Left,3,67.58057,(-0.08* 1.00* -0.05),(-0.68* 0.36* 0.64),6.88148,(-0.07* 0.98* -0.19),(-0.19* 0.96* -0.19),(275.46* 221.31* 184.24)
Down,1,-66.6869,(-0.06* 1.00* -0.06),(0.63* 0.48* 0.61),-3.693637,(-0.06* 0.98* -0.21),(-0.03* 0.99* -0.15),(275.46* 221.31* 184.24)
Down,2,-65.77406,(-0.06* 1.00* -0.07),(0.62* 0.50* 0.61),-1.416789,(-0.05* 0.99* -0.16),(-0.03* 0.98* -0.18),(275.46* 221.31* 184.24)
Down,3,-63.5774,(-0.08* 0.99* -0.08),(0.60* 0.54* 0.59),-0.8527163,(-0.05* 0.99* -0.16),(-0.04* 0.98* -0.17),(275.46* 221.31* 184.24)
Right,1,-80.24462,(-0.04* 1.00* -0.07),(0.68* 0.15* -0.72),-18.401,(-0.05* 0.98* -0.20),(0.24* 0.97* -0.07),(275.46* 221.31* 184.24)
Right,2,-84.22527,(-0.06* 0.99* -0.09),(0.69* 0.08* -0.72),-9.438776,(0.10* 0.99* -0.05),(0.26* 0.96* -0.04),(275.46* 221.31* 184.24)
Right,3,-86.47639,(-0.06* 0.99* -0.09),(0.69* 0.04* -0.72),-12.9166,(0.12* 0.99* -0.04),(0.32* 0.95* 0.05),(275.46* 221.31* 184.24)
Up,1,39.88844,(-0.05* 1.00* -0.08),(-0.50* 0.70* -0.50),5.139651,(0.07* 0.99* -0.10),(-0.01* 1.00* -0.07),(275.46* 221.31* 184.24)
Up,2,41.85611,(-0.07* 0.99* -0.08),(-0.53* 0.67* -0.52),5.689856,(0.06* 0.99* -0.10),(-0.04* 0.99* -0.10),(275.46* 221.31* 184.24)
Up,3,43.30396,(-0.07* 1.00* -0.07),(-0.54* 0.66* -0.52),5.676509,(0.04* 0.99* -0.12),(-0.06* 0.99* -0.11),(275.46* 221.31* 184.24)
