Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,101.615,(-0.02* 1.00* -0.09),(-0.59* -0.14* 0.80),34.94212,(0.02* 1.00* -0.02),(-0.54* 0.83* 0.13),(274.91* 187.17* 225.73)
Left,2,105.3201,(0.01* 1.00* -0.08),(-0.57* -0.19* 0.80),28.60015,(-0.10* 0.99* 0.01),(-0.55* 0.82* 0.13),(274.91* 187.17* 225.73)
Left,3,102.1376,(-0.03* 1.00* -0.09),(-0.59* -0.16* 0.79),27.58865,(-0.12* 0.99* 0.00),(-0.54* 0.83* 0.16),(274.91* 187.17* 225.73)
Down,1,-77.19888,(-0.01* 1.00* -0.07),(0.78* 0.27* 0.57),-1.751336,(-0.10* 1.00* 0.00),(-0.07* 1.00* -0.02),(274.91* 187.17* 225.73)
Down,2,-79.43179,(0.00* 1.00* -0.09),(0.79* 0.24* 0.57),1.723969,(-0.07* 1.00* 0.03),(-0.06* 1.00* 0.06),(274.91* 187.17* 225.73)
Down,3,-70.88712,(0.00* 1.00* -0.08),(0.76* 0.37* 0.53),4.499148,(-0.05* 1.00* 0.03),(-0.05* 0.99* 0.11),(274.91* 187.17* 225.73)
Right,1,-78.26905,(-0.01* 1.00* -0.09),(0.61* 0.14* -0.78),25.98172,(-0.05* 1.00* 0.03),(0.39* 0.92* 0.08),(274.91* 187.17* 225.73)
Right,2,-75.66706,(0.00* 0.99* -0.12),(0.60* 0.16* -0.78),18.1351,(0.07* 1.00* 0.02),(0.37* 0.93* 0.06),(274.91* 187.17* 225.73)
Right,3,-77.21187,(-0.01* 0.99* -0.10),(0.61* 0.15* -0.78),-15.3297,(0.10* 0.99* 0.01),(0.36* 0.93* 0.05),(274.91* 187.17* 225.73)
Up,1,34.75034,(0.00* 1.00* -0.09),(-0.45* 0.78* -0.42),-0.1988102,(0.08* 1.00* -0.01),(0.08* 1.00* 0.00),(274.91* 187.17* 225.73)
Up,2,35.39893,(-0.03* 1.00* -0.09),(-0.48* 0.77* -0.42),-1.272724,(0.08* 1.00* -0.02),(0.06* 1.00* -0.01),(274.91* 187.17* 225.73)
Up,3,33.43684,(-0.02* 1.00* -0.09),(-0.46* 0.79* -0.40),-1.097892,(0.08* 1.00* -0.01),(0.06* 1.00* 0.00),(274.91* 187.17* 225.73)
