Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,46.58206,(0.16* 0.15* 0.98),(0.55* -0.48* 0.69),-3.971777,(-0.07* 1.00* 0.04),(-0.07* 1.00* -0.02),(351.69* 9.98* 35.08)
Down,2,53.77665,(0.15* 0.16* 0.97),(0.57* -0.55* 0.61),-7.360528,(-0.07* 1.00* 0.02),(-0.05* 0.99* -0.10),(351.69* 9.98* 35.08)
Down,3,54.52893,(0.14* 0.18* 0.97),(0.57* -0.55* 0.61),-7.18029,(-0.08* 1.00* 0.01),(-0.04* 0.99* -0.11),(351.69* 9.98* 35.08)
Right,1,58.79144,(0.16* 0.17* 0.97),(0.77* 0.56* 0.31),12.47946,(-0.07* 1.00* 0.04),(0.14* 0.99* 0.05),(351.69* 9.98* 35.08)
Right,2,58.75805,(0.18* 0.16* 0.97),(0.76* 0.58* 0.30),10.81172,(-0.04* 1.00* 0.02),(0.14* 0.99* 0.04),(351.69* 9.98* 35.08)
Right,3,64.00505,(0.15* 0.14* 0.98),(0.77* 0.58* 0.25),-9.792075,(-0.02* 1.00* -0.02),(0.15* 0.99* 0.02),(351.69* 9.98* 35.08)
Up,1,-22.7694,(0.16* 0.18* 0.97),(-0.10* 0.47* 0.88),0.6832828,(-0.05* 1.00* 0.01),(-0.05* 1.00* 0.02),(351.69* 9.98* 35.08)
Up,2,-0.9646922,(0.20* 0.10* 0.97),(0.19* 0.11* 0.98),-1.186797,(-0.05* 1.00* -0.05),(-0.03* 1.00* -0.06),(351.69* 9.98* 35.08)
Up,3,-21.13716,(0.17* 0.14* 0.98),(-0.04* 0.42* 0.91),2.746947,(-0.03* 1.00* -0.06),(-0.03* 1.00* -0.02),(351.69* 9.98* 35.08)
Left,1,-66.35156,(0.15* 0.17* 0.97),(-0.66* -0.46* 0.59),14.76043,(-0.05* 1.00* -0.04),(-0.31* 0.95* -0.03),(351.69* 9.98* 35.08)
Left,2,-59.53022,(0.15* 0.16* 0.98),(-0.60* -0.42* 0.68),14.20124,(-0.08* 0.99* -0.07),(-0.32* 0.95* -0.05),(351.69* 9.98* 35.08)
Left,3,-68.17417,(0.13* 0.17* 0.98),(-0.68* -0.48* 0.55),14.50361,(-0.09* 0.99* -0.05),(-0.33* 0.94* -0.05),(351.69* 9.98* 35.08)
